technique_id,technique_name,tactic,tactic_title
T1055.011,Extra Window Memory Injection,defense-evasion,Defense Evasion
T1055.011,Extra Window Memory Injection,privilege-escalation,Privilege Escalation
T1053.005,Scheduled Task,execution,Execution
T1053.005,Scheduled Task,persistence,Persistence
T1053.005,Scheduled Task,privilege-escalation,Privilege Escalation
T1205.002,Socket Filters,defense-evasion,Defense Evasion
T1205.002,Socket Filters,persistence,Persistence
T1205.002,Socket Filters,command-and-control,Command And Control
T1066,Indicator Removal from Tools,defense-evasion,Defense Evasion
T1560.001,Archive via Utility,collection,Collection
T1021.005,VNC,lateral-movement,Lateral Movement
T1047,Windows Management Instrumentation,execution,Execution
T1156,Malicious Shell Modification,persistence,Persistence
T1113,Screen Capture,collection,Collection
T1027.011,Fileless Storage,defense-evasion,Defense Evasion
T1067,Bootkit,persistence,Persistence
T1037,Boot or Logon Initialization Scripts,persistence,Persistence
T1037,Boot or Logon Initialization Scripts,privilege-escalation,Privilege Escalation
T1557,Adversary-in-the-Middle,credential-access,Credential Access
T1557,Adversary-in-the-Middle,collection,Collection
T1033,System Owner/User Discovery,discovery,Discovery
T1583,Acquire Infrastructure,resource-development,Resource Development
T1218.011,Rundll32,defense-evasion,Defense Evasion
T1613,Container and Resource Discovery,discovery,Discovery
T1583.007,Serverless,resource-development,Resource Development
T1143,Hidden Window,defense-evasion,Defense Evasion
T1161,LC_LOAD_DYLIB Addition,persistence,Persistence
T1132.001,Standard Encoding,command-and-control,Command And Control
T1027.009,Embedded Payloads,defense-evasion,Defense Evasion
T1150,Plist Modification,defense-evasion,Defense Evasion
T1150,Plist Modification,persistence,Persistence
T1150,Plist Modification,privilege-escalation,Privilege Escalation
T1556.003,Pluggable Authentication Modules,credential-access,Credential Access
T1556.003,Pluggable Authentication Modules,defense-evasion,Defense Evasion
T1556.003,Pluggable Authentication Modules,persistence,Persistence
T1578.004,Revert Cloud Instance,defense-evasion,Defense Evasion
T1148,HISTCONTROL,defense-evasion,Defense Evasion
T1592,Gather Victim Host Information,reconnaissance,Reconnaissance
T1596.003,Digital Certificates,reconnaissance,Reconnaissance
T1056.001,Keylogging,collection,Collection
T1056.001,Keylogging,credential-access,Credential Access
T1564.012,File/Path Exclusions,defense-evasion,Defense Evasion
T1222.002,Linux and Mac File and Directory Permissions Modification,defense-evasion,Defense Evasion
T1110.001,Password Guessing,credential-access,Credential Access
T1216.001,PubPrn,defense-evasion,Defense Evasion
T1597.002,Purchase Technical Data,reconnaissance,Reconnaissance
T1003,OS Credential Dumping,credential-access,Credential Access
T1129,Shared Modules,execution,Execution
T1602,Data from Configuration Repository,collection,Collection
T1561.002,Disk Structure Wipe,impact,Impact
T1498.001,Direct Network Flood,impact,Impact
T1492,Stored Data Manipulation,impact,Impact
T1574.007,Path Interception by PATH Environment Variable,persistence,Persistence
T1574.007,Path Interception by PATH Environment Variable,privilege-escalation,Privilege Escalation
T1574.007,Path Interception by PATH Environment Variable,defense-evasion,Defense Evasion
T1213.002,Sharepoint,collection,Collection
T1006,Direct Volume Access,defense-evasion,Defense Evasion
T1044,File System Permissions Weakness,persistence,Persistence
T1044,File System Permissions Weakness,privilege-escalation,Privilege Escalation
T1588.007,Artificial Intelligence,resource-development,Resource Development
