technique_id_parent,technique_name_parent,tactic_ids,tactic_titles,n_rows_grouped,has_parent_row,member_technique_ids,member_technique_names,subtechnique_ids,subtechnique_names
T1001,Data Obfuscation,command-and-control,Command And Control,4,1,T1001 || T1001.003 || T1001.002 || T1001.001,Data Obfuscation || Protocol or Service Impersonation || Steganography || Junk Data,T1001.003 || T1001.002 || T1001.001,Protocol or Service Impersonation || Steganography || Junk Data
T1002,Data Compressed,exfiltration,Exfiltration,1,1,T1002,Data Compressed,,
T1003,OS Credential Dumping,credential-access,Credential Access,9,1,T1003 || T1003.002 || T1003.004 || T1003.007 || T1003.001 || T1003.005 || T1003.008 || T1003.003 || T1003.006,OS Credential Dumping || Security Account Manager || LSA Secrets || Proc Filesystem || LSASS Memory || Cached Domain Credentials || /etc/passwd and /etc/shadow || NTDS || DCSync,T1003.002 || T1003.004 || T1003.007 || T1003.001 || T1003.005 || T1003.008 || T1003.003 || T1003.006,Security Account Manager || LSA Secrets || Proc Filesystem || LSASS Memory || Cached Domain Credentials || /etc/passwd and /etc/shadow || NTDS || DCSync
T1004,Winlogon Helper DLL,persistence,Persistence,1,1,T1004,Winlogon Helper DLL,,
T1005,Data from Local System,collection,Collection,1,1,T1005,Data from Local System,,
T1006,Direct Volume Access,defense-evasion,Defense Evasion,1,1,T1006,Direct Volume Access,,
T1007,System Service Discovery,discovery,Discovery,1,1,T1007,System Service Discovery,,
T1008,Fallback Channels,command-and-control,Command And Control,1,1,T1008,Fallback Channels,,
T1009,Binary Padding,defense-evasion,Defense Evasion,1,1,T1009,Binary Padding,,
T1010,Application Window Discovery,discovery,Discovery,1,1,T1010,Application Window Discovery,,
T1011,Exfiltration Over Other Network Medium,exfiltration,Exfiltration,2,1,T1011 || T1011.001,Exfiltration Over Other Network Medium || Exfiltration Over Bluetooth,T1011.001,Exfiltration Over Bluetooth
T1012,Query Registry,discovery,Discovery,1,1,T1012,Query Registry,,
T1013,Port Monitors,persistence || privilege-escalation,Persistence || Privilege Escalation,2,1,T1013,Port Monitors,,
T1014,Rootkit,defense-evasion,Defense Evasion,1,1,T1014,Rootkit,,
T1016,System Network Configuration Discovery,discovery,Discovery,3,1,T1016.001 || T1016.002 || T1016,Internet Connection Discovery || Wi-Fi Discovery || System Network Configuration Discovery,T1016.001 || T1016.002,Internet Connection Discovery || Wi-Fi Discovery
T1017,Application Deployment Software,lateral-movement,Lateral Movement,1,1,T1017,Application Deployment Software,,
T1018,Remote System Discovery,discovery,Discovery,1,1,T1018,Remote System Discovery,,
T1020,Automated Exfiltration,exfiltration,Exfiltration,2,1,T1020 || T1020.001,Automated Exfiltration || Traffic Duplication,T1020.001,Traffic Duplication
T1021,Remote Services,lateral-movement,Lateral Movement,8,1,T1021.005 || T1021.004 || T1021.008 || T1021.002 || T1021 || T1021.006 || T1021.003 || T1021.007,VNC || SSH || Direct Cloud VM Connections || SMB/Windows Admin Shares || Remote Services || Windows Remote Management || Distributed Component Object Model || Cloud Services,T1021.005 || T1021.004 || T1021.008 || T1021.002 || T1021.006 || T1021.003 || T1021.007,VNC || SSH || Direct Cloud VM Connections || SMB/Windows Admin Shares || Windows Remote Management || Distributed Component Object Model || Cloud Services
T1022,Data Encrypted,exfiltration,Exfiltration,1,1,T1022,Data Encrypted,,
T1024,Custom Cryptographic Protocol,command-and-control,Command And Control,1,1,T1024,Custom Cryptographic Protocol,,
T1025,Data from Removable Media,collection,Collection,1,1,T1025,Data from Removable Media,,
T1026,Multiband Communication,command-and-control,Command And Control,1,1,T1026,Multiband Communication,,
