label_id,technique_id_parent
0,T1001
1,T1003
2,T1004
3,T1005
4,T1006
5,T1007
6,T1008
7,T1010
8,T1012
9,T1014
10,T1016
11,T1018
12,T1020
13,T1021
14,T1025
15,T1027
16,T1030
17,T1033
18,T1036
19,T1037
20,T1039
21,T1040
22,T1041
23,T1046
24,T1047
25,T1048
26,T1049
27,T1052
28,T1053
29,T1055
30,T1056
31,T1057
32,T1059
33,T1060
34,T1067
35,T1068
36,T1069
37,T1070
38,T1071
39,T1072
40,T1074
41,T1075
42,T1078
43,T1080
44,T1082
45,T1083
46,T1087
47,T1090
48,T1091
49,T1093
50,T1095
51,T1098
52,T1102
53,T1104
54,T1105
55,T1106
56,T1110
57,T1111
58,T1112
59,T1113
60,T1114
61,T1115
62,T1119
63,T1120
64,T1122
65,T1124
66,T1125
67,T1132
68,T1133
69,T1134
70,T1135
71,T1136
72,T1137
73,T1140
74,T1176
75,T1185
76,T1187
77,T1189
78,T1190
79,T1192
80,T1195
81,T1197
82,T1199
83,T1201
84,T1202
85,T1203
86,T1204
87,T1205
88,T1210
89,T1211
90,T1212
91,T1213
92,T1216
93,T1217
94,T1218
95,T1219
96,T1220
97,T1221
98,T1222
99,T1480
100,T1482
101,T1484
102,T1485
103,T1486
104,T1489
105,T1490
106,T1491
107,T1496
108,T1497
109,T1501
110,T1505
111,T1518
112,T1526
113,T1528
114,T1529
115,T1530
116,T1534
117,T1537
118,T1538
119,T1539
120,T1542
121,T1543
122,T1546
123,T1547
124,T1548
125,T1550
126,T1552
127,T1553
128,T1554
129,T1555
130,T1556
131,T1557
132,T1558
133,T1559
134,T1560
135,T1561
136,T1562
137,T1563
138,T1564
139,T1565
140,T1566
141,T1567
142,T1568
143,T1569
144,T1570
145,T1571
146,T1572
147,T1573
148,T1574
149,T1578
150,T1580
151,T1583
152,T1584
153,T1585
154,T1586
155,T1587
156,T1588
157,T1589
158,T1590
159,T1591
160,T1592
161,T1593
162,T1594
163,T1595
164,T1596
165,T1597
166,T1598
167,T1606
168,T1608
169,T1610
170,T1614
171,T1615
172,T1620
173,T1621
174,T1622
175,T1651
176,T1654
177,T1656
178,T1657
179,T1665
180,T1669
181,T1674
182,T1678
183,T1680
