sequence_id,prefix_len,next_technique_id,prefix_technique_ids,next_technique_id_parent,prefix_technique_ids_parent
SIM_001_part001,1,T1583.002,T1583,T1583,T1583
SIM_001_part001,2,T1584,T1583 || T1583.002,T1584,T1583 || T1583
SIM_001_part001,3,T1189,T1583 || T1583.002 || T1584,T1189,T1583 || T1583 || T1584
SIM_001_part001,4,T1190,T1583 || T1583.002 || T1584 || T1189,T1190,T1583 || T1583 || T1584 || T1189
SIM_001_part001,5,T1566,T1583 || T1583.002 || T1584 || T1189 || T1190,T1566,T1583 || T1583 || T1584 || T1189 || T1190
SIM_001_part001,6,T1078,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566,T1078,T1583 || T1583 || T1584 || T1189 || T1190 || T1566
SIM_001_part001,7,T1203,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078,T1203,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078
SIM_001_part001,8,T1546,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203,T1546,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203
SIM_001_part001,9,T1546.008,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546,T1546,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546
SIM_001_part001,10,T1078,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546.008,T1078,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546
SIM_001_part001,11,T1546,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546.008 || T1078,T1546,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546 || T1078
SIM_001_part001,12,T1546.008,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546.008 || T1078 || T1546,T1546,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546 || T1078 || T1546
SIM_001_part001,13,T1078,T1583 || T1583.002 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546.008 || T1078 || T1546 || T1546.008,T1078,T1583 || T1583 || T1584 || T1189 || T1190 || T1566 || T1078 || T1203 || T1546 || T1546 || T1078 || T1546 || T1546
