annotation_id,source_org,true_label,rank,pred_top1,top5_labels,alpha,rl_top1_prob,rl_top2_prob
ms_001,apt29,T1016,-1,T1074,T1074 || T1027 || T1218 || T1003 || T1213,1.0,0.4182488024234772,0.253947
ms_002,apt29,T1119,-1,T1003,T1003 || T1036 || T1087 || T1556 || T1059,1.0,0.5865252614021301,0.12419
ms_003,apt29,T1069,-1,T1124,T1124 || T1534 || T1021 || T1210 || T1497,0.9871385388984679,0.362729012966156,0.200699
ms_004,apt29,T1059,-1,T1036,T1036 || T1112 || T1027 || T1556 || T1078,1.0,0.7584047913551331,0.146898
ms_005,apt29,T1082,-1,T1534,T1534 || T1124 || T1021 || T1210 || T1497,1.0,0.3610424399375915,0.181429
ms_006,apt29,T1134,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1134,T1069,T1548,T1018,T1016",0.7898166502895354,0.2906575500965118,0.188104
ms_007,apt29,T1134,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1134,T1548,T1003,T1069,T1070",0.7898166502895354,0.2906575500965118,0.188104
ms_008,apt29,T1134,-1,"T1134,T1069,T1548,T1018,T1016","T1134,T1069,T1548,T1018,T1016 || T1518 || T1087 || T1036 || T1049",0.5504445600061414,0.1881138533353805,0.142598
ms_009,apt29,T1547,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1547,T1070,T1069,T1018,T1016",0.7898166502895354,0.2906575500965118,0.188104
ms_010,apt29,T1552,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1555,T1056,T1003,T1069,T1018",0.7898166502895354,0.2906575500965118,0.188104
ms_011,apt29,T1204,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1069,T1070,T1105,T1003,T1134",0.7898166502895354,0.2906575500965118,0.188104
ms_012,apt29,T1561,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1069,T1018,T1134,T1016,T1070",0.7898166502895354,0.2906575500965118,0.188104
ms_013,apt29,T1114,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1069,T1056,T1018,T1016,T1134",0.7898166502895354,0.2906575500965118,0.188104
ms_014,apt29,T1134,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1134,T1548,T1069,T1018,T1016",0.7898166502895354,0.2906575500965118,0.188104
ms_015,apt29,T1134,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1134,T1069,T1548,T1018,T1016",0.7898166502895354,0.2906575500965118,0.188104
ms_016,apt29,T1005,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1105,T1069,T1018,T1056,T1016",0.7898166502895354,0.2906575500965118,0.188104
ms_017,apt29,T1012,-1,"T1016,T1069,T1018,T1033,T1134","T1016,T1069,T1018,T1033,T1134 || T1570 || T1021 || T1210 || T1033",0.5243100861558914,0.2029113620519638,0.189616
ms_018,apt29,T1016,-1,T1036,T1036 || T1027 || T1021 || T1055 || T1553,1.0,0.3918294608592987,0.140472
ms_019,apt29,T1018,-1,T1036,T1036 || T1027 || T1112 || T1055 || T1046,1.0,0.7511661052703857,0.122761
ms_020,apt29,T1036,-1,"T1070,T1069,T1018,T1016,T1134","T1070,T1069,T1018,T1016,T1134 || T1033 || T1570 || T1016 || T1124",0.3515770201096532,0.1006336733698844,0.100216
ms_030,apt29,T1033,1,T1033,T1033 || T1007 || T1036 || T1570 || T1087,0.9501760797462464,0.3948141932487488,0.289511
ms_031,apt29,T1041,-1,T1570,T1570 || T1007 || T1210 || T1071 || T1033,1.0,0.7493302226066589,0.093753
ms_032,apt29,T1007,-1,T1518,"T1518 || T1049 || T1016 || T1210 || T1069,T1016,T1018,T1134,T1033",0.887545585981369,0.3423973619937897,0.226431
ms_033,apt29,T1087,-1,T1124,"T1124 || T1069,T1018,T1016,T1033,T1134 || T1210 || T1071 || T1497",0.6921444534950254,0.2632171511650085,0.198338
ms_034,apt29,T1548,-1,"T1134,T1547,T1070,T1069,T1018","T1134,T1547,T1070,T1069,T1018 || T1049 || T1036 || T1112 || T1518",0.5734286858644484,0.2427357286214828,0.236519
ms_035,apt29,T1112,4,"T1070,T1547,T1069,T1018,T1134","T1070,T1547,T1069,T1018,T1134 || T1140 || T1036 || T1112 || T1049",0.5725800877981184,0.2087623625993728,0.169138
ms_036,apt29,T1057,-1,T1021,"T1021 || T1049 || T1033 || T1036 || T1069,T1018,T1016,T1087,T1049",0.7898166502895354,0.2906575500965118,0.188104
ms_041,oilrig,T1003,-1,T1567,T1567 || T1572 || T1090 || T1020 || T1486,1.0,0.4255733788013458,0.102386
ms_042,oilrig,T1070,-1,T1567,T1567 || T1572 || T1090 || T1020 || T1486,1.0,0.4255733788013458,0.102386
ms_043,oilrig,T1555,-1,T1016,"T1016 || T1033 || T1049 || T1056,T1552,T1003,T1069,T1018 || T1570",0.8811580158367156,0.3406771719455719,0.227249
ms_044,oilrig,T1505,-1,T1567,T1567 || T1572 || T1090 || T1020 || T1486,1.0,0.4255733788013458,0.102386
ms_045,oilrig,T1082,-1,T1124,T1124 || T1021 || T1534 || T1210 || T1570,1.0,0.604022741317749,0.099645
ms_046,oilrig,T1018,-1,T1570,T1570 || T1033 || T1016 || T1049 || T1573,0.9805534964179992,0.3169144988059997,0.11346
ms_047,oilrig,T1041,-1,T1082,"T1082 || T1016 || T1049 || T1069,T1018,T1134,T1016,T1070 || T1033",0.9338674642086029,0.4189474880695343,0.34865
ms_048,oilrig,T1007,5,"T1069,T1016,T1018,T1134,T1033","T1069,T1016,T1018,T1134,T1033 || T1210 || T1570 || T1033 || T1007",0.509853214515686,0.203546404838562,0.200524
ms_049,oilrig,T1033,3,T1016,T1016 || T1049 || T1033 || T1614 || T1021,1.0,0.8250839710235596,0.084242
ms_050,oilrig,T1572,2,T1567,T1567 || T1572 || T1090 || T1020 || T1486,1.0,0.4255733788013458,0.102386
ms_051,sandworm,T1555,-1,T1572,"T1572 || T1104 || T1003,T1069,T1552,T1018,T1016 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_052,sandworm,T1056,-1,T1572,"T1572 || T1104 || T1070,T1069,T1018,T1134,T1016 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_053,sandworm,T1056,-1,T1572,"T1572 || T1104 || T1003,T1056,T1069,T1552,T1018 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_054,sandworm,T1548,-1,"T1134,T1070,T1547,T1105,T1069","T1134,T1070,T1547,T1105,T1069 || T1570 || T1219 || T1571 || T1102",0.6575343008584976,0.2379799336194992,0.170937
ms_055,sandworm,T1070,-1,T1572,"T1572 || T1104 || T1070,T1069,T1018,T1134,T1016 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_056,sandworm,T1018,-1,T1572,"T1572 || T1104 || T1018,T1069,T1016,T1134,T1070 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_057,sandworm,T1049,-1,T1570,"T1570 || T1213 || T1018,T1016,T1069,T1134,T1070 || T1665 || T1573",0.8390113448486325,0.3304042816162109,0.234801
ms_058,sandworm,T1083,-1,T1033,T1033 || T1016 || T1071 || T1497 || T1021,1.0,0.4185799360275268,0.18658
ms_059,sandworm,T1021,-1,T1572,"T1572 || T1104 || T1134,T1069,T1547,T1070,T1018 || T1020 || T1033",0.8895033849639893,0.3222329616546631,0.184797
ms_060,sandworm,T1552,3,T1003,T1003 || T1018 || T1552 || T1539 || T1558,1.0,0.6065866351127625,0.081406
