method,a,b,c,gamma,top1,top5,mrr,mean_alpha
rl_only,,,,,0.03571428571428571,0.125,0.08018131952005307,
llm_only,,,,,0.35714285714285715,0.375,0.387109072770922,
dynamic_fusion,0.5,0.0,-0.2,0.5,0.0,0.125,0.040773809523809525,0.02954083744968686
dynamic_fusion,0.5,0.0,-0.2,1.0,0.0,0.125,0.040773809523809525,0.02954083744968686
dynamic_fusion,0.5,0.0,-0.2,2.0,0.0,0.125,0.040773809523809525,0.02954083744968686
dynamic_fusion,0.5,0.0,0.0,0.5,0.0,0.125,0.040773809523809525,0.19104944016518338
dynamic_fusion,0.5,0.0,0.0,1.0,0.0,0.125,0.040773809523809525,0.19104944016518338
dynamic_fusion,0.5,0.0,0.0,2.0,0.0,0.125,0.040773809523809525,0.19104944016518338
dynamic_fusion,0.5,0.0,0.2,0.5,0.0,0.125,0.040773809523809525,0.3910494401651833
dynamic_fusion,0.5,0.0,0.2,1.0,0.0,0.125,0.040773809523809525,0.3910494401651833
dynamic_fusion,0.5,0.0,0.2,2.0,0.0,0.125,0.040773809523809525,0.3910494401651833
dynamic_fusion,0.5,0.5,-0.2,0.5,0.0,0.125,0.040773809523809525,0.1111634147818429
dynamic_fusion,0.5,0.5,-0.2,1.0,0.0,0.125,0.040773809523809525,0.1111634147818429
dynamic_fusion,0.5,0.5,-0.2,2.0,0.0,0.125,0.040773809523809525,0.1111634147818429
dynamic_fusion,0.5,0.5,0.0,0.5,0.0,0.125,0.040773809523809525,0.2951122106875096
dynamic_fusion,0.5,0.5,0.0,1.0,0.0,0.125,0.040773809523809525,0.2951122106875096
dynamic_fusion,0.5,0.5,0.0,2.0,0.0,0.125,0.040773809523809525,0.2951122106875096
dynamic_fusion,0.5,0.5,0.2,0.5,0.0,0.125,0.04226190476190476,0.49205580365113694
dynamic_fusion,0.5,0.5,0.2,1.0,0.0,0.125,0.04226190476190476,0.49205580365113694
dynamic_fusion,0.5,0.5,0.2,2.0,0.0,0.125,0.04226190476190476,0.49205580365113694
dynamic_fusion,0.5,1.0,-0.2,0.5,0.0,0.125,0.04226190476190476,0.20559818262878485
dynamic_fusion,0.5,1.0,-0.2,1.0,0.0,0.125,0.040773809523809525,0.20559818262878485
dynamic_fusion,0.5,1.0,-0.2,2.0,0.0,0.125,0.040773809523809525,0.20559818262878485
dynamic_fusion,0.5,1.0,0.0,0.5,0.0,0.125,0.04226190476190476,0.3860001853725016
dynamic_fusion,0.5,1.0,0.0,1.0,0.0,0.125,0.04226190476190476,0.3860001853725016
dynamic_fusion,0.5,1.0,0.0,2.0,0.0,0.125,0.04226190476190476,0.3860001853725016
dynamic_fusion,0.5,1.0,0.2,0.5,0.0,0.125,0.04375,0.5641149665925289
dynamic_fusion,0.5,1.0,0.2,1.0,0.0,0.125,0.04375,0.5641149665925289
dynamic_fusion,0.5,1.0,0.2,2.0,0.0,0.125,0.04375,0.5641149665925289
dynamic_fusion,0.5,1.5,-0.2,0.5,0.0,0.125,0.04226190476190476,0.2815304849191052
dynamic_fusion,0.5,1.5,-0.2,1.0,0.0,0.125,0.04226190476190476,0.2815304849191052
dynamic_fusion,0.5,1.5,-0.2,2.0,0.0,0.125,0.04226190476190476,0.2815304849191052
dynamic_fusion,0.5,1.5,0.0,0.5,0.0,0.125,0.04375,0.4491349137900386
dynamic_fusion,0.5,1.5,0.0,1.0,0.0,0.125,0.04375,0.4491349137900386
dynamic_fusion,0.5,1.5,0.0,2.0,0.0,0.125,0.04375,0.4491349137900386
dynamic_fusion,0.5,1.5,0.2,0.5,0.0,0.125,0.04672619047619048,0.6172283865971053
dynamic_fusion,0.5,1.5,0.2,1.0,0.0,0.125,0.04375,0.6172283865971053
dynamic_fusion,0.5,1.5,0.2,2.0,0.0,0.125,0.04375,0.6172283865971053
dynamic_fusion,1.0,0.0,-0.2,0.5,0.0,0.125,0.040773809523809525,0.1840855316392013
dynamic_fusion,1.0,0.0,-0.2,1.0,0.0,0.125,0.040773809523809525,0.1840855316392013
dynamic_fusion,1.0,0.0,-0.2,2.0,0.0,0.125,0.040773809523809525,0.1840855316392013
dynamic_fusion,1.0,0.0,0.0,0.5,0.0,0.125,0.040773809523809525,0.38209888033036676
dynamic_fusion,1.0,0.0,0.0,1.0,0.0,0.125,0.040773809523809525,0.38209888033036676
dynamic_fusion,1.0,0.0,0.0,2.0,0.0,0.125,0.040773809523809525,0.38209888033036676
dynamic_fusion,1.0,0.0,0.2,0.5,0.017857142857142856,0.125,0.05119047619047619,0.5785584470257163
dynamic_fusion,1.0,0.0,0.2,1.0,0.0,0.125,0.04226190476190476,0.5785584470257163
dynamic_fusion,1.0,0.0,0.2,2.0,0.0,0.125,0.04226190476190476,0.5785584470257163
dynamic_fusion,1.0,0.5,-0.2,0.5,0.0,0.125,0.04226190476190476,0.28332966065429793
dynamic_fusion,1.0,0.5,-0.2,1.0,0.0,0.125,0.04226190476190476,0.28332966065429793
dynamic_fusion,1.0,0.5,-0.2,2.0,0.0,0.125,0.04226190476190476,0.28332966065429793
dynamic_fusion,1.0,0.5,0.0,0.5,0.0,0.125,0.04226190476190476,0.4682663159612033
dynamic_fusion,1.0,0.5,0.0,1.0,0.0,0.125,0.04226190476190476,0.4682663159612033
dynamic_fusion,1.0,0.5,0.0,2.0,0.0,0.125,0.04226190476190476,0.4682663159612033
dynamic_fusion,1.0,0.5,0.2,0.5,0.017857142857142856,0.125,0.05267857142857143,0.6442827185192576
dynamic_fusion,1.0,0.5,0.2,1.0,0.0,0.125,0.04375,0.6442827185192576
dynamic_fusion,1.0,0.5,0.2,2.0,0.0,0.125,0.04375,0.6442827185192576
dynamic_fusion,1.0,1.0,-0.2,0.5,0.0,0.125,0.04375,0.35710283175648955
dynamic_fusion,1.0,1.0,-0.2,1.0,0.0,0.125,0.04226190476190476,0.35710283175648955
dynamic_fusion,1.0,1.0,-0.2,2.0,0.0,0.125,0.04226190476190476,0.35710283175648955
dynamic_fusion,1.0,1.0,0.0,0.5,0.0,0.125,0.04375,0.5287461008828196
dynamic_fusion,1.0,1.0,0.0,1.0,0.0,0.125,0.04375,0.5287461008828196
dynamic_fusion,1.0,1.0,0.0,2.0,0.0,0.125,0.04375,0.5287461008828196
dynamic_fusion,1.0,1.0,0.2,0.5,0.017857142857142856,0.125,0.05565476190476191,0.6966032437399624
dynamic_fusion,1.0,1.0,0.2,1.0,0.0,0.125,0.04672619047619048,0.6966032437399624
dynamic_fusion,1.0,1.0,0.2,2.0,0.0,0.125,0.04375,0.6966032437399624
dynamic_fusion,1.0,1.5,-0.2,0.5,0.0,0.125,0.04375,0.4149726942566548
dynamic_fusion,1.0,1.5,-0.2,1.0,0.0,0.125,0.04375,0.4149726942566548
dynamic_fusion,1.0,1.5,-0.2,2.0,0.0,0.125,0.04375,0.4149726942566548
dynamic_fusion,1.0,1.5,0.0,0.5,0.0,0.125,0.04672619047619048,0.5810666261035246
dynamic_fusion,1.0,1.5,0.0,1.0,0.0,0.125,0.04672619047619048,0.5810666261035246
dynamic_fusion,1.0,1.5,0.0,2.0,0.0,0.125,0.04375,0.5810666261035246
dynamic_fusion,1.0,1.5,0.2,0.5,0.017857142857142856,0.125,0.05565476190476191,0.7395865147614351
dynamic_fusion,1.0,1.5,0.2,1.0,0.017857142857142856,0.125,0.05565476190476191,0.7395865147614351
dynamic_fusion,1.0,1.5,0.2,2.0,0.0,0.125,0.04672619047619048,0.7395865147614351
dynamic_fusion,1.5,0.0,-0.2,0.5,0.0,0.125,0.04226190476190476,0.3687135542875954
dynamic_fusion,1.5,0.0,-0.2,1.0,0.0,0.125,0.04226190476190476,0.3687135542875954
dynamic_fusion,1.5,0.0,-0.2,2.0,0.0,0.125,0.04226190476190476,0.3687135542875954
dynamic_fusion,1.5,0.0,0.0,0.5,0.017857142857142856,0.125,0.05267857142857143,0.5503665391754892
dynamic_fusion,1.5,0.0,0.0,1.0,0.0,0.125,0.04226190476190476,0.5503665391754892
dynamic_fusion,1.5,0.0,0.0,2.0,0.0,0.125,0.04226190476190476,0.5503665391754892
dynamic_fusion,1.5,0.0,0.2,0.5,0.017857142857142856,0.125,0.05565476190476191,0.7236575756621149
dynamic_fusion,1.5,0.0,0.2,1.0,0.017857142857142856,0.125,0.05267857142857143,0.7236575756621149
dynamic_fusion,1.5,0.0,0.2,2.0,0.0,0.125,0.04375,0.7236575756621149
dynamic_fusion,1.5,0.5,-0.2,0.5,0.0,0.125,0.04375,0.4383082692564895
dynamic_fusion,1.5,0.5,-0.2,1.0,0.0,0.125,0.04375,0.4383082692564895
dynamic_fusion,1.5,0.5,-0.2,2.0,0.0,0.125,0.04375,0.4383082692564895
dynamic_fusion,1.5,0.5,0.0,0.5,0.017857142857142856,0.125,0.05267857142857143,0.6081209580256769
dynamic_fusion,1.5,0.5,0.0,1.0,0.0,0.125,0.04375,0.6081209580256769
dynamic_fusion,1.5,0.5,0.0,2.0,0.0,0.125,0.04375,0.6081209580256769
dynamic_fusion,1.5,0.5,0.2,0.5,0.017857142857142856,0.125,0.05565476190476191,0.7745409462807687
dynamic_fusion,1.5,0.5,0.2,1.0,0.017857142857142856,0.125,0.05565476190476191,0.7745409462807687
dynamic_fusion,1.5,0.5,0.2,2.0,0.017857142857142856,0.125,0.05565476190476191,0.7745409462807687
dynamic_fusion,1.5,1.0,-0.2,0.5,0.0,0.125,0.04375,0.49345276568522617
dynamic_fusion,1.5,1.0,-0.2,1.0,0.0,0.125,0.04375,0.49345276568522617
dynamic_fusion,1.5,1.0,-0.2,2.0,0.0,0.125,0.04375,0.49345276568522617
dynamic_fusion,1.5,1.0,0.0,0.5,0.017857142857142856,0.125,0.05565476190476191,0.6603220734759611
dynamic_fusion,1.5,1.0,0.0,1.0,0.0,0.125,0.04672619047619048,0.6603220734759611
dynamic_fusion,1.5,1.0,0.0,2.0,0.0,0.125,0.04672619047619048,0.6603220734759611
dynamic_fusion,1.5,1.0,0.2,0.5,0.017857142857142856,0.125,0.05565476190476191,0.8113013363289875
dynamic_fusion,1.5,1.0,0.2,1.0,0.017857142857142856,0.125,0.05565476190476191,0.8113013363289875
dynamic_fusion,1.5,1.0,0.2,2.0,0.017857142857142856,0.125,0.05565476190476191,0.8113013363289875
dynamic_fusion,1.5,1.5,-0.2,0.5,0.0,0.125,0.04672619047619048,0.5457695616794143
dynamic_fusion,1.5,1.5,-0.2,1.0,0.0,0.125,0.04672619047619048,0.5457695616794143
dynamic_fusion,1.5,1.5,-0.2,2.0,0.0,0.125,0.04375,0.5457695616794143
dynamic_fusion,1.5,1.5,0.0,0.5,0.017857142857142856,0.125,0.05565476190476191,0.7015931194994364
dynamic_fusion,1.5,1.5,0.0,1.0,0.017857142857142856,0.125,0.05565476190476191,0.7015931194994364
dynamic_fusion,1.5,1.5,0.0,2.0,0.0,0.125,0.04672619047619048,0.7015931194994364
dynamic_fusion,1.5,1.5,0.2,0.5,0.03571428571428571,0.125,0.06458333333333334,0.8439956209682992
dynamic_fusion,1.5,1.5,0.2,1.0,0.017857142857142856,0.125,0.05565476190476191,0.8439956209682992
dynamic_fusion,1.5,1.5,0.2,2.0,0.017857142857142856,0.125,0.05565476190476191,0.8439956209682992
