annotation_id,source_org,true_label,rank,pred_top1,top5_labels,gated,rl_top1_prob
ms_001,apt29,T1016,159,T1074,T1074 || T1027 || T1218 || T1003 || T1213,0,0.4182488024234772
ms_002,apt29,T1119,149,T1003,T1003 || T1036 || T1087 || T1556 || T1059,0,0.5865252614021301
ms_003,apt29,T1069,90,T1124,T1124 || T1534 || T1021 || T1210 || T1497,0,0.362729012966156
ms_004,apt29,T1059,86,T1036,T1036 || T1112 || T1027 || T1556 || T1078,0,0.7584047913551331
ms_005,apt29,T1082,64,T1534,T1534 || T1124 || T1021 || T1210 || T1497,0,0.3610424399375915
ms_006,apt29,T1134,155,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_007,apt29,T1134,155,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_008,apt29,T1134,137,T1518,T1518 || T1087 || T1036 || T1049 || T1083,1,0.1881138533353805
ms_009,apt29,T1547,130,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_010,apt29,T1552,110,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_011,apt29,T1204,179,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_012,apt29,T1561,172,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_013,apt29,T1114,159,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_014,apt29,T1134,155,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_015,apt29,T1134,155,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_016,apt29,T1005,142,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_017,apt29,T1012,63,T1570,T1570 || T1021 || T1210 || T1033 || T1071,1,0.2029113620519638
ms_018,apt29,T1016,59,T1036,T1036 || T1027 || T1021 || T1055 || T1553,0,0.3918294608592987
ms_019,apt29,T1018,49,T1036,T1036 || T1027 || T1112 || T1055 || T1046,0,0.7511661052703857
ms_020,apt29,T1036,26,T1033,T1033 || T1570 || T1016 || T1124 || T1071,1,0.1006336733698844
ms_030,apt29,T1033,1,T1033,T1033 || T1007 || T1036 || T1570 || T1087,0,0.3948141932487488
ms_031,apt29,T1041,45,T1570,T1570 || T1007 || T1210 || T1071 || T1033,0,0.7493302226066589
ms_032,apt29,T1007,14,T1518,T1518 || T1049 || T1016 || T1210 || T1033,0,0.3423973619937897
ms_033,apt29,T1087,25,T1124,T1124 || T1210 || T1071 || T1497 || T1534,1,0.2632171511650085
ms_034,apt29,T1548,87,T1049,T1049 || T1036 || T1112 || T1518 || T1140,1,0.2427357286214828
ms_035,apt29,T1112,3,T1140,T1140 || T1036 || T1112 || T1049 || T1562,1,0.2087623625993728
ms_036,apt29,T1057,42,T1021,T1021 || T1049 || T1033 || T1036 || T1007,1,0.2906575500965118
ms_041,oilrig,T1003,173,T1567,T1567 || T1572 || T1090 || T1020 || T1486,0,0.4255733788013458
ms_042,oilrig,T1070,171,T1567,T1567 || T1572 || T1090 || T1020 || T1486,0,0.4255733788013458
ms_043,oilrig,T1555,148,T1016,T1016 || T1033 || T1049 || T1570 || T1021,0,0.3406771719455719
ms_044,oilrig,T1505,131,T1567,T1567 || T1572 || T1090 || T1020 || T1486,0,0.4255733788013458
ms_045,oilrig,T1082,48,T1124,T1124 || T1021 || T1534 || T1210 || T1570,0,0.604022741317749
ms_046,oilrig,T1018,46,T1570,T1570 || T1033 || T1016 || T1049 || T1573,0,0.3169144988059997
