method,tau,beta,top1,top5,mrr,gated_fraction
rl_only,,,0.03571428571428571,0.125,0.08018131952005307,
llm_only,,,0.35714285714285715,0.375,0.387109072770922,
gated_rl_llm_rerank,0.3,0.05,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.3,0.1,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.3,0.2,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.3,0.3,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.3,0.5,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.3,1.0,0.03571428571428571,0.125,0.08018131952005307,0.42857142857142855
gated_rl_llm_rerank,0.35,0.05,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.35,0.1,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.35,0.2,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.35,0.3,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.35,0.5,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.35,1.0,0.03571428571428571,0.125,0.08018131952005307,0.625
gated_rl_llm_rerank,0.4,0.05,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.4,0.1,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.4,0.2,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.4,0.3,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.4,0.5,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.4,1.0,0.03571428571428571,0.125,0.08018131952005307,0.6964285714285714
gated_rl_llm_rerank,0.45,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.45,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.45,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.45,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.45,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.45,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.5,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8214285714285714
gated_rl_llm_rerank,0.55,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.55,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.55,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.55,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.55,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.55,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8392857142857143
gated_rl_llm_rerank,0.6,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.6,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.6,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.6,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.6,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.6,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8571428571428571
gated_rl_llm_rerank,0.65,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.65,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.65,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.65,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.65,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.65,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,0.05,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,0.1,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,0.2,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,0.3,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,0.5,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.7,1.0,0.03571428571428571,0.125,0.08018131952005307,0.8928571428571429
gated_rl_llm_rerank,0.75,0.05,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.75,0.1,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.75,0.2,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.75,0.3,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.75,0.5,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.75,1.0,0.03571428571428571,0.125,0.08018131952005307,0.9107142857142857
gated_rl_llm_rerank,0.8,0.05,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
gated_rl_llm_rerank,0.8,0.1,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
gated_rl_llm_rerank,0.8,0.2,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
gated_rl_llm_rerank,0.8,0.3,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
gated_rl_llm_rerank,0.8,0.5,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
gated_rl_llm_rerank,0.8,1.0,0.03571428571428571,0.125,0.08018131952005307,0.9642857142857143
