annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes
ms_001,apt29::unknown::3,apt29,apt29,unknown,3,T1036 T1059 T1119,T1016,T1074,159,,,,,,
ms_002,apt29::unknown::2,apt29,apt29,unknown,2,T1036 T1059,T1119,T1003,149,,,,,,
ms_003,apt29::unknown::9,apt29,apt29,unknown,9,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082,T1069,T1124,90,,,,,,
ms_004,apt29::unknown::1,apt29,apt29,unknown,1,T1036,T1059,T1036,86,,,,,,
ms_005,apt29::unknown::8,apt29,apt29,unknown,8,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007,T1082,T1534,64,,,,,,
ms_006,apt29::unknown::28,apt29,apt29,unknown,28,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003,T1134,T1021,155,,,,,,
ms_007,apt29::unknown::26,apt29,apt29,unknown,26,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547,T1134,T1021,155,,,,,,
ms_008,apt29::unknown::13,apt29,apt29,unknown,13,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036,T1134,T1518,137,,,,,,
ms_009,apt29::unknown::25,apt29,apt29,unknown,25,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003,T1547,T1021,130,,,,,,
ms_010,apt29::unknown::30,apt29,apt29,unknown,30,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081,T1552,T1021,110,,,,,,
ms_011,apt29::unknown::53,apt29,apt29,unknown,53,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037,T1204,T1021,179,,,,,,
ms_012,apt29::unknown::69,apt29,apt29,unknown,69,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114 T1005 T1537,T1561,T1021,172,,,,,,
ms_013,apt29::unknown::66,apt29,apt29,unknown,66,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105,T1114,T1021,159,,,,,,
ms_014,apt29::unknown::59,apt29,apt29,unknown,59,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057,T1134,T1021,155,,,,,,
ms_015,apt29::unknown::43,apt29,apt29,unknown,43,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083,T1134,T1021,155,,,,,,
ms_016,apt29::unknown::67,apt29,apt29,unknown,67,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114,T1005,T1021,142,,,,,,
ms_017,apt29::unknown::11,apt29,apt29,unknown,11,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087,T1012,T1570,63,,,,,,
ms_018,apt29::unknown::19,apt29,apt29,unknown,19,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018,T1016,T1036,59,,,,,,
ms_019,apt29::unknown::18,apt29,apt29,unknown,18,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036,T1018,T1036,49,,,,,,
ms_020,apt29::unknown::12,apt29,apt29,unknown,12,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012,T1036,T1033,26,,,,,,
ms_021,fin6::unknown::6,fin6,fin6,unknown,6,T1087 T1018 T1482 T1016 T1069 T1134,T1003,T1049,163,,,,,,
ms_022,fin6::unknown::17,fin6,fin6,unknown,17,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053 T1048 T1047 T1021 T1047,T1569,T1547,159,,,,,,
ms_023,fin6::unknown::13,fin6,fin6,unknown,13,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053,T1048,T1053,148,,,,,,
ms_024,fin6::unknown::1,fin6,fin6,unknown,1,T1087,T1018,T1087,119,,,,,,
ms_025,fin6::unknown::16,fin6,fin6,unknown,16,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053 T1048 T1047 T1021,T1047,T1036,26,,,,,,
ms_026,fin6::unknown::7,fin6,fin6,unknown,7,T1087 T1018 T1482 T1016 T1069 T1134 T1003,T1560,T1087,23,,,,,,
ms_027,fin6::unknown::2,fin6,fin6,unknown,2,T1087 T1018,T1482,T1021,21,,,,,,
ms_028,fin6::unknown::11,fin6,fin6,unknown,11,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047,T1547,T1547,1,,,,,,
ms_029,fin6::unknown::10,fin6,fin6,unknown,10,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569,T1047,T1204,3,,,,,,
