annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes
ms_001,apt29::unknown::3,apt29,apt29,unknown,3,T1036 T1059 T1119,T1016,T1074,159,execution_on_host,environment_not_enumerated,network_configuration,enumerate,human_verified,human_revised_v1
ms_002,apt29::unknown::2,apt29,apt29,unknown,2,T1036 T1059,T1119,T1003,149,execution_on_host,collection_target_not_identified,local_file_data,collect,human_verified,human_revised_v1
ms_003,apt29::unknown::9,apt29,apt29,unknown,9,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082,T1069,T1124,90,post_compromise_discovery,privilege_structure_not_enumerated,permission_group_context,enumerate,human_verified,human_revised_v1
ms_004,apt29::unknown::1,apt29,apt29,unknown,1,T1036,T1059,T1036,86,initial_foothold,execution_capability_not_established,command_execution_channel,execute,human_verified,human_revised_v1
ms_005,apt29::unknown::8,apt29,apt29,unknown,8,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007,T1082,T1534,64,post_compromise_discovery,environment_not_enumerated ,system_information,enumerate,human_verified,human_revised_v1
ms_006,apt29::unknown::28,apt29,apt29,unknown,28,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1
ms_007,apt29::unknown::26,apt29,apt29,unknown,26,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1
ms_008,apt29::unknown::13,apt29,apt29,unknown,13,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036,T1134,T1518,137,internal_host_access,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1
ms_009,apt29::unknown::25,apt29,apt29,unknown,25,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003,T1547,T1021,130,internal_host_access,persistence_path_not_established,persistence_mechanism,modify,human_verified,human_revised_v1
ms_010,apt29::unknown::30,apt29,apt29,unknown,30,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081,T1552,T1021,110,internal_host_access,credential_material_not_collected,private_keys,collect,human_verified,human_revised_v1
ms_011,apt29::unknown::53,apt29,apt29,unknown,53,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037,T1204,T1021,179,internal_host_access,user_execution_path_not_established,user_execution_channel,trigger,human_verified,human_revised_v1
ms_012,apt29::unknown::69,apt29,apt29,unknown,69,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114 T1005 T1537,T1561,T1021,172,internal_host_access,impact_path_not_established,host_availability,disrupt,human_verified,human_revised_v1
ms_013,apt29::unknown::66,apt29,apt29,unknown,66,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105,T1114,T1021,159,internal_host_access,collection_target_not_identified,mailbox_data,collect,human_verified,human_revised_v1
ms_014,apt29::unknown::59,apt29,apt29,unknown,59,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1
ms_015,apt29::unknown::43,apt29,apt29,unknown,43,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083,T1134,T1021,155,valid_user_context,privilege_context_insufficient,access_token_context,impersonate,human_verified,human_revised_v1
