annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes
ms_041,oilrig::unknown::26,oilrig,oilrig,unknown,26,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105,T1003,T1567,173,,,,,,
ms_042,oilrig::unknown::36,oilrig,oilrig,unknown,36,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105 T1572 T1021 T1105 T1569 T1083 T1048,T1070,T1567,171,,,,,,
ms_043,oilrig::unknown::17,oilrig,oilrig,unknown,17,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018,T1555,T1016,148,,,,,,
ms_044,oilrig::unknown::20,oilrig,oilrig,unknown,20,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105,T1505,T1567,131,,,,,,
ms_045,oilrig::unknown::12,oilrig,oilrig,unknown,12,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007,T1082,T1124,48,,,,,,
ms_046,oilrig::unknown::16,oilrig,oilrig,unknown,16,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069,T1018,T1570,46,,,,,,
ms_047,oilrig::unknown::18,oilrig,oilrig,unknown,18,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555,T1041,T1082,37,,,,,,
ms_048,oilrig::unknown::11,oilrig,oilrig,unknown,11,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057,T1007,T1210,4,,,,,,
ms_049,oilrig::unknown::1,oilrig,oilrig,unknown,1,T1082,T1033,T1016,3,,,,,,
ms_050,oilrig::unknown::30,oilrig,oilrig,unknown,30,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105,T1572,T1567,2,,,,,,
ms_051,sandworm::unknown::20,sandworm,sandworm,unknown,20,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105,T1555,T1572,181,,,,,,
ms_052,sandworm::unknown::24,sandworm,sandworm,unknown,24,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041,T1056,T1572,171,,,,,,
ms_053,sandworm::unknown::22,sandworm,sandworm,unknown,22,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105,T1056,T1572,171,,,,,,
ms_054,sandworm::unknown::7,sandworm,sandworm,unknown,7,T1105 T1505 T1033 T1082 T1083 T1003 T1105,T1548,T1570,170,,,,,,
ms_055,sandworm::unknown::26,sandworm,sandworm,unknown,26,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018,T1070,T1572,166,,,,,,
ms_056,sandworm::unknown::25,sandworm,sandworm,unknown,25,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056,T1018,T1572,164,,,,,,
ms_057,sandworm::unknown::18,sandworm,sandworm,unknown,18,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083,T1049,T1570,47,,,,,,
ms_058,sandworm::unknown::4,sandworm,sandworm,unknown,4,T1105 T1505 T1033 T1082,T1083,T1033,44,,,,,,
ms_059,sandworm::unknown::32,sandworm,sandworm,unknown,32,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018 T1070 T1021 T1105 T1021 T1105 T1486,T1021,T1572,35,,,,,,
ms_060,sandworm::unknown::11,sandworm,sandworm,unknown,11,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003,T1552,T1003,3,,,,,,
ms_061,wizard_spider::unknown::1,wizard_spider,wizard_spider,unknown,1,T1105,T1078,T1572,184,,,,,,
ms_062,wizard_spider::unknown::29,wizard_spider,wizard_spider,unknown,29,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222,T1489,T1033,178,,,,,,
ms_063,wizard_spider::unknown::26,wizard_spider,wizard_spider,unknown,26,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069,T1003,T1033,169,,,,,,
ms_064,wizard_spider::unknown::31,wizard_spider,wizard_spider,unknown,31,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222 T1489 T1105,T1490,T1033,164,,,,,,
ms_065,wizard_spider::unknown::24,wizard_spider,wizard_spider,unknown,24,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105,T1547,T1033,154,,,,,,
ms_066,wizard_spider::unknown::13,wizard_spider,wizard_spider,unknown,13,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007,T1087,T1570,36,,,,,,
ms_067,wizard_spider::unknown::14,wizard_spider,wizard_spider,unknown,14,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087,T1016,T1570,33,,,,,,
ms_068,wizard_spider::unknown::32,wizard_spider,wizard_spider,unknown,32,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016 T1049 T1082 T1482 T1069 T1558 T1021 T1105 T1021 T1105 T1547 T1069 T1003 T1105 T1222 T1489 T1105 T1490,T1105,T1033,25,,,,,,
ms_069,wizard_spider::unknown::15,wizard_spider,wizard_spider,unknown,15,T1105 T1078 T1204 T1547 T1082 T1057 T1105 T1552 T1114 T1021 T1105 T1082 T1007 T1087 T1016,T1049,T1033,5,,,,,,
ms_070,wizard_spider::unknown::3,wizard_spider,wizard_spider,unknown,3,T1105 T1078 T1204,T1547,T1204,3,,,,,,
ms_071,turla_carbon::unknown::12,turla_carbon,turla_carbon,unknown,12,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053,T1069,T1053,179,,,,,,
