source_org,plan_id,adversary_name,scenario_id,step_idx,yaml_step_id,procedure_step,tactic,technique_attack_id,technique_name,name,description,command_summary,command_full
oilrig,oilrig,OilRig,1,1,ed2471a9-1eeb-4787-a5d8-61f66b278a50,1.A.4,discovery,T1082,System Information Discovery,OilRig Execute VBS payload to collect hostname,Executes the payload to collect the hostname of the victim machine.,cscript /nologo computername.vbs,cscript /nologo computername.vbs
oilrig,oilrig,OilRig,1,2,88378065-bedf-46b9-a8b7-bc5897f4abcb,1.A.5,discovery,T1033,System Owner/User Discovery,OilRig Execute VBS payload to collect username,Executes the payload to collect the username of the victim machine.,cscript /nologo username.vbs,cscript /nologo username.vbs
oilrig,oilrig,OilRig,2,3,0386ef16-757e-425c-8355-88e5be40eb32,2.A.2,discovery,T1033,System Owner/User Discovery,OilRig Current User,Obtain user from current session,whoami,whoami
oilrig,oilrig,OilRig,2,4,a9861ea9-4f9a-46c9-ba60-15a02806dfdc,2.A.3,Discovery,T1082,System Information Discovery,OilRig Collect hostname,Find the hostname,hostname,hostname
oilrig,oilrig,OilRig,2,5,628e8ad3-14af-4670-b797-bcf175a42842,2.A.4,Discovery,T1016,System Network Configuration Discovery,OilRig Network Interface Configuration,View network configuration information for host,ipconfig /all,ipconfig /all
oilrig,oilrig,OilRig,2,6,13d5ab62-c05a-4d25-bd8f-e3b27a5be611,2.A.5,Discovery,T1087.002,Account Discovery: Domain Account,OilRig Domain Account Discovery,The net utility is executed via cmd to enumerate domain user accounts.,net user /domain,net user /domain
oilrig,oilrig,OilRig,2,7,e0b534a6-bff3-4964-8f7b-863ddee224b0,2.A.6,Discovery,T1069.002,Permission Groups Discovery: Domain Groups,OilRig Group Account Discovery,The net utility is executed via cmd to enumerate group accounts.,net group /domain,net group /domain
oilrig,oilrig,OilRig,2,8,3d450711-1062-4276-8bff-bb78ec4f4519,2.A.7,Discovery,T1069.002,Permission Groups Discovery: Domain Groups,"OilRig ""domain admins"" Group Discovery","The net utility is executed via cmd to enumerate the ""domain admins"" group","net group ""domain admins"" /domain","net group ""domain admins"" /domain"
oilrig,oilrig,OilRig,2,9,29c018ed-eb3e-4ddb-90ec-ba3d928a00e8,2.A.8,Discovery,T1069.002,Permission Groups Discovery: Domain Groups,"OilRig ""Exchange Trusted Subsystem"" Group Discovery","The net utility is executed via cmd to enumerate the ""Exchange Trusted Subsystem"" group","net group ""Exchange Trusted Subsystem"" /domain","net group ""Exchange Trusted Subsystem"" /domain"
oilrig,oilrig,OilRig,2,10,41ce9dd8-dc9f-4fba-8ce9-9ef5aaee3d19,2.A.9,Discovery,T1021,Password Policy Discovery,OilRig List domain account settings,View domain account settings and password policy,net accounts /domain,net accounts /domain
oilrig,oilrig,OilRig,2,11,821fd81e-2086-4ea6-b792-fb9e044e2323,2.A.10,Discovery,T1087.001,Account Discovery: Local Account,OilRig Local Account Discovery,Enumerate user accounts,net user,net user
oilrig,oilrig,OilRig,2,12,ae4e4c08-82cb-4a17-a873-660f851a1a38,2.A.11,Discovery,T1069.001,Permission Groups Discovery: Local Groups,"OilRig ""administrators"" local group discovery","View the details and members of the ""administrators"" local group",net localgroup administrators,net localgroup administrators
oilrig,oilrig,OilRig,2,13,cb8e9faa-ac00-48d8-a359-88044a2c0252,2.A.12,Discovery,T1049,System Network Connections Discovery,OilRig View Network Connections,Find system network connections,netstat -na,netstat -na
oilrig,oilrig,OilRig,2,14,de39f574-f6cc-4026-973e-c5370b36220b,2.A.13,Discovery,T1057,Process Discovery,OilRig Process discovery,View running processes on system,tasklist,tasklist
