annotation_id,source_org,true_label,json_parse_ok,raw_output,gold__current_access_context,pred__current_access_context,schema_ok__current_access_context,field_hit__current_access_context,gold__exhausted_action_constraint,pred__exhausted_action_constraint,schema_ok__exhausted_action_constraint,field_hit__exhausted_action_constraint,gold__next_target_artifact,pred__next_target_artifact,schema_ok__next_target_artifact,field_hit__next_target_artifact,gold__next_micro_verb,pred__next_micro_verb,schema_ok__next_micro_verb,field_hit__next_micro_verb,exact_match,any_schema_violation
ms_001,apt29,T1016,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""environment_not_enumerated"",
  ""next_target_artifact"": ""network_configuration"",
  ""next_micro_verb"": ""enumerate""
}",execution_on_host,post_compromise_discovery,1,0,environment_not_enumerated,environment_not_enumerated,1,1,network_configuration,network_configuration,1,1,enumerate,enumerate,1,1,0,0
ms_002,apt29,T1119,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""collection_target_not_identified"",
  ""next_target_artifact"": ""local_file_data"",
  ""next_micro_verb"": ""collect""
}",execution_on_host,post_compromise_discovery,1,0,collection_target_not_identified,collection_target_not_identified,1,1,local_file_data,local_file_data,1,1,collect,collect,1,1,0,0
ms_003,apt29,T1069,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""privilege_context_not_enumerated"",
  ""next_target_artifact"": ""permission_group_context"",
  ""next_micro_verb"": ""enumerate""
}",post_compromise_discovery,post_compromise_discovery,1,1,privilege_structure_not_enumerated,privilege_context_not_enumerated,1,0,permission_group_context,permission_group_context,1,1,enumerate,enumerate,1,1,0,0
ms_004,apt29,T1059,1,"{
  ""current_access_context"": ""execution_on_host"",
  ""exhausted_action_constraint"": ""user_execution_path_not_established"",
  ""next_target_artifact"": ""command_execution_channel"",
  ""next_micro_verb"": ""execute""
}",initial_foothold,execution_on_host,1,0,execution_capability_not_established,user_execution_path_not_established,1,0,command_execution_channel,command_execution_channel,1,1,execute,execute,1,1,0,0
ms_005,apt29,T1082,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""environment_not_enumerated"",
  ""next_target_artifact"": ""system_information"",
  ""next_micro_verb"": ""enumerate""
}",post_compromise_discovery,post_compromise_discovery,1,1,environment_not_enumerated,environment_not_enumerated,1,1,system_information,system_information,1,1,enumerate,enumerate,1,1,1,0
ms_006,apt29,T1134,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""privilege_context_insufficient"",
  ""next_target_artifact"": ""access_token_context"",
  ""next_micro_verb"": ""impersonate""
}",valid_user_context,post_compromise_discovery,1,0,privilege_context_insufficient,privilege_context_insufficient,1,1,access_token_context,access_token_context,1,1,impersonate,impersonate,1,1,0,0
ms_007,apt29,T1134,1,"{
  ""current_access_context"": ""valid_user_context"",
  ""exhausted_action_constraint"": ""privilege_context_insufficient"",
  ""next_target_artifact"": ""access_token_context"",
  ""next_micro_verb"": ""impersonate""
}",valid_user_context,valid_user_context,1,1,privilege_context_insufficient,privilege_context_insufficient,1,1,access_token_context,access_token_context,1,1,impersonate,impersonate,1,1,1,0
ms_008,apt29,T1134,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""privilege_context_insufficient"",
  ""next_target_artifact"": ""access_token_context"",
  ""next_micro_verb"": ""impersonate""
}",internal_host_access,post_compromise_discovery,1,0,privilege_context_insufficient,privilege_context_insufficient,1,1,access_token_context,access_token_context,1,1,impersonate,impersonate,1,1,0,0
ms_009,apt29,T1547,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""persistence_path_not_established"",
  ""next_target_artifact"": ""persistence_mechanism"",
  ""next_micro_verb"": ""modify""
}",internal_host_access,post_compromise_discovery,1,0,persistence_path_not_established,persistence_path_not_established,1,1,persistence_mechanism,persistence_mechanism,1,1,modify,modify,1,1,0,0
ms_010,apt29,T1552,1,"{
  ""current_access_context"": ""post_compromise_discovery"",
  ""exhausted_action_constraint"": ""credential_material_not_collected"",
  ""next_target_artifact"": ""stored_credentials"",
  ""next_micro_verb"": ""collect""
}",internal_host_access,post_compromise_discovery,1,0,credential_material_not_collected,credential_material_not_collected,1,1,private_keys,stored_credentials,1,0,collect,collect,1,1,0,0
