representation,annotation_id,sample_id,true_label,query_text,nn1_sample_id,nn1_label,match_at_1,rank_of_first_same_label
state,ms_001,apt29::unknown::3,T1016,T1036 T1059 T1119,apt29::unknown::4,T1033,0,10
state,ms_002,apt29::unknown::2,T1119,T1036 T1059,apt29::unknown::3,T1016,0,80
state,ms_003,apt29::unknown::9,T1069,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082,apt29::unknown::10,T1087,0,53
state,ms_004,apt29::unknown::1,T1059,T1036,apt29::unknown::2,T1119,0,80
state,ms_005,apt29::unknown::8,T1082,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007,apt29::unknown::9,T1069,0,28
state,ms_006,apt29::unknown::28,T1134,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003,apt29::unknown::30,T1552,0,2
state,ms_007,apt29::unknown::26,T1134,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547,apt29::unknown::25,T1547,0,2
state,ms_008,apt29::unknown::13,T1134,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036,apt29::unknown::12,T1036,0,11
state,ms_009,apt29::unknown::25,T1547,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003,apt29::unknown::26,T1134,0,40
state,ms_010,apt29::unknown::30,T1552,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081,apt29::unknown::28,T1134,0,52
state,ms_011,apt29::unknown::53,T1204,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037,apt29::unknown::59,T1134,0,80
state,ms_012,apt29::unknown::69,T1561,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114 T1005 T1537,apt29::unknown::67,T1005,0,80
state,ms_013,apt29::unknown::66,T1114,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105,apt29::unknown::67,T1005,0,80
state,ms_014,apt29::unknown::59,T1134,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057,apt29::unknown::66,T1114,0,5
state,ms_015,apt29::unknown::43,T1134,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083,apt29::unknown::53,T1204,0,2
state,ms_016,apt29::unknown::67,T1005,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016 T1057 T1070 T1082 T1049 T1003 T1547 T1134 T1003 T1134 T1081 T1552 T1036 T1113 T1115 T1056 T1041 T1105 T1134 T1053 T1134 T1018 T1059 T1083 T1134 T1105 T1113 T1083 T1059 T1041 T1070 T1529 T1070 T1037 T1204 T1070 T1518 T1082 T1033 T1057 T1134 T1003 T1546 T1018 T1033 T1028 T1105 T1114,apt29::unknown::66,T1114,0,80
state,ms_017,apt29::unknown::11,T1012,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087,apt29::unknown::12,T1036,0,80
state,ms_018,apt29::unknown::19,T1016,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018,apt29::unknown::20,T1057,0,25
state,ms_019,apt29::unknown::18,T1018,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036,apt29::unknown::19,T1016,0,28
state,ms_020,apt29::unknown::12,T1036,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012,apt29::unknown::13,T1134,0,80
state,ms_021,fin6::unknown::6,T1003,T1087 T1018 T1482 T1016 T1069 T1134,fin6::unknown::7,T1560,0,17
state,ms_022,fin6::unknown::17,T1569,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053 T1048 T1047 T1021 T1047,fin6::unknown::16,T1047,0,80
state,ms_023,fin6::unknown::13,T1048,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053,fin6::unknown::12,T1053,0,80
state,ms_024,fin6::unknown::1,T1018,T1087,fin6::unknown::2,T1482,0,3
state,ms_025,fin6::unknown::16,T1047,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547 T1053 T1048 T1047 T1021,fin6::unknown::17,T1569,0,5
state,ms_026,fin6::unknown::7,T1560,T1087 T1018 T1482 T1016 T1069 T1134 T1003,fin6::unknown::8,T1567,0,80
state,ms_027,fin6::unknown::2,T1482,T1087 T1018,fin6::unknown::3,T1016,0,80
state,ms_028,fin6::unknown::11,T1547,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047,fin6::unknown::12,T1053,0,28
state,ms_029,fin6::unknown::10,T1047,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569,fin6::unknown::11,T1547,0,7
state,ms_030,apt29::unknown::4,T1033,T1036 T1059 T1119 T1016,apt29::unknown::5,T1041,0,76
state,ms_031,apt29::unknown::5,T1041,T1036 T1059 T1119 T1016 T1033,apt29::unknown::4,T1033,0,46
state,ms_032,apt29::unknown::7,T1007,T1036 T1059 T1119 T1016 T1033 T1041 T1057,apt29::unknown::8,T1082,0,30
state,ms_033,apt29::unknown::10,T1087,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069,apt29::unknown::11,T1012,0,43
state,ms_034,apt29::unknown::14,T1548,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134,apt29::unknown::15,T1112,0,68
state,ms_035,apt29::unknown::15,T1112,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548,apt29::unknown::14,T1548,0,80
state,ms_036,apt29::unknown::20,T1057,T1036 T1059 T1119 T1016 T1033 T1041 T1057 T1007 T1082 T1069 T1087 T1012 T1036 T1134 T1548 T1112 T1055 T1036 T1018 T1016,apt29::unknown::19,T1016,0,80
state,ms_037,fin6::unknown::3,T1016,T1087 T1018 T1482,fin6::unknown::4,T1069,0,22
state,ms_038,fin6::unknown::4,T1069,T1087 T1018 T1482 T1016,fin6::unknown::3,T1016,0,48
state,ms_039,fin6::unknown::8,T1567,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560,fin6::unknown::7,T1560,0,80
state,ms_040,fin6::unknown::12,T1053,T1087 T1018 T1482 T1016 T1069 T1134 T1003 T1560 T1567 T1569 T1047 T1547,fin6::unknown::13,T1048,0,80
state,ms_041,oilrig::unknown::26,T1003,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105,oilrig::unknown::30,T1572,0,11
state,ms_042,oilrig::unknown::36,T1070,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105 T1572 T1021 T1105 T1569 T1083 T1048,oilrig::unknown::30,T1572,0,16
state,ms_043,oilrig::unknown::17,T1555,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018,oilrig::unknown::18,T1041,0,53
state,ms_044,oilrig::unknown::20,T1505,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105,oilrig::unknown::18,T1041,0,80
state,ms_045,oilrig::unknown::12,T1082,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007,oilrig::unknown::11,T1007,0,47
state,ms_046,oilrig::unknown::16,T1018,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069,oilrig::unknown::17,T1555,0,20
state,ms_047,oilrig::unknown::18,T1041,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555,oilrig::unknown::17,T1555,0,72
state,ms_048,oilrig::unknown::11,T1007,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057,oilrig::unknown::12,T1082,0,59
state,ms_049,oilrig::unknown::1,T1033,T1082,oilrig::unknown::26,T1003,0,74
state,ms_050,oilrig::unknown::30,T1572,T1082 T1033 T1082 T1016 T1087 T1069 T1021 T1087 T1069 T1049 T1057 T1007 T1082 T1012 T1087 T1069 T1018 T1555 T1041 T1105 T1505 T1082 T1033 T1016 T1049 T1105 T1003 T1041 T1070 T1105,oilrig::unknown::26,T1003,0,80
state,ms_051,sandworm::unknown::20,T1555,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105,sandworm::unknown::22,T1056,0,45
state,ms_052,sandworm::unknown::24,T1056,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041,sandworm::unknown::25,T1018,0,3
state,ms_053,sandworm::unknown::22,T1056,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105,sandworm::unknown::20,T1555,0,2
state,ms_054,sandworm::unknown::7,T1548,T1105 T1505 T1033 T1082 T1083 T1003 T1105,sandworm::unknown::22,T1056,0,54
state,ms_055,sandworm::unknown::26,T1070,T1105 T1505 T1033 T1082 T1083 T1003 T1105 T1548 T1053 T1543 T1003 T1552 T1021 T1569 T1547 T1033 T1082 T1083 T1049 T1105 T1555 T1105 T1056 T1041 T1056 T1018,sandworm::unknown::25,T1018,0,9
