source_org,true_label,count
oilrig,T1003,1
oilrig,T1007,1
oilrig,T1018,1
oilrig,T1033,1
oilrig,T1041,1
oilrig,T1070,1
oilrig,T1082,1
oilrig,T1505,1
oilrig,T1555,1
oilrig,T1572,1
sandworm,T1018,1
sandworm,T1021,1
sandworm,T1049,1
sandworm,T1056,2
sandworm,T1070,1
sandworm,T1083,1
sandworm,T1548,1
sandworm,T1552,1
sandworm,T1555,1
turla_carbon,T1003,1
turla_carbon,T1021,1
turla_carbon,T1056,1
turla_carbon,T1069,2
turla_carbon,T1070,2
turla_carbon,T1105,1
turla_carbon,T1189,1
turla_carbon,T1205,1
wizard_spider,T1003,1
wizard_spider,T1016,1
wizard_spider,T1049,1
wizard_spider,T1078,1
wizard_spider,T1087,1
wizard_spider,T1105,1
wizard_spider,T1489,1
wizard_spider,T1490,1
wizard_spider,T1547,2
