sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,profile_file,profile_name
stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0001,stockpile,01c96671-afd3-47d4-8d31-8c116cc0221a,1,"[""T1119""]","[""T1119""]",T1560,T1560.001,data/adversaries/01c96671-afd3-47d4-8d31-8c116cc0221a.yml,Advanced Thief via DropBox
stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0002,stockpile,01c96671-afd3-47d4-8d31-8c116cc0221a,2,"[""T1119"",""T1560""]","[""T1119"",""T1560.001""]",T1567,T1567.002,data/adversaries/01c96671-afd3-47d4-8d31-8c116cc0221a.yml,Advanced Thief via DropBox
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0001,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,1,"[""T1033""]","[""T1033""]",T1083,T1083,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0002,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,2,"[""T1033"",""T1083""]","[""T1033"",""T1083""]",T1083,T1083,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0003,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,3,"[""T1033"",""T1083"",""T1083""]","[""T1033"",""T1083"",""T1083""]",T1016,T1016,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0004,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,4,"[""T1033"",""T1083"",""T1083"",""T1016""]","[""T1033"",""T1083"",""T1083"",""T1016""]",T1518,T1518,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0005,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,5,"[""T1033"",""T1083"",""T1083"",""T1016"",""T1518""]","[""T1033"",""T1083"",""T1083"",""T1016"",""T1518""]",T1518,T1518,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0006,stockpile,01d77744-2515-401a-a497-d9f7241aac3c,6,"[""T1033"",""T1083"",""T1083"",""T1016"",""T1518"",""T1518""]","[""T1033"",""T1083"",""T1083"",""T1016"",""T1518"",""T1518""]",T1518,T1518,data/adversaries/01d77744-2515-401a-a497-d9f7241aac3c.yml,Check
stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0001,stockpile,09ad625e-6cba-490f-afe3-5417e7edb9c6,1,"[""T1119""]","[""T1119""]",T1560,T1560.001,data/adversaries/09ad625e-6cba-490f-afe3-5417e7edb9c6.yml,Advanced Thief via GitHub Repo
stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0002,stockpile,09ad625e-6cba-490f-afe3-5417e7edb9c6,2,"[""T1119"",""T1560""]","[""T1119"",""T1560.001""]",T1567,T1567.001,data/adversaries/09ad625e-6cba-490f-afe3-5417e7edb9c6.yml,Advanced Thief via GitHub Repo
stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0001,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,1,"[""T1070""]","[""T1070.003""]",T1033,T1033,data/adversaries/0b73bf34-fc5b-48f7-9194-dce993b915b1.yml,Nosy Neighbor
stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0002,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,2,"[""T1070"",""T1033""]","[""T1070.003"",""T1033""]",T1018,T1018,data/adversaries/0b73bf34-fc5b-48f7-9194-dce993b915b1.yml,Nosy Neighbor
stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0003,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,3,"[""T1070"",""T1033"",""T1018""]","[""T1070.003"",""T1033"",""T1018""]",T1016,T1016.002,data/adversaries/0b73bf34-fc5b-48f7-9194-dce993b915b1.yml,Nosy Neighbor
stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0004,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,4,"[""T1070"",""T1033"",""T1018"",""T1016""]","[""T1070.003"",""T1033"",""T1018"",""T1016.002""]",T1016,T1016.002,data/adversaries/0b73bf34-fc5b-48f7-9194-dce993b915b1.yml,Nosy Neighbor
stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0001,stockpile,1bac97ca-77fc-4c9a-835e-4de1b1b7f639,1,"[""T1082""]","[""T1082""]",T1018,T1018,data/adversaries/1bac97ca-77fc-4c9a-835e-4de1b1b7f639.yml,Lateral Movement - Esentutl
stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0002,stockpile,1bac97ca-77fc-4c9a-835e-4de1b1b7f639,2,"[""T1082"",""T1018""]","[""T1082"",""T1018""]",T1564,T1564.004,data/adversaries/1bac97ca-77fc-4c9a-835e-4de1b1b7f639.yml,Lateral Movement - Esentutl
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0001,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1018""]","[""T1018""]",T1003,T1003.001,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0002,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,2,"[""T1018"",""T1003""]","[""T1018"",""T1003.001""]",T1016,T1016,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0003,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,3,"[""T1018"",""T1003"",""T1016""]","[""T1018"",""T1003.001"",""T1016""]",T1069,T1069.002,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0004,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,4,"[""T1018"",""T1003"",""T1016"",""T1069""]","[""T1018"",""T1003.001"",""T1016"",""T1069.002""]",T1069,T1069.002,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0005,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,5,"[""T1018"",""T1003"",""T1016"",""T1069"",""T1069""]","[""T1018"",""T1003.001"",""T1016"",""T1069.002"",""T1069.002""]",T1016,T1016,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0006,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,6,"[""T1018"",""T1003"",""T1016"",""T1069"",""T1069"",""T1016""]","[""T1018"",""T1003.001"",""T1016"",""T1069.002"",""T1069.002"",""T1016""]",T1021,T1021.002,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0007,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,7,"[""T1018"",""T1003"",""T1016"",""T1069"",""T1069"",""T1016"",""T1021""]","[""T1018"",""T1003.001"",""T1016"",""T1069.002"",""T1069.002"",""T1016"",""T1021.002""]",T1021,T1021.002,data/adversaries/50855e29-3b4e-4562-aa55-b3d7f93c26b8.yml,Alice 2.0
