sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,flow_file
attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,"[""T1566""]","[""T1566.001""]",T1140,T1140,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,"[""T1566"",""T1140""]","[""T1566.001"",""T1140""]",T1204,T1204.002,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,"[""T1566"",""T1140"",""T1204""]","[""T1566.001"",""T1140"",""T1204.002""]",T1059,T1059.005,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,"[""T1566"",""T1140"",""T1204"",""T1059""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005""]",T1059,T1059.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001""]",T1574,T1574.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001""]",T1218,T1218.010,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010""]",T1136,T1136,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136""]",T1484,T1484.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001""]",T1098,T1098,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098""]",T1573,T1573,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,11,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573""]",T1105,T1105,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,12,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105""]",T1555,T1555,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0013,attack_flow,Black Basta Ransomware,13,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555""]",T1021,T1021.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0014,attack_flow,Black Basta Ransomware,14,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001""]",T1569,T1569.002,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0015,attack_flow,Black Basta Ransomware,15,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002""]",T1562,T1562.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0016,attack_flow,Black Basta Ransomware,16,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001""]",T1560,T1560.001,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0017,attack_flow,Black Basta Ransomware,17,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001""]",T1573,T1573,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0018,attack_flow,Black Basta Ransomware,18,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560"",""T1573""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001"",""T1573""]",T1567,T1567,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0019,attack_flow,Black Basta Ransomware,19,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560"",""T1573"",""T1567""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001"",""T1573"",""T1567""]",T1047,T1047,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0020,attack_flow,Black Basta Ransomware,20,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560"",""T1573"",""T1567"",""T1047""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001"",""T1573"",""T1567"",""T1047""]",T1562,T1562.009,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0021,attack_flow,Black Basta Ransomware,21,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560"",""T1573"",""T1567"",""T1047"",""T1562""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001"",""T1573"",""T1567"",""T1047"",""T1562.009""]",T1083,T1083,Black Basta Ransomware.afb
attack_flow::Black Basta Ransomware::0022,attack_flow,Black Basta Ransomware,22,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021"",""T1569"",""T1562"",""T1560"",""T1573"",""T1567"",""T1047"",""T1562"",""T1083""]","[""T1566.001"",""T1140"",""T1204.002"",""T1059.005"",""T1059.001"",""T1574.001"",""T1218.010"",""T1136"",""T1484.001"",""T1098"",""T1573"",""T1105"",""T1555"",""T1021.001"",""T1569.002"",""T1562.001"",""T1560.001"",""T1573"",""T1567"",""T1047"",""T1562.009"",""T1083""]",T1486,T1486,Black Basta Ransomware.afb
