sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,org_name,actor,plan_id,scenario_id,mapping_quality,recent_prefix_ids,kg_context,kg_snippet_ids,kg_snippet_types,kg_retrieved_snippet_ids,kg_chars_before,kg_chars_after,kg_empty_reason,flow_file,profile_file,profile_name
apt29::unknown::1,ctid,apt29::unknown,1,"[""T1036""]","[""T1036.002""]",T1059,T1059.001,apt29,apt29,apt29,unknown,high,"[""T1036""]","Misdat uses Match Legitimate Resource Name or Location | Target ATT&CK ID: T1036.005 | [Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named `msdtc.exe`, which is also the name of the legitimate Microsoft Distributed Transaction ... ; 2016 Ukraine Electric Power Attack uses Masquerade File Type | Target ATT&CK ID: T1036.008 | During the [2016 Ukraine Electric Power Attack](https://attack.mitre.org/campaigns/C0025), [Sandworm Team](https://attack.mitre.org/groups/G0034) masqueraded ... ; RainyDay uses Match Legitimate Resource Name or Location | Target ATT&CK ID: T1036.005 | [RainyDay](https://attack.mitre.org/software/S0629) has used names to mimic legitimate ...","[""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--03927cb1-f80c-4b86-ac8d-f0963141eaa8"", ""relationship::relationship--0529ea16-1644-455d-a682-27e1f04b8cd1""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--03927cb1-f80c-4b86-ac8d-f0963141eaa8"", ""relationship::relationship--0529ea16-1644-455d-a682-27e1f04b8cd1"", ""relationship::relationship--069f77c1-aafd-4883-aecd-707802442427"", ""relationship::relationship--06b18704-e29e-4bf9-900f-44aa719df0c6""]",1279,696,,,,
apt29::unknown::10,ctid,apt29::unknown,10,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069""]",T1087,T1087,apt29,apt29,apt29,unknown,high,"[""T1007"", ""T1082"", ""T1069""]",Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; Ursnif uses System Service Discovery | Target ATT&CK ID: T1007 | [Ursnif](https://attack.mitre.org/software/S0386) has gathered information about running services.(Citation: TrendMicro Ursnif Mar 2015) ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June ...,"[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--00490a17-1032-461b-8085-500d56bb80f5"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--00490a17-1032-461b-8085-500d56bb80f5"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707"", ""relationship::relationship--01933b06-956c-4f09-9dcc-e7c6b672dc94""]",1219,699,,,,
apt29::unknown::11,ctid,apt29::unknown,11,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087""]",T1012,T1012,apt29,apt29,apt29,unknown,high,"[""T1082"", ""T1069"", ""T1087""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707"", ""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--01933b06-956c-4f09-9dcc-e7c6b672dc94"", ""relationship::relationship--01b542b1-3222-459b-9cdf-b91dcd29c749""]",1411,697,,,,
apt29::unknown::12,ctid,apt29::unknown,12,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012""]",T1036,T1036.005,apt29,apt29,apt29,unknown,high,"[""T1069"", ""T1087"", ""T1012""]",DUSTTRAP uses Domain Account | Target ATT&CK ID: T1087.002 | [DUSTTRAP](https://attack.mitre.org/software/S1159) can enumerate domain accounts.(Citation: Google Cloud APT41 2024) ; Epic uses Query Registry | Target ATT&CK ID: T1012 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>rem reg query</code> command to obtain values from Registry keys.(Citation: Kaspersky Turla) ; DUSTTRAP uses Query Registry | Target ATT&CK ID: T1012 | [DUSTTRAP](https://attack.mitre.org/software/S1159) can enumerate Registry items.(Citation: Google Cloud APT41 2024) ; Aquatic Panda uses Account Discovery | Target ATT&CK ID: T1087 | [Aquatic Panda](https://attack.mitre.org/groups/G0143) used ...,"[""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--02b38264-044a-47ee-b8d8-a08cbb115d06""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--02b38264-044a-47ee-b8d8-a08cbb115d06"", ""relationship::relationship--02c88228-8275-42a7-9c3a-d5393556bceb"", ""relationship::relationship--03070395-3b76-4351-a3bd-0d9eaaa6652c""]",1262,696,,,,
apt29::unknown::13,ctid,apt29::unknown,13,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005""]",T1134,T1134.001,apt29,apt29,apt29,unknown,high,"[""T1087"", ""T1012"", ""T1036""]",DUSTTRAP uses Domain Account | Target ATT&CK ID: T1087.002 | [DUSTTRAP](https://attack.mitre.org/software/S1159) can enumerate domain accounts.(Citation: Google Cloud APT41 2024) ; Epic uses Query Registry | Target ATT&CK ID: T1012 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>rem reg query</code> command to obtain values from Registry keys.(Citation: Kaspersky Turla) ; DUSTTRAP uses Query Registry | Target ATT&CK ID: T1012 | [DUSTTRAP](https://attack.mitre.org/software/S1159) can enumerate Registry items.(Citation: Google Cloud APT41 2024) ; Misdat uses Match Legitimate Resource Name or Location | Target ATT&CK ID: T1036.005 | ...,"[""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0136018a-db45-4517-9834-7261488bc3fe"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--02b38264-044a-47ee-b8d8-a08cbb115d06"", ""relationship::relationship--02c88228-8275-42a7-9c3a-d5393556bceb""]",1327,658,,,,
apt29::unknown::14,ctid,apt29::unknown,14,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001""]",T1548,T1548.002,apt29,apt29,apt29,unknown,high,"[""T1012"", ""T1036"", ""T1134""]",Azorult uses Create Process with Token | Target ATT&CK ID: T1134.002 | [Azorult](https://attack.mitre.org/software/S0344) can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.(Citation: Unit42 Azorult Nov 2018) ; Epic uses Query Registry | Target ATT&CK ID: T1012 | [Epic](https://attack.mitre.org/software/S0091) uses the <code>rem reg query</code> command to obtain values from Registry keys.(Citation: Kaspersky Turla) ; DUSTTRAP uses Query Registry | Target ATT&CK ID: T1012 | [DUSTTRAP](https://attack.mitre.org/software/S1159) can enumerate Registry items.(Citation: Google Cloud APT41 2024) ; Misdat uses Match Legitimate Resource Name or ...,"[""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b"", ""relationship::relationship--018a5e33-ef18-4a6b-8389-c950053d4a75"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--03070395-3b76-4351-a3bd-0d9eaaa6652c"", ""relationship::relationship--03927cb1-f80c-4b86-ac8d-f0963141eaa8""]",1359,699,,,,
apt29::unknown::15,ctid,apt29::unknown,15,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002""]",T1112,T1112,apt29,apt29,apt29,unknown,high,"[""T1036"", ""T1134"", ""T1548""]","Cobalt Strike uses Sudo and Sudo Caching | Target ATT&CK ID: T1548.003 | [Cobalt Strike](https://attack.mitre.org/software/S0154) can use <code>sudo</code> to run a command.(Citation: Cobalt Strike Manual 4.3 November 2020) ; Azorult uses Create Process with Token | Target ATT&CK ID: T1134.002 | [Azorult](https://attack.mitre.org/software/S0344) can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.(Citation: Unit42 Azorult Nov 2018) ; Misdat uses Match Legitimate Resource Name or Location | Target ATT&CK ID: T1036.005 | [Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named `msdtc.exe`, which is also the name of ...","[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--03927cb1-f80c-4b86-ac8d-f0963141eaa8"", ""relationship::relationship--0529ea16-1644-455d-a682-27e1f04b8cd1""]",1259,697,,,,
apt29::unknown::16,ctid,apt29::unknown,16,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112""]",T1055,T1055,apt29,apt29,apt29,unknown,high,"[""T1134"", ""T1548"", ""T1112""]",Cobalt Strike uses Sudo and Sudo Caching | Target ATT&CK ID: T1548.003 | [Cobalt Strike](https://attack.mitre.org/software/S0154) can use <code>sudo</code> to run a command.(Citation: Cobalt Strike Manual 4.3 November 2020) ; Azorult uses Create Process with Token | Target ATT&CK ID: T1134.002 | [Azorult](https://attack.mitre.org/software/S0344) can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.(Citation: Unit42 Azorult Nov 2018) ; CharmPower uses Modify Registry | Target ATT&CK ID: T1112 | [CharmPower](https://attack.mitre.org/software/S0674) can remove persistence-related artifacts from the Registry.(Citation: Check Point APT35 ...,"[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f"", ""relationship::relationship--052be04b-5ff3-4757-a5c1-de012997accc"", ""relationship::relationship--054a22c3-f0ee-476a-b0cb-e3277c755032""]",1203,694,,,,
apt29::unknown::17,ctid,apt29::unknown,17,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055""]",T1036,T1036.005,apt29,apt29,apt29,unknown,high,"[""T1548"", ""T1112"", ""T1055""]",Cobalt Strike uses Sudo and Sudo Caching | Target ATT&CK ID: T1548.003 | [Cobalt Strike](https://attack.mitre.org/software/S0154) can use <code>sudo</code> to run a command.(Citation: Cobalt Strike Manual 4.3 November 2020) ; CharmPower uses Modify Registry | Target ATT&CK ID: T1112 | [CharmPower](https://attack.mitre.org/software/S0674) can remove persistence-related artifacts from the Registry.(Citation: Check Point APT35 CharmPower January 2022) ; TURNEDUP uses Asynchronous Procedure Call | Target ATT&CK ID: T1055.004 | [TURNEDUP](https://attack.mitre.org/software/S0199) is capable of injecting code into the APC queue of a created ...,"[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f"", ""relationship::relationship--02e3008d-1b2b-4824-b715-d6d8335cc4b2""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f"", ""relationship::relationship--02e3008d-1b2b-4824-b715-d6d8335cc4b2"", ""relationship::relationship--0321e766-10c1-4215-9fd6-7f712b642dca"", ""relationship::relationship--0432482e-344c-4be3-9a70-5391cf41a935"", ""relationship::relationship--052be04b-5ff3-4757-a5c1-de012997accc""]",1364,645,,,,
apt29::unknown::18,ctid,apt29::unknown,18,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036""]","[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005""]",T1018,T1018,apt29,apt29,apt29,unknown,high,"[""T1112"", ""T1055"", ""T1036""]","CharmPower uses Modify Registry | Target ATT&CK ID: T1112 | [CharmPower](https://attack.mitre.org/software/S0674) can remove persistence-related artifacts from the Registry.(Citation: Check Point APT35 CharmPower January 2022) ; Misdat uses Match Legitimate Resource Name or Location | Target ATT&CK ID: T1036.005 | [Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named `msdtc.exe`, which is also the name of the legitimate Microsoft Distributed Transaction ... ; TURNEDUP uses Asynchronous Procedure Call | Target ATT&CK ID: T1055.004 | [TURNEDUP](https://attack.mitre.org/software/S0199) is capable of injecting code into the APC queue of a created ...","[""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--02e3008d-1b2b-4824-b715-d6d8335cc4b2""]","[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f"", ""relationship::relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d"", ""relationship::relationship--02e3008d-1b2b-4824-b715-d6d8335cc4b2"", ""relationship::relationship--0321e766-10c1-4215-9fd6-7f712b642dca"", ""relationship::relationship--03927cb1-f80c-4b86-ac8d-f0963141eaa8""]",1196,679,,,,
