sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,flow,source_action,target_action
Black Basta Ransomware::0,attack_flow,Black Basta Ransomware,1,"[""T1219""]","[""T1219""]",T1021,T1021.001,Black Basta Ransomware,10048ae7-77fe-4da0-81fc-5a20ce0ccb63,bfc59d4e-32d1-42ae-94f7-8a1bc4d6dc91
Black Basta Ransomware::1,attack_flow,Black Basta Ransomware,1,"[""T1484""]","[""T1484.001""]",T1098,T1098,Black Basta Ransomware,1ab99f8c-71a2-4518-a034-9100998b949c,599cf0b7-3d8f-4988-85de-4301a29f86b6
Black Basta Ransomware::2,attack_flow,Black Basta Ransomware,1,"[""T1491""]","[""T1491.001""]",T1070,T1070.004,Black Basta Ransomware,1b746e0c-0285-4a7a-9619-1e76b2f5e92d,a4051af5-0069-4c5e-9792-c785a0e1259d
Black Basta Ransomware::3,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1016,T1016,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,021a2d7f-d3f6-4068-8cdb-8115a117d693
Black Basta Ransomware::4,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1219,T1219,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,10048ae7-77fe-4da0-81fc-5a20ce0ccb63
Black Basta Ransomware::5,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1087,T1087.002,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,2bc3e3de-34a5-4c6e-bf2a-ae51bd70528d
Black Basta Ransomware::6,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1555,T1555,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,2d4931da-3298-420c-ace1-582fabc4a558
Black Basta Ransomware::7,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1112,T1112,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,aa944319-37e0-4642-9c25-1899132e5150
Black Basta Ransomware::8,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1562,T1562.004,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,c197e5b8-3522-43bb-b10d-55ff3a3ba540
Black Basta Ransomware::9,attack_flow,Black Basta Ransomware,1,"[""T1105""]","[""T1105""]",T1082,T1082,Black Basta Ransomware,21faed62-d790-40dd-a97c-e20cad02e4ed,ee06934e-65d6-4e98-8edd-e87988064314
Black Basta Ransomware::10,attack_flow,Black Basta Ransomware,1,"[""T1573""]","[""T1573""]",T1567,T1567,Black Basta Ransomware,28045127-d6be-4d1a-b45b-d52e9185fbf8,44650151-de19-4ebd-a9ae-d8aa4e5015f5
Black Basta Ransomware::11,attack_flow,Black Basta Ransomware,1,"[""T1555""]","[""T1555""]",T1021,T1021.001,Black Basta Ransomware,2d4931da-3298-420c-ace1-582fabc4a558,bfc59d4e-32d1-42ae-94f7-8a1bc4d6dc91
Black Basta Ransomware::12,attack_flow,Black Basta Ransomware,1,"[""T1657""]","[""T1657""]",T1562,T1562.009,Black Basta Ransomware,2e169be0-a168-47ac-a428-2b653e401f5a,ab3bbdcf-9899-4fa9-9365-52d416300957
Black Basta Ransomware::13,attack_flow,Black Basta Ransomware,1,"[""T1657""]","[""T1657""]",T1112,T1112,Black Basta Ransomware,2e169be0-a168-47ac-a428-2b653e401f5a,d09fa5d5-e991-4085-a8be-46d62ee28a7f
Black Basta Ransomware::14,attack_flow,Black Basta Ransomware,1,"[""T1622""]","[""T1622""]",T1560,T1560.001,Black Basta Ransomware,3a7cc2d4-25fe-4fb5-abee-5f2b6dc0caee,e4784eca-c724-4035-acb4-3fc76cbcb59f
Black Basta Ransomware::15,attack_flow,Black Basta Ransomware,1,"[""T1567""]","[""T1567""]",T1657,T1657,Black Basta Ransomware,44650151-de19-4ebd-a9ae-d8aa4e5015f5,2e169be0-a168-47ac-a428-2b653e401f5a
