sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,profile_id,profile,position
01c96671-afd3-47d4-8d31-8c116cc0221a::0,stockpile,01c96671-afd3-47d4-8d31-8c116cc0221a,1,"[""T1119""]","[""T1119""]",T1560,T1560.001,01c96671-afd3-47d4-8d31-8c116cc0221a,Advanced Thief via DropBox,0
01c96671-afd3-47d4-8d31-8c116cc0221a::1,stockpile,01c96671-afd3-47d4-8d31-8c116cc0221a,1,"[""T1560""]","[""T1560.001""]",T1567,T1567.002,01c96671-afd3-47d4-8d31-8c116cc0221a,Advanced Thief via DropBox,1
0b73bf34-fc5b-48f7-9194-dce993b915b1::0,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,1,"[""T1070""]","[""T1070.003""]",T1033,T1033,0b73bf34-fc5b-48f7-9194-dce993b915b1,Nosy Neighbor,0
0b73bf34-fc5b-48f7-9194-dce993b915b1::1,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,1,"[""T1033""]","[""T1033""]",T1018,T1018,0b73bf34-fc5b-48f7-9194-dce993b915b1,Nosy Neighbor,1
0b73bf34-fc5b-48f7-9194-dce993b915b1::4,stockpile,0b73bf34-fc5b-48f7-9194-dce993b915b1,1,"[""T1016""]","[""T1016.002""]",T1016,T1016.002,0b73bf34-fc5b-48f7-9194-dce993b915b1,Nosy Neighbor,4
50855e29-3b4e-4562-aa55-b3d7f93c26b8::0,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1018""]","[""T1018""]",T1003,T1003.001,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,0
50855e29-3b4e-4562-aa55-b3d7f93c26b8::1,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1003""]","[""T1003.001""]",T1016,T1016,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,1
50855e29-3b4e-4562-aa55-b3d7f93c26b8::2,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1016""]","[""T1016""]",T1069,T1069.002,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,2
50855e29-3b4e-4562-aa55-b3d7f93c26b8::3,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1069""]","[""T1069.002""]",T1069,T1069.002,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,3
50855e29-3b4e-4562-aa55-b3d7f93c26b8::4,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1069""]","[""T1069.002""]",T1016,T1016,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,4
50855e29-3b4e-4562-aa55-b3d7f93c26b8::5,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1016""]","[""T1016""]",T1021,T1021.002,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,5
50855e29-3b4e-4562-aa55-b3d7f93c26b8::6,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1021""]","[""T1021.002""]",T1021,T1021.002,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,6
50855e29-3b4e-4562-aa55-b3d7f93c26b8::7,stockpile,50855e29-3b4e-4562-aa55-b3d7f93c26b8,1,"[""T1021""]","[""T1021.002""]",T1047,T1047,50855e29-3b4e-4562-aa55-b3d7f93c26b8,Alice 2.0,7
564ae20d-778d-4965-93dc-b523be2e2ab4::0,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1113""]","[""T1113""]",T1115,T1115,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,0
564ae20d-778d-4965-93dc-b523be2e2ab4::1,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1115""]","[""T1115""]",T1217,T1217,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,1
564ae20d-778d-4965-93dc-b523be2e2ab4::2,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1217""]","[""T1217""]",T1496,T1496,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,2
564ae20d-778d-4965-93dc-b523be2e2ab4::3,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1496""]","[""T1496""]",T1074,T1074.001,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,3
564ae20d-778d-4965-93dc-b523be2e2ab4::4,stockpile,564ae20d-778d-4965-93dc-b523be2e2ab4,1,"[""T1074""]","[""T1074.001""]",T1005,T1005,564ae20d-778d-4965-93dc-b523be2e2ab4,Super Spy,4
