comparison,metric,campaign_id,rows,left_value,right_value,difference
B0-A0,ndcg5,apt29::unknown,63,0.07356747548320651,0.11889607305198817,-0.04532859756878166
B0-A0,ndcg5,carbanak::unknown,19,0.18054417753256014,0.17775060957767672,0.002793567954883419
B0-A0,ndcg5,fin6::unknown,16,0.2521804671542839,0.04849077015034285,0.20368969700394102
B0-A0,ndcg5,fin7::unknown,8,0.08135256482001364,0.058659840752844555,0.022692724067169087
B0-A0,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.0,0.11731968150568912
B0-A0,ndcg5,oilrig::unknown,35,0.2782614129937602,0.17891102370875084,0.09935038928500939
B0-A0,ndcg5,sandworm::unknown,31,0.25245016047432833,0.24371795284130246,0.008732207633025874
B0-A0,ndcg5,turla_carbon::unknown,23,0.2859554321582857,0.34705697354498527,-0.06110154138669954
B0-A0,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.31490851562430194,-0.14609281311690758
B0-A0,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.266253592177398,-0.013908096604501208
B0-A0,hit5,apt29::unknown,63,0.25396825396825395,0.3492063492063492,-0.09523809523809523
B0-A0,hit5,carbanak::unknown,19,0.47368421052631576,0.5789473684210527,-0.10526315789473689
B0-A0,hit5,fin6::unknown,16,0.5625,0.1875,0.375
B0-A0,hit5,fin7::unknown,8,0.125,0.125,0.0
B0-A0,hit5,menu_pass::unknown,10,0.3,0.0,0.3
B0-A0,hit5,oilrig::unknown,35,0.6857142857142857,0.5142857142857142,0.17142857142857149
B0-A0,hit5,sandworm::unknown,31,0.5483870967741935,0.6129032258064516,-0.06451612903225812
B0-A0,hit5,turla_carbon::unknown,23,0.6956521739130435,0.782608695652174,-0.08695652173913049
B0-A0,hit5,turla_snake::unknown,26,0.38461538461538464,0.8461538461538461,-0.4615384615384615
B0-A0,hit5,wizard_spider::unknown,32,0.53125,0.65625,-0.125
B0-A0,precision5,apt29::unknown,63,0.05396825396825397,0.0761904761904762,-0.022222222222222227
B0-A0,precision5,carbanak::unknown,19,0.12631578947368424,0.12631578947368424,0.0
B0-A0,precision5,fin6::unknown,16,0.15,0.037500000000000006,0.11249999999999999
B0-A0,precision5,fin7::unknown,8,0.05,0.025,0.025
B0-A0,precision5,menu_pass::unknown,10,0.06000000000000001,0.0,0.06000000000000001
B0-A0,precision5,oilrig::unknown,35,0.22285714285714286,0.13142857142857145,0.09142857142857141
B0-A0,precision5,sandworm::unknown,31,0.14838709677419357,0.16774193548387098,-0.019354838709677413
B0-A0,precision5,turla_carbon::unknown,23,0.1826086956521739,0.24347826086956523,-0.060869565217391314
B0-A0,precision5,turla_snake::unknown,26,0.1,0.2076923076923077,-0.1076923076923077
B0-A0,precision5,wizard_spider::unknown,32,0.1625,0.17500000000000002,-0.012500000000000011
B0-A0,recall5,apt29::unknown,63,0.09259259259259259,0.13227513227513227,-0.03968253968253968
B0-A0,recall5,carbanak::unknown,19,0.21052631578947367,0.25438596491228066,-0.04385964912280699
B0-A0,recall5,fin6::unknown,16,0.26041666666666663,0.07291666666666666,0.18749999999999997
B0-A0,recall5,fin7::unknown,8,0.08333333333333333,0.041666666666666664,0.041666666666666664
B0-A0,recall5,menu_pass::unknown,10,0.1,0.0,0.1
B0-A0,recall5,oilrig::unknown,35,0.37142857142857144,0.24285714285714285,0.1285714285714286
B0-A0,recall5,sandworm::unknown,31,0.29569892473118276,0.3333333333333333,-0.03763440860215056
B0-A0,recall5,turla_carbon::unknown,23,0.32608695652173914,0.43478260869565216,-0.10869565217391303
B0-A0,recall5,turla_snake::unknown,26,0.16666666666666666,0.34615384615384615,-0.1794871794871795
B0-A0,recall5,wizard_spider::unknown,32,0.30729166666666663,0.3489583333333333,-0.041666666666666685
B0-K,ndcg5,apt29::unknown,63,0.07356747548320651,0.0742887922850821,-0.0007213168018755933
B0-K,ndcg5,carbanak::unknown,19,0.18054417753256014,0.15833394618318217,0.022210231349377968
B0-K,ndcg5,fin6::unknown,16,0.2521804671542839,0.07181311100165762,0.18036735615262628
B0-K,ndcg5,fin7::unknown,8,0.08135256482001364,0.0,0.08135256482001364
B0-K,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.07653606369886216,0.04078361780682696
B0-K,ndcg5,oilrig::unknown,35,0.2782614129937602,0.1699668591603758,0.10829455383338443
B0-K,ndcg5,sandworm::unknown,31,0.25245016047432833,0.269649423157618,-0.01719926268328964
B0-K,ndcg5,turla_carbon::unknown,23,0.2859554321582857,0.2650396611109781,0.02091577104730763
B0-K,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.11466815719707629,0.05414754531031807
B0-K,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.25004999160745445,0.0022955039654423692
B0-K,hit5,apt29::unknown,63,0.25396825396825395,0.25396825396825395,0.0
B0-K,hit5,carbanak::unknown,19,0.47368421052631576,0.42105263157894735,0.05263157894736842
B0-K,hit5,fin6::unknown,16,0.5625,0.25,0.3125
B0-K,hit5,fin7::unknown,8,0.125,0.0,0.125
B0-K,hit5,menu_pass::unknown,10,0.3,0.2,0.09999999999999998
B0-K,hit5,oilrig::unknown,35,0.6857142857142857,0.42857142857142855,0.2571428571428572
B0-K,hit5,sandworm::unknown,31,0.5483870967741935,0.6129032258064516,-0.06451612903225812
B0-K,hit5,turla_carbon::unknown,23,0.6956521739130435,0.5652173913043478,0.13043478260869568
B0-K,hit5,turla_snake::unknown,26,0.38461538461538464,0.4230769230769231,-0.038461538461538436
B0-K,hit5,wizard_spider::unknown,32,0.53125,0.5625,-0.03125
B0-K,precision5,apt29::unknown,63,0.05396825396825397,0.05396825396825397,0.0
B0-K,precision5,carbanak::unknown,19,0.12631578947368424,0.09473684210526316,0.03157894736842108
B0-K,precision5,fin6::unknown,16,0.15,0.05,0.09999999999999999
B0-K,precision5,fin7::unknown,8,0.05,0.0,0.05
B0-K,precision5,menu_pass::unknown,10,0.06000000000000001,0.04,0.02000000000000001
B0-K,precision5,oilrig::unknown,35,0.22285714285714286,0.10285714285714286,0.12000000000000001
B0-K,precision5,sandworm::unknown,31,0.14838709677419357,0.1548387096774194,-0.006451612903225823
B0-K,precision5,turla_carbon::unknown,23,0.1826086956521739,0.14782608695652175,0.03478260869565217
B0-K,precision5,turla_snake::unknown,26,0.1,0.08461538461538462,0.015384615384615385
B0-K,precision5,wizard_spider::unknown,32,0.1625,0.1375,0.024999999999999994
B0-K,recall5,apt29::unknown,63,0.09259259259259259,0.09259259259259259,0.0
B0-K,recall5,carbanak::unknown,19,0.21052631578947367,0.15789473684210525,0.05263157894736842
B0-K,recall5,fin6::unknown,16,0.26041666666666663,0.08333333333333333,0.17708333333333331
B0-K,recall5,fin7::unknown,8,0.08333333333333333,0.0,0.08333333333333333
B0-K,recall5,menu_pass::unknown,10,0.1,0.06666666666666667,0.03333333333333334
B0-K,recall5,oilrig::unknown,35,0.37142857142857144,0.17142857142857143,0.2
B0-K,recall5,sandworm::unknown,31,0.29569892473118276,0.28494623655913975,0.010752688172043001
B0-K,recall5,turla_carbon::unknown,23,0.32608695652173914,0.2608695652173913,0.06521739130434784
B0-K,recall5,turla_snake::unknown,26,0.16666666666666666,0.14102564102564102,0.025641025641025633
B0-K,recall5,wizard_spider::unknown,32,0.30729166666666663,0.265625,0.04166666666666663
B0-T,ndcg5,apt29::unknown,63,0.07356747548320651,0.06906535115122331,0.004502124331983201
B0-T,ndcg5,carbanak::unknown,19,0.18054417753256014,0.17843070389393548,0.0021134736386246578
B0-T,ndcg5,fin6::unknown,16,0.2521804671542839,0.11280918713140418,0.13937128002287968
B0-T,ndcg5,fin7::unknown,8,0.08135256482001364,0.025263418312568446,0.056089146507445196
B0-T,ndcg5,menu_pass::unknown,10,0.11731968150568912,0.09674679834891693,0.020572883156772193
B0-T,ndcg5,oilrig::unknown,35,0.2782614129937602,0.2214340144641241,0.056827398529636114
B0-T,ndcg5,sandworm::unknown,31,0.25245016047432833,0.2265067854507288,0.02594337502359953
B0-T,ndcg5,turla_carbon::unknown,23,0.2859554321582857,0.278090368067041,0.007865064091244711
B0-T,ndcg5,turla_snake::unknown,26,0.16881570250739436,0.14375200434196453,0.025063698165429832
B0-T,ndcg5,wizard_spider::unknown,32,0.2523454955728968,0.2072261267709649,0.0451193688019319
B0-T,hit5,apt29::unknown,63,0.25396825396825395,0.2222222222222222,0.031746031746031744
B0-T,hit5,carbanak::unknown,19,0.47368421052631576,0.5263157894736842,-0.05263157894736842
B0-T,hit5,fin6::unknown,16,0.5625,0.4375,0.125
B0-T,hit5,fin7::unknown,8,0.125,0.125,0.0
B0-T,hit5,menu_pass::unknown,10,0.3,0.3,0.0
B0-T,hit5,oilrig::unknown,35,0.6857142857142857,0.5142857142857142,0.17142857142857149
B0-T,hit5,sandworm::unknown,31,0.5483870967741935,0.5161290322580645,0.032258064516129004
B0-T,hit5,turla_carbon::unknown,23,0.6956521739130435,0.6086956521739131,0.08695652173913038
B0-T,hit5,turla_snake::unknown,26,0.38461538461538464,0.46153846153846156,-0.07692307692307693
B0-T,hit5,wizard_spider::unknown,32,0.53125,0.53125,0.0
B0-T,precision5,apt29::unknown,63,0.05396825396825397,0.044444444444444446,0.009523809523809525
B0-T,precision5,carbanak::unknown,19,0.12631578947368424,0.11578947368421054,0.010526315789473703
B0-T,precision5,fin6::unknown,16,0.15,0.08750000000000001,0.062499999999999986
B0-T,precision5,fin7::unknown,8,0.05,0.025,0.025
B0-T,precision5,menu_pass::unknown,10,0.06000000000000001,0.06000000000000001,0.0
B0-T,precision5,oilrig::unknown,35,0.22285714285714286,0.11428571428571428,0.10857142857142858
B0-T,precision5,sandworm::unknown,31,0.14838709677419357,0.12258064516129033,0.025806451612903236
B0-T,precision5,turla_carbon::unknown,23,0.1826086956521739,0.17391304347826086,0.008695652173913049
B0-T,precision5,turla_snake::unknown,26,0.1,0.1076923076923077,-0.007692307692307693
B0-T,precision5,wizard_spider::unknown,32,0.1625,0.125,0.037500000000000006
B0-T,recall5,apt29::unknown,63,0.09259259259259259,0.07407407407407407,0.018518518518518517
B0-T,recall5,carbanak::unknown,19,0.21052631578947367,0.22807017543859648,-0.017543859649122806
