comparison,metric,omitted_campaign,campaigns_remaining,full_effect,leave_one_out_effect
B0-A0,ndcg5,apt29::unknown,9,0.01881472187728279,0.025941757371289953
B0-A0,ndcg5,carbanak::unknown,9,0.01881472187728279,0.020594850090882723
B0-A0,ndcg5,fin6::unknown,9,0.01881472187728279,-0.0017269420256792332
B0-A0,ndcg5,fin7::unknown,9,0.01881472187728279,0.0183838327450732
B0-A0,ndcg5,menu_pass::unknown,9,0.01881472187728279,0.007869726363015422
B0-A0,ndcg5,oilrig::unknown,9,0.01881472187728279,0.009866314387535392
B0-A0,ndcg5,sandworm::unknown,9,0.01881472187728279,0.01993500123775578
B0-A0,ndcg5,turla_carbon::unknown,9,0.01881472187728279,0.02769430668439194
B0-A0,ndcg5,turla_snake::unknown,9,0.01881472187728279,0.037137781321081725
B0-A0,ndcg5,wizard_spider::unknown,9,0.01881472187728279,0.022450590597481015
B0-A0,hit5,apt29::unknown,9,-0.009208379401411077,0.00035047791377605203
B0-A0,hit5,carbanak::unknown,9,-0.009208379401411077,0.001464373764514014
B0-A0,hit5,fin6::unknown,9,-0.009208379401411077,-0.051898199334901196
B0-A0,hit5,fin7::unknown,9,-0.009208379401411077,-0.01023153266823453
B0-A0,hit5,menu_pass::unknown,9,-0.009208379401411077,-0.043564866001567865
B0-A0,hit5,oilrig::unknown,9,-0.009208379401411077,-0.029279151715853585
B0-A0,hit5,sandworm::unknown,9,-0.009208379401411077,-0.0030630738868725163
B0-A0,hit5,turla_carbon::unknown,9,-0.009208379401411077,-0.000569696919442253
B0-A0,hit5,turla_snake::unknown,9,-0.009208379401411077,0.04105051861381675
B0-A0,hit5,wizard_spider::unknown,9,-0.009208379401411077,0.0036573562206543594
B0-A0,precision5,apt29::unknown,9,0.006628963758697276,0.009834651089910555
B0-A0,precision5,carbanak::unknown,9,0.006628963758697276,0.0073655152874414175
B0-A0,precision5,fin6::unknown,9,0.006628963758697276,-0.0051344847125585815
B0-A0,precision5,fin7::unknown,9,0.006628963758697276,0.004587737509663639
B0-A0,precision5,menu_pass::unknown,9,0.006628963758697276,0.0006988486207747491
B0-A0,precision5,oilrig::unknown,9,0.006628963758697276,-0.00279321487128874
B0-A0,precision5,sandworm::unknown,9,0.006628963758697276,0.009516052921850019
B0-A0,precision5,turla_carbon::unknown,9,0.006628963758697276,0.014128800311596008
B0-A0,precision5,turla_snake::unknown,9,0.006628963758697276,0.019331327253253386
B0-A0,precision5,wizard_spider::unknown,9,0.006628963758697276,0.008754404176330308
B0-A0,recall5,apt29::unknown,9,0.0006711999502838802,0.005154948798375387
B0-A0,recall5,carbanak::unknown,9,0.0006711999502838802,0.0056190720695161985
B0-A0,recall5,fin6::unknown,9,0.0006711999502838802,-0.020087555610795685
B0-A0,recall5,fin7::unknown,9,0.0006711999502838802,-0.0038838519070919847
B0-A0,recall5,menu_pass::unknown,9,0.0006711999502838802,-0.010365333388573468
B0-A0,recall5,oilrig::unknown,9,0.0006711999502838802,-0.013539936563176643
B0-A0,recall5,sandworm::unknown,9,0.0006711999502838802,0.004927378678332151
B0-A0,recall5,turla_carbon::unknown,9,0.0006711999502838802,0.01282307240852798
B0-A0,recall5,turla_snake::unknown,9,0.0006711999502838802,0.020688797665557587
B0-A0,recall5,wizard_spider::unknown,9,0.0006711999502838802,0.005375407352167277
B0-K,ndcg5,apt29::unknown,9,0.04924465648001321,0.05479643128911196
B0-K,ndcg5,carbanak::unknown,9,0.04924465648001321,0.05224848149452824
B0-K,ndcg5,fin6::unknown,9,0.04924465648001321,0.03467546762750065
B0-K,ndcg5,fin7::unknown,9,0.04924465648001321,0.04567711110890205
B0-K,ndcg5,menu_pass::unknown,9,0.04924465648001321,0.05018477188814502
B0-K,ndcg5,oilrig::unknown,9,0.04924465648001321,0.04268355677408307
B0-K,ndcg5,sandworm::unknown,9,0.04924465648001321,0.056627314164824645
B0-K,ndcg5,turla_carbon::unknown,9,0.04924465648001321,0.052392310416980496
B0-K,ndcg5,turla_snake::unknown,9,0.04924465648001321,0.04869989105442378
B0-K,ndcg5,wizard_spider::unknown,9,0.04924465648001321,0.05446122898163219
B0-K,hit5,apt29::unknown,9,0.08434815512051247,0.09372017235612497
B0-K,hit5,carbanak::unknown,9,0.08434815512051247,0.08787221913975068
B0-K,hit5,fin6::unknown,9,0.08434815512051247,0.05899795013390274
