bundle_file,indexed,title,sha256,valid_json_bundle,objects,campaigns,campaign_reports,attack_patterns,relationships,campaign_uses_attack_pattern_edges,attack_pattern_to_attack_pattern_edges,sequence_like_fields,sequence_eligible_campaigns,error
2024-02-08-Pikabot.json,0,,5a74ade263b9996ecff8e383990bd1e51d0f5705182de8dead8033c6ea6a2457,1,10,0,0,0,0,0,0,[],0,
IcedID_Unit42_Intel.json,0,,c665c9a48099c0093ea4a966bf092fd698510974e0aab0b2747122c93aa26b2a,1,311,3,3,5,201,11,0,[],0,
adept-libra.json,1,ADEPT LIBRA,92eb8fe80905e583edf4a26fad0c1cd077bfea0c1afa0a1323475ff0a450af8e,1,1428,3,3,47,989,67,0,[],0,
agedlibra.json,1,AGED LIBRA,8b00a30092c96a66c8c78633fcb78b381437b70ffca8b3e4a469fd3125bb94a0,1,1534,4,4,35,1277,121,0,[],0,
agent-tesla.json,1,AGENT TESLA,caaf4442e0cc74c0e0b194fef3b0f250fcbcef82e958483b49c4dcc60cc1c501,1,321,3,3,22,231,26,0,[],0,
api-hammering-technique.json,1,API-HAMMERING-TECHNIQUE,fa5af4f6f75bc95a02218705a1acd8ce52a163da45e8c2d94e6d618bc3f617e4,1,36,1,1,3,17,3,0,[],0,
atlassian-confluence-CVE-2022-26134.json,1,ATLASSIAN-CONFLUENCE-CVE-2022-26134,c44e9b1b19d5864d0803f6a48cdd4da33ee2f4b417e1e58b29cbbc793ef775a5,1,169,2,2,11,103,11,0,[],0,
avoslocker-ransomware.json,1,AVOSLOCKER RANSOMWARE,779082008c53651d0fa496cb45a2c1ca7e2bb6e06e8e446ab622378b1d54a41d,1,102,1,1,6,54,11,0,[],0,
blackbasta-ransomware.json,1,BLACK BASTA RANSOMWARE,571e5ab9e3705e366042559e078d9e0810779eb22b21edd421be8af278e9326a,1,322,1,1,30,211,30,0,[],0,
blackcat-ransomware.json,1,BLACKCAT RANSOMWARE,38b79719867e626f8ab8e495e9d57f684edeadf9020744988bf04d0533757690,1,190,1,1,9,114,9,0,[],0,
bluesky-ransomware.json,1,BLUESKY RANSOMWARE,6f6724532ab6d1b876cfdc91a3a1c7b45cd054520fb240d7fe28d8e3e479f46b,1,210,1,1,10,129,10,0,[],0,
boggyserpens.json,1,BOGGY SERPENS,ee645aa8e30e5fc00af6bb70248c6f9a5130837d7e97bc33f19ff863ec98232e,1,815,2,2,24,607,41,0,[],0,
brute-ratel.json,1,BRUTE-RATEL TOOL,f6b927ba4cc477427f76ce3b3ffb098617356eb405c16679a1d078dda28a068b,1,299,1,1,13,190,13,0,[],0,
chromeloader.json,1,CHROMELOADER,4a6f204ce2822b9f2452042ca7394e4067ce2a6ceddd265eabfc8219e8ce1470,1,930,1,1,3,611,3,0,[],0,
clean-ursa.json,1,CLEAN URSA,c411e05e3a7811f17ea0a155de06837e74e5dfae23887679a36937e19a5cd999,1,158,1,1,7,99,10,0,[],0,
cloaked-ursa.json,1,CLOAKED URSA,902c7942b4a48382ebf862724713288bac528db223cbcfe808ed94a1357c3998,1,387,2,2,25,273,29,0,[],0,
clop-ransomware.json,1,CLOP RANSOMWARE,1852504eabd470fd78c1048b972710c3e796e95d3f5826845ba933c19e395e53,1,286,1,1,9,191,15,0,[],0,
conti-ransomware.json,1,CONTI RANSOMWARE,9237c97bcf1ce092484285b8a24953a6270c95a589b8bf9e40d5fd93aef17fec,1,416,1,1,16,285,30,0,[],0,
crawling-taurus.json,1,CRAWLING TAURUS,9e1580979abac70085235e73e84496bc55fb89e649e8c8f537956cfa7882e81b,1,150,1,1,3,96,3,0,[],0,
crooked-pisces.json,1,CROOKED PISCES,fd9135d9080acb3e2a6abe8d4145c05a2a68270de5989ad3f72e7ed3ce4bf074,1,527,4,4,21,383,52,0,[],0,
cryptoclippy.json,1,CRYPTOCLIPPY,8b853a793f265fb11e1f5ad11544420b80ea684105f283aba0caf2d47c514821,1,98,1,1,7,55,7,0,[],0,
darkside-ransomware.json,1,DARKSIDE RANSOMWARE,29532c95ee341f0847d4edc7759ee94fa7ed11e66b3742265cb929cdc78ab6d4,1,515,1,1,26,359,47,0,[],0,
dearcry-ransomware.json,1,DEARCRY RANSOMWARE,5e90887f370a6b58df1c0d78e695656110bb8041db11d60e3635609fb00d4dbd,1,94,1,1,7,56,13,0,[],0,
egregor-ransomware.json,1,EGREGOR RANSOMWARE,bec8e1e469aea28d2d60c84e41f5c87bf136550e5faeae79e6a9086e7938a1c6,1,335,1,1,16,236,30,0,[],0,
ekans-ransomware.json,1,EKANS RANSOMWARE,40fe49be40e51038dfc1cf6cbe9ccf71c20ac45875f58bf1aabd7bb80bd4a845,1,242,1,1,16,158,31,0,[],0,
emotet.json,1,EMOTET MALWARE,e6ea481c46d39a88332e5f5365a012fdddf625b8eb3a6801ce81ebe4e0e1a126,1,2858,5,5,9,1907,30,0,[],0,
evasive-serpens.json,1,EVASIVE SERPENS,626d3ab99e730699181adeaf0a519780ba4a0d3d511e9a161f96eca1f537af27,1,1542,5,5,37,1273,111,0,[],0,
f5-big-ip-cve-2022-1388.json,1,F5-BIG-IP CVE-2022-1388,55a4291da748b76271dfb6084bb0facd895e587b745bcac4875eba188b381356,1,143,1,1,4,83,4,0,[],0,
fighting-ursa.json,1,FIGHTING URSA,03e48a590b2597d8b605f5d8331b2e99daf5fb69b8f7f29e3ba0c8ffa1aaddf3,1,686,4,4,34,532,66,0,[],0,
gobruteforcer.json,1,GOBRUTEFORCER,2aa795f42f3017a93199c0acd9495a0025c35be57cbb87ef88b6a29ff15d5632,1,141,1,1,7,82,7,0,[],0,
golfing-taurus.json,1,GOLFING TAURUS,a84c46573840fba271d2713472d8898a6d9cc65477e4641263f948433fc00e24,1,750,1,1,18,547,30,0,[],0,
granite-taurus.json,1,GRANITE TAURUS,ec2c9aadf78a4800dda0f7bb69439ac859c93bd78b0548465dc73ee80ed1d6df,1,360,1,1,9,263,15,0,[],0,
hellokitty-ransomware.json,1,HELLOKITTY RANSOMWARE,c45ef435602f8f0072ee7753680dd95389f27e9ba71047f22eaaae31d72115d1,1,56,1,1,2,36,2,0,[],0,
hermeticwiper.json,1,HERMETICWIPER MALWARE,861bfde5a76f9d1d8f1728709a887b841c4f7868bf84ec15a2ab6fda0b1ebe31,1,141,1,1,6,85,12,0,[],0,
hive-ransomware.json,1,HIVE RANSOMWARE,b2251941178fe2173029538a02570092a1db375dc9798136488a445725180710,1,130,1,1,8,75,14,0,[],0,
hunter-serpens.json,1,HUNTER SERPENS,10eedc402aa7b12425bc6390cf95daa0595697260ac9047d2c54c633a597e161,1,861,4,4,48,662,109,0,[],0,
icedid.json,1,ICEDID MALWARE,75072e0930a41fa9898531544d6cf33970e36cc1c5487319a9ca948437822cf7,1,329,3,3,6,216,12,0,[],0,
iron-taurus.json,1,IRON TAURUS,e7bba490ed3c48e9228141ad891d33ac9499d4de48630242de3f264d71f9308b,1,276,1,1,10,197,20,0,[],0,
javascript-injection.json,1,JAVASCRIPT-INJECTION,460e67301391c1443bb2eb15fa92ff2fcc110a133e48d0e61182cc03c3e8b087,1,284,1,1,7,180,7,0,[],0,
lockbit-2.0-ransomware.json,1,LOCKBIT-2.0 RANSOMWARE,4909a6d0df6cf4af3dc4c9d3135669df56e271a0f0ff9fbf4808a17f95f05cdd,1,420,1,1,19,297,35,0,[],0,
lokibot.json,1,LOKIBOT,02309a02a250eab71c8daee297b44eef2916ea87339290763416915223fbbbc5,1,142,1,1,5,85,5,0,[],0,
mangataurus.json,1,MANGA TAURUS,14be676cc2e3fe21f3d9ced1e761b32ac1a212f688eac421ebfcf05f275fe9ac,1,125,1,1,9,75,16,0,[],0,
maze-ransomware.json,1,MAZE RANSOMWARE,4889d552f9943b09193f39eb6b067d33553ee3c9e1c810bc06be82bdda3f923a,1,1690,1,1,33,1193,64,0,[],0,
mespinoza-ransomware.json,1,MESPINOZA RANSOMWARE,17da93b4b35de154bb2e6671059236d9626b5b6a637ad8af67db749b4ce7c32a,1,576,1,1,12,407,24,0,[],0,
moldypisces.json,1,MOLDY PISCES,c9a4fcf9c180e8db6b1e73f6ebbfb0a0919851595aad27259ccbca45c3f410fd,1,599,5,5,29,454,72,0,[],0,
moneylibra.json,1,MONEY LIBRA,2eca6397129968be385b06a7964234e98f5fbf8dc01b6720f984ac49d781023a,1,919,2,2,23,669,51,0,[],0,
monsterlibra.json,1,MONSTER LIBRA,45bec846af6e38d950dfe579407017eccb3d156857136025a84479b49fa36f5b,1,1078,5,5,20,823,60,0,[],0,
muddled-libra.json,1,MUDDLED LIBRA,b446b77e500bcd33c5cdb82030dc006592c8684b1422893c0b7c1bb647cd352a,1,377,1,1,35,259,35,0,[],0,
mulelibra.json,1,MULE LIBRA,c513df9e7302d9115b1321c28510021a8ae8beb252938654f2e8ef8a6d1245db,1,416,1,1,10,294,16,0,[],0,
nascentursa.json,1,NASCENT URSA,1a178f9d4d9012d7a92755b20d9d44b58ae2a00195a3ad2c5f5e1de353deb4bf,1,1475,1,1,19,1108,38,0,[],0,
obscureserpens.json,1,OBSCURE SERPENS,e41935d84113f69ff0622fac4d236be338e7c4c44f179238776114b803a4372d,1,460,2,2,22,342,35,0,[],0,
