bundle_file,campaign_id,campaign_name,first_seen,last_seen,campaign_reports,campaign_uses_attack_pattern_edges,unique_mitre_attack_ids,mitre_attack_ids,uses_created_unique,uses_modified_unique,report_attack_pattern_refs,attack_pattern_to_attack_pattern_edges,temporal_attack_pattern_edges,occurrence_sequence_fields,sequence_eligible,reason
IcedID_Unit42_Intel.json,campaign--1dcd56cc-72ee-459c-9641-6d664bfc1f55,2022-08-08 IcedID delivered via ISO image leads to CobaltStrike,2022-08-08T21:49:00.000Z,2022-08-08T21:50:00.000Z,1,5,5,"[""T1071"",""T1071.001"",""T1105"",""T1204.002"",""T1566.001""]",3,1,5,0,0,[],0,unordered campaign-to-technique membership only
IcedID_Unit42_Intel.json,campaign--96606329-4cb5-44c0-91ef-8248bfb0e297,2022-08-10 Three Cobalt Strike stagers from one IcedID infection,2022-08-09T04:00:00.000Z,2022-08-10T18:35:58.000Z,1,4,4,"[""T1071.001"",""T1105"",""T1204.002"",""T1566.001""]",2,1,4,0,0,[],0,unordered campaign-to-technique membership only
IcedID_Unit42_Intel.json,campaign--98b54e64-deaa-44d2-a957-c6e851996092,2022-08-03 IcedID delivered via ISO images leads to CobaltStrike,2022-08-03T04:00:00.000Z,2022-08-04T04:00:00.000Z,1,2,2,"[""T1071"",""T1566.001""]",1,1,2,0,0,[],0,unordered campaign-to-technique membership only
adept-libra.json,campaign--5d843488-82c6-42fa-a711-6a5d541ffe26,Campaign 1 - Black-T - Adept Libra cryptojacking variant,2020-09-25T00:00:00.000Z,2020-10-01T00:00:00.000Z,1,17,13,"[""T1003.007"",""T1046"",""T1059"",""T1059.004"",""T1105"",""T1496"",""T1518.001"",""T1552.001"",""T1552.003"",""T1552.004"",""T1560"",""T1562"",""T1610""]",2,1,13,0,0,[],0,unordered campaign-to-technique membership only
adept-libra.json,campaign--ccd725e0-5687-4c7d-a8ca-afcfa0f923be,Campaign 3 - Chimera Repository,2021-06-04T04:00:00.000Z,2021-10-26T04:00:00.000Z,1,35,35,"[""T1005"",""T1020"",""T1021.004"",""T1041"",""T1053"",""T1053.001"",""T1053.003"",""T1059.004"",""T1069.003"",""T1071.001"",""T1078"",""T1078.001"",""T1078.003"",""T1078.004"",""T1087.004"",""T1098.004"",""T1190"",""T1204.003"",""T1210"",""T1496"",""T1518.001"",""T1526"",""T1530"",""T1543"",""T1543.004"",""T1550.001"",""T1552"",""T1552.001"",""T1552.005"",""T1563.001"",""T1580"",""T1595"",""T1595.001"",""T1610"",""T1613""]",4,1,35,0,0,[],0,unordered campaign-to-technique membership only
adept-libra.json,campaign--f727c0e2-6440-472b-886a-70c9b39322c0,Campaign 2 - Adept Libra malware targeting Kubernetes,2020-12-23T00:00:00.000Z,2021-01-01T00:00:00.000Z,1,15,11,"[""T1027"",""T1059.004"",""T1071"",""T1071.001"",""T1078.004"",""T1082"",""T1105"",""T1496"",""T1552.001"",""T1552.005"",""T1574.006""]",2,1,11,0,0,[],0,unordered campaign-to-technique membership only
agedlibra.json,campaign--917fc072-4ee6-4e1a-b265-6ae25313ab36,Campaign 4 - Godlua,2019-04-24T00:00:00.000Z,2019-08-01T00:00:00.000Z,1,58,34,"[""T1018"",""T1021"",""T1026"",""T1043"",""T1046"",""T1049"",""T1053"",""T1055"",""T1059.004"",""T1059.005"",""T1059.006"",""T1059.007"",""T1070.006"",""T1071"",""T1072"",""T1090.003"",""T1094"",""T1102"",""T1105"",""T1110"",""T1140"",""T1168"",""T1190"",""T1219"",""T1496"",""T1518.001"",""T1547.001"",""T1553.002"",""T1553.004"",""T1560.001"",""T1561.001"",""T1565.001"",""T1569.002"",""T1571""]",2,2,17,0,0,[],0,unordered campaign-to-technique membership only
agedlibra.json,campaign--a5a02f32-da8c-4b9d-96bb-7e87c4e67ccd,Campaign 3 - Aged Libra,2018-07-01T00:00:00.000Z,2019-08-01T00:00:00.000Z,1,16,15,"[""T1021"",""T1049"",""T1055"",""T1059.004"",""T1059.005"",""T1059.006"",""T1059.007"",""T1070.006"",""T1071"",""T1094"",""T1102"",""T1140"",""T1168"",""T1190"",""T1496""]",1,1,16,0,0,[],0,unordered campaign-to-technique membership only
agedlibra.json,campaign--bb3e6d3c-5c57-4f62-ab3c-2304f0f081dd,Campaign 1 - Iron Group,2016-08-01T00:00:00.000Z,2018-04-01T00:00:00.000Z,1,17,11,"[""T1043"",""T1053"",""T1072"",""T1102"",""T1168"",""T1496"",""T1518.001"",""T1547.001"",""T1553.002"",""T1553.004"",""T1571""]",1,1,11,0,0,[],0,unordered campaign-to-technique membership only
agedlibra.json,campaign--d8d01feb-1d3c-4825-a135-e55c6a9b7b62,Campaign 2 - XBash,2018-05-17T00:00:00.000Z,2018-05-17T00:00:00.000Z,1,30,16,"[""T1018"",""T1043"",""T1046"",""T1059.004"",""T1059.005"",""T1059.006"",""T1059.007"",""T1071"",""T1102"",""T1105"",""T1110"",""T1496"",""T1561.001"",""T1565.001"",""T1569.002"",""T1571""]",1,1,16,0,0,[],0,unordered campaign-to-technique membership only
