development_slot,sample_id,source_audit_only,campaign_id_audit_only,arm,candidate_set_audit_only,b0_top5_audit_only,target_parent_ids_excluded_audit_only,transmitted_body_sha256,leakage_assertions_passed,generation_status,json_object,exact_schema_keys,valid_summary,valid_top5_in_candidates,evidence_summary,reranked_next_ttps,changed_from_b0,raw_output,reasoning_content_len,finish_reason,model_returned,completion_id,request_id,attempts,last_http_status,last_latency_ms,error_type,error_message,input_tokens_all_attempts,cache_hit_tokens_all_attempts,cache_miss_tokens_all_attempts,output_tokens_all_attempts,estimated_cost_usd_all_attempts,generated_at
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,WhisperGate,EA_TOP5,"[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1055"",""T1218"",""T1082""]",f74d0f2e2254d125bfb97511d3598ec7402be806b66e384870fd0d1fc67e5505,True,ok,True,True,True,True,攻击链以窃取凭据初始访问，随后下载工具、混淆载荷、执行脚本并禁用防御，最终可能加密数据。,"[""T1059"",""T1027"",""T1105"",""T1562"",""T1486""]",1,"{""evidence_summary"":""攻击链以窃取凭据初始访问，随后下载工具、混淆载荷、执行脚本并禁用防御，最终可能加密数据。"",""reranked_next_ttps"":[""T1059"",""T1027"",""T1105"",""T1562"",""T1486""]}",0,stop,deepseek-v4-flash,977ce340-a4fd-4421-af9a-82c66370c587,,1,200,1536,,,807,0,807,63,0.00013062,2026-08-10T03:10:16.261554+00:00
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,WhisperGate,UNION_LLM,"[""T1003"",""T1016"",""T1027"",""T1041"",""T1059"",""T1070"",""T1105"",""T1486"",""T1562""]","[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1055"",""T1218"",""T1082""]",25bea812feb72e8067f6d1272f35e3a02fe7bf7fbbac995d5246e3b98e66260d,True,ok,True,True,True,True,历史事件显示攻击者使用凭据获取初始访问，通过脚本执行、混淆、文件传输和防御规避等行为，未来可能继续利用这些技术。,"[""T1059"",""T1027"",""T1105"",""T1562"",""T1486""]",1,"{""evidence_summary"":""历史事件显示攻击者使用凭据获取初始访问，通过脚本执行、混淆、文件传输和防御规避等行为，未来可能继续利用这些技术。"",""reranked_next_ttps"":[""T1059"",""T1027"",""T1105"",""T1562"",""T1486""]}",0,stop,deepseek-v4-flash,a335e491-e03e-4815-9229-5f1f71cf51dc,,1,200,1602,,,1149,0,1149,68,0.0001799,2026-08-10T03:10:16.328174+00:00
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,WhisperGate,EDLR,"[""T1003"",""T1016"",""T1027"",""T1041"",""T1059"",""T1070"",""T1105"",""T1486"",""T1562""]","[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1055"",""T1218"",""T1082""]",acd4104d7b2fb356f4768c1a838ce19f621f135c5b940c570d2131e29c6c8188,True,ok,True,True,True,True,历史事件显示攻击者使用凭据、脚本执行、混淆和防御规避，结合序列统计，未来可能继续利用脚本执行、凭据访问和工具传输。,"[""T1059"",""T1105"",""T1003"",""T1070"",""T1041""]",1,"{""evidence_summary"":""历史事件显示攻击者使用凭据、脚本执行、混淆和防御规避，结合序列统计，未来可能继续利用脚本执行、凭据访问和工具传输。"",""reranked_next_ttps"":[""T1059"",""T1105"",""T1003"",""T1070"",""T1041""]}",0,stop,deepseek-v4-flash,c06486b2-700e-4494-b315-1ec39cb14e83,,3,200,1579,,,6381,4096,2285,201,0.00038764880000000004,2026-08-10T03:10:23.272189+00:00
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,WhisperGate,EDLR_SHUFFLE,"[""T1003"",""T1016"",""T1027"",""T1041"",""T1059"",""T1070"",""T1105"",""T1486"",""T1562""]","[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1055"",""T1218"",""T1082""]",8dc21a3f86909aac6bd0ce75baeaf4cb0c771e42ff85fa6283a29471f9c29356,True,ok,True,True,True,True,基于历史事件中多次出现PowerShell、VBScript执行及防御规避行为，结合候选技术表的序列统计和语义相关性，优先排查命令脚本执行、凭据转储、混淆文件、防御削弱及文件传输。,"[""T1059"",""T1003"",""T1027"",""T1562"",""T1105""]",1,"{""evidence_summary"":""基于历史事件中多次出现PowerShell、VBScript执行及防御规避行为，结合候选技术表的序列统计和语义相关性，优先排查命令脚本执行、凭据转储、混淆文件、防御削弱及文件传输。"",""reranked_next_ttps"":[""T1059"",""T1003"",""T1027"",""T1562"",""T1105""]}",0,stop,deepseek-v4-flash,1ebb6c31-c62c-4103-9691-7429386f42bf,,1,200,1766,,,2127,0,2127,83,0.00032102000000000004,2026-08-10T03:10:16.493710+00:00
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,EA_TOP5,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1484"",""T1562"",""T1486""]",ecc9d32639591cf0830b3ed7c3478cedfe2af4ded60dee9377765ee9a222e513,True,ok,True,True,True,True,攻击链从钓鱼邮件开始，经JS下载IcedID，利用rundll32执行，随后部署Cobalt Strike，进行发现、提权、横向移动，最终创建管理员账户。,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]",0,"{""evidence_summary"":""攻击链从钓鱼邮件开始，经JS下载IcedID，利用rundll32执行，随后部署Cobalt Strike，进行发现、提权、横向移动，最终创建管理员账户。"",""reranked_next_ttps"":[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]}",0,stop,deepseek-v4-flash,a6e6981a-eef2-4ca7-a6f6-75f8ec269064,,1,200,1569,,,925,0,925,75,0.0001505,2026-08-10T03:10:16.297456+00:00
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,UNION_LLM,"[""T1003"",""T1016"",""T1018"",""T1049"",""T1053"",""T1057"",""T1069"",""T1078"",""T1098"",""T1105""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1484"",""T1562"",""T1486""]",59d17cbf3007b35f36038dde9829ca2fae52dd06c01d93d676bb6e9459eb6330,True,ok,True,True,True,True,基于钓鱼、执行、下载、横向移动及权限提升等历史行为，优先排查凭证转储、账户操作、计划任务、有效账户及工具传输。,"[""T1003"",""T1078"",""T1098"",""T1053"",""T1105""]",1,"{
  ""evidence_summary"": ""基于钓鱼、执行、下载、横向移动及权限提升等历史行为，优先排查凭证转储、账户操作、计划任务、有效账户及工具传输。"",
  ""reranked_next_ttps"": [""T1003"", ""T1078"", ""T1098"", ""T1053"", ""T1105""]
}",0,stop,deepseek-v4-flash,79dd9aae-61f6-49a8-9d17-bf2bc3aac89e,,1,200,1717,,,1308,0,1308,78,0.00020496000000000002,2026-08-10T03:10:16.445460+00:00
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,EDLR,"[""T1003"",""T1016"",""T1018"",""T1049"",""T1053"",""T1057"",""T1069"",""T1078"",""T1098"",""T1105""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1484"",""T1562"",""T1486""]",94f7941487058960480ce52fe38aad5713eb2cc4f251deddf3355a09606a929d,True,ok,True,True,True,True,攻击链以钓鱼和脚本执行开始，随后下载工具、提权、横向移动，并伴随多种发现活动。未来可能转向凭据获取、账户利用或进一步发现。,"[""T1003"",""T1078"",""T1057"",""T1049"",""T1016""]",1,"{""evidence_summary"":""攻击链以钓鱼和脚本执行开始，随后下载工具、提权、横向移动，并伴随多种发现活动。未来可能转向凭据获取、账户利用或进一步发现。"",""reranked_next_ttps"":[""T1003"",""T1078"",""T1057"",""T1049"",""T1016""]}",0,stop,deepseek-v4-flash,e012393b-ab68-44e8-b828-2aec5d647658,,1,200,1591,,,2399,0,2399,73,0.0003563,2026-08-10T03:10:16.320686+00:00
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,EDLR_SHUFFLE,"[""T1003"",""T1016"",""T1018"",""T1049"",""T1053"",""T1057"",""T1069"",""T1078"",""T1098"",""T1105""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1484"",""T1562"",""T1486""]",7dfd7d59624e67908fcaea9c58d1dec5720db61521f9d8a477d06b43512df4af,True,ok,True,True,True,True,攻击链从钓鱼到执行，随后下载工具、提权、横向移动，期间有大量发现活动。未来可能继续提权、凭据访问、横向移动及工具传输。,"[""T1098"",""T1105"",""T1069"",""T1053"",""T1057""]",1,"{
  ""evidence_summary"": ""攻击链从钓鱼到执行，随后下载工具、提权、横向移动，期间有大量发现活动。未来可能继续提权、凭据访问、横向移动及工具传输。"",
  ""reranked_next_ttps"": [""T1098"", ""T1105"", ""T1069"", ""T1053"", ""T1057""]
}",0,stop,deepseek-v4-flash,e0063e8f-28ec-4eca-94ee-88c2dfb5f787,,1,200,1732,,,2399,0,2399,83,0.0003591,2026-08-10T03:10:16.462908+00:00
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,SolarWinds,EA_TOP5,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]","[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]","[""T1567""]",2b36d656a05d9b6b9c784800870e57572fa232e3be165cc8a97a20c7c35007e8,True,ok,True,True,True,True,攻击链涉及供应链投毒、后门执行、侦察、C2通信、横向移动及数据窃取，后续可能利用远程服务、凭据窃取、有效账户、工具传输及C2外传。,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]",0,"{""evidence_summary"":""攻击链涉及供应链投毒、后门执行、侦察、C2通信、横向移动及数据窃取，后续可能利用远程服务、凭据窃取、有效账户、工具传输及C2外传。"",""reranked_next_ttps"":[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]}",0,stop,deepseek-v4-flash,2c887248-cfef-4e29-a485-8bfb38fc84f7,,1,200,1651,,,1176,0,1176,81,0.00018732000000000002,2026-08-10T03:10:16.384040+00:00
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,SolarWinds,UNION_LLM,"[""T1003"",""T1005"",""T1018"",""T1021"",""T1041"",""T1074"",""T1078"",""T1105"",""T1560""]","[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]","[""T1567""]",4c183aa9e4be066628c02a6fbf1cfc73781346ebac211d497c651b9255e25dcf,True,ok,True,True,True,True,基于历史事件中的横向移动、凭据获取、C2通信及数据收集行为，结合B0先验，预测后续最可能的技术。,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]",0,"{
  ""evidence_summary"": ""基于历史事件中的横向移动、凭据获取、C2通信及数据收集行为，结合B0先验，预测后续最可能的技术。"",
  ""reranked_next_ttps"": [""T1021"", ""T1003"", ""T1078"", ""T1105"", ""T1041""]
}",0,stop,deepseek-v4-flash,fbb1e60c-0d7f-4985-b060-31f398bf655e,,1,200,1487,,,1508,0,1508,75,0.00023212000000000002,2026-08-10T03:10:16.221812+00:00
