2026-08-07T07:57:07.485516+00:00 run_id=20260807T075707Z_310c2c11 rows=784 concurrency=30
2026-08-07T07:57:08.023521+00:00 /models selected model=deepseek-v4-flash rule=exact_match
2026-08-07T07:57:10.036019+00:00 completed 2/784 slot=formal:0002 status=ok attempts=1
2026-08-07T07:57:10.103927+00:00 completed 1/784 slot=formal:0001 status=ok attempts=1
2026-08-07T07:57:10.286792+00:00 completed 26/784 slot=formal:0026 status=ok attempts=1
2026-08-07T07:57:10.314193+00:00 completed 25/784 slot=formal:0025 status=ok attempts=1
2026-08-07T07:57:10.482802+00:00 completed 27/784 slot=formal:0027 status=ok attempts=1
2026-08-07T07:57:10.490871+00:00 completed 28/784 slot=formal:0028 status=ok attempts=1
2026-08-07T07:57:10.503077+00:00 completed 4/784 slot=formal:0004 status=ok attempts=1
2026-08-07T07:57:10.532916+00:00 completed 9/784 slot=formal:0009 status=ok attempts=1
2026-08-07T07:57:10.562500+00:00 completed 8/784 slot=formal:0008 status=ok attempts=1
2026-08-07T07:57:10.564233+00:00 completed 6/784 slot=formal:0006 status=ok attempts=1
2026-08-07T07:57:10.660580+00:00 completed 3/784 slot=formal:0003 status=ok attempts=1
2026-08-07T07:57:10.726155+00:00 completed 10/784 slot=formal:0010 status=ok attempts=1
2026-08-07T07:57:10.734946+00:00 completed 24/784 slot=formal:0024 status=ok attempts=1
2026-08-07T07:57:10.760743+00:00 completed 11/784 slot=formal:0011 status=ok attempts=1
2026-08-07T07:57:10.773843+00:00 completed 5/784 slot=formal:0005 status=ok attempts=1
2026-08-07T07:57:10.785291+00:00 completed 30/784 slot=formal:0030 status=ok attempts=1
2026-08-07T07:57:10.904049+00:00 completed 7/784 slot=formal:0007 status=ok attempts=1
2026-08-07T07:57:10.909849+00:00 completed 14/784 slot=formal:0014 status=ok attempts=1
2026-08-07T07:57:10.918128+00:00 completed 12/784 slot=formal:0012 status=ok attempts=1
2026-08-07T07:57:10.921603+00:00 completed 29/784 slot=formal:0029 status=ok attempts=1
2026-08-07T07:57:11.007165+00:00 completed 23/784 slot=formal:0023 status=ok attempts=1
2026-08-07T07:57:11.056941+00:00 completed 13/784 slot=formal:0013 status=ok attempts=1
2026-08-07T07:57:11.210439+00:00 completed 17/784 slot=formal:0017 status=ok attempts=1
2026-08-07T07:57:11.231310+00:00 completed 20/784 slot=formal:0020 status=ok attempts=1
2026-08-07T07:57:11.240362+00:00 completed 18/784 slot=formal:0018 status=ok attempts=1
2026-08-07T07:57:11.292364+00:00 completed 15/784 slot=formal:0015 status=ok attempts=1
2026-08-07T07:57:11.354198+00:00 completed 19/784 slot=formal:0019 status=ok attempts=1
2026-08-07T07:57:11.358513+00:00 completed 16/784 slot=formal:0016 status=ok attempts=1
2026-08-07T07:57:11.379187+00:00 completed 21/784 slot=formal:0021 status=ok attempts=1
2026-08-07T07:57:11.499771+00:00 completed 22/784 slot=formal:0022 status=ok attempts=1
2026-08-07T07:57:12.264239+00:00 completed 33/784 slot=formal:0033 status=ok attempts=1
2026-08-07T07:57:12.315502+00:00 completed 31/784 slot=formal:0031 status=ok attempts=1
2026-08-07T07:57:12.384113+00:00 completed 34/784 slot=formal:0034 status=ok attempts=1
2026-08-07T07:57:12.477009+00:00 completed 32/784 slot=formal:0032 status=ok attempts=1
2026-08-07T07:57:12.588362+00:00 completed 35/784 slot=formal:0035 status=ok attempts=1
2026-08-07T07:57:12.673393+00:00 completed 37/784 slot=formal:0037 status=ok attempts=1
2026-08-07T07:57:12.677587+00:00 completed 38/784 slot=formal:0038 status=ok attempts=1
2026-08-07T07:57:12.768498+00:00 completed 36/784 slot=formal:0036 status=ok attempts=1
2026-08-07T07:57:12.784530+00:00 completed 47/784 slot=formal:0047 status=ok attempts=1
2026-08-07T07:57:12.802208+00:00 completed 43/784 slot=formal:0043 status=ok attempts=1
2026-08-07T07:57:12.874080+00:00 completed 51/784 slot=formal:0051 status=ok attempts=1
2026-08-07T07:57:12.887632+00:00 completed 44/784 slot=formal:0044 status=ok attempts=1
2026-08-07T07:57:12.941508+00:00 completed 39/784 slot=formal:0039 status=ok attempts=1
2026-08-07T07:57:13.057313+00:00 completed 41/784 slot=formal:0041 status=ok attempts=1
2026-08-07T07:57:13.068129+00:00 completed 42/784 slot=formal:0042 status=ok attempts=1
2026-08-07T07:57:13.073584+00:00 completed 45/784 slot=formal:0045 status=ok attempts=1
2026-08-07T07:57:13.142952+00:00 completed 40/784 slot=formal:0040 status=ok attempts=1
2026-08-07T07:57:13.207072+00:00 completed 48/784 slot=formal:0048 status=ok attempts=1
2026-08-07T07:57:13.207242+00:00 completed 46/784 slot=formal:0046 status=ok attempts=1
2026-08-07T07:57:13.251984+00:00 completed 53/784 slot=formal:0053 status=ok attempts=1
2026-08-07T07:57:13.337302+00:00 completed 49/784 slot=formal:0049 status=ok attempts=1
2026-08-07T07:57:13.428190+00:00 completed 52/784 slot=formal:0052 status=ok attempts=1
2026-08-07T07:57:13.590270+00:00 completed 50/784 slot=formal:0050 status=ok attempts=1
2026-08-07T07:57:13.756782+00:00 completed 59/784 slot=formal:0059 status=ok attempts=1
2026-08-07T07:57:13.827567+00:00 completed 56/784 slot=formal:0056 status=ok attempts=1
2026-08-07T07:57:13.924948+00:00 completed 55/784 slot=formal:0055 status=ok attempts=1
2026-08-07T07:57:13.925173+00:00 completed 57/784 slot=formal:0057 status=ok attempts=1
2026-08-07T07:57:13.943440+00:00 completed 60/784 slot=formal:0060 status=ok attempts=1
2026-08-07T07:57:13.985136+00:00 completed 58/784 slot=formal:0058 status=ok attempts=1
2026-08-07T07:57:14.040898+00:00 completed 54/784 slot=formal:0054 status=ok attempts=1
2026-08-07T07:57:14.779274+00:00 completed 65/784 slot=formal:0065 status=ok attempts=1
2026-08-07T07:57:14.857158+00:00 completed 61/784 slot=formal:0061 status=ok attempts=1
2026-08-07T07:57:14.882000+00:00 completed 63/784 slot=formal:0063 status=ok attempts=1
2026-08-07T07:57:14.899727+00:00 completed 72/784 slot=formal:0072 status=ok attempts=1
2026-08-07T07:57:14.911087+00:00 completed 62/784 slot=formal:0062 status=ok attempts=1
2026-08-07T07:57:14.971031+00:00 completed 64/784 slot=formal:0064 status=ok attempts=1
2026-08-07T07:57:15.106499+00:00 completed 66/784 slot=formal:0066 status=ok attempts=1
2026-08-07T07:57:15.156860+00:00 completed 70/784 slot=formal:0070 status=ok attempts=1
2026-08-07T07:57:15.245421+00:00 completed 67/784 slot=formal:0067 status=ok attempts=1
2026-08-07T07:57:15.272586+00:00 completed 68/784 slot=formal:0068 status=ok attempts=1
2026-08-07T07:57:15.402965+00:00 completed 77/784 slot=formal:0077 status=ok attempts=1
2026-08-07T07:57:15.468840+00:00 completed 73/784 slot=formal:0073 status=ok attempts=1
