development_slot,sample_id,source_audit_only,campaign_id_audit_only,prefix_len,observed_step_ids_audit_only,target_step_ids_excluded_audit_only,transmitted_body_sha256,source_literal_redactions,campaign_literal_redactions,leakage_assertions_passed,generation_status,json_object,exact_schema_keys,valid_summary,summary_attack_id,valid_top5,stage_assessment,observed_capabilities,likely_next_intents,predicted_next_ttps,raw_output,reasoning_content_len,finish_reason,model_returned,completion_id,request_id,attempts,last_http_status,last_latency_ms,error_type,error_message,input_tokens_all_attempts,cache_hit_tokens_all_attempts,cache_miss_tokens_all_attempts,output_tokens_all_attempts,estimated_cost_usd_all_attempts,generated_at
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,WhisperGate,12,"[""attack_flow::WhisperGate::b28935d3-2248-4304-93c7-f3c73afd7351"",""attack_flow::WhisperGate::c89289c0-e397-4de8-bc10-9bb36817433a"",""attack_flow::WhisperGate::3fb61bf8-98d3-474f-9ffb-db073ac92b5e"",""attack_flow::WhisperGate::bafd6a81-968b-4436-890a-a08b3ba0e825"",""attack_flow::WhisperGate::0a685dd5-0838-4883-8c08-52ae92e1bb27"",""attack_flow::WhisperGate::e37c269c-2993-49b2-847f-b2b2a2ae973d"",""attack_flow::WhisperGate::daa0a62b-cc76-4709-b9c4-3f7454d02c5f"",""attack_flow::WhisperGate::217e84c6-e343-4d62-8c4e-f55dace6c913"",""attack_flow::WhisperGate::14e8a54a-8f87-4e65-b227-3df091053118"",""attack_flow::WhisperGate::aa432949-7c30-48da-8028-38687985a8eb"",""attack_flow::WhisperGate::832777c4-7164-4da2-a8c6-4f0c8afab9ce"",""attack_flow::WhisperGate::490d6448-7f30-42f8-8269-8070af8c8923""]","[""attack_flow::WhisperGate::694efa68-7cff-4b29-ac5b-2500dd3a7fa9"",""attack_flow::WhisperGate::256a646b-d1f6-4f11-86a7-86fbff6fba36"",""attack_flow::WhisperGate::b1d2c424-5d2e-4693-a3cc-de5047e8819f""]",a850b9ae4115d83b90c26dd14dd90317168924863a07be2d9d70a3831f77c450,0,1,True,ok,True,True,True,False,True,攻击者已建立持久化并执行了多阶段恶意载荷，当前处于防御规避和命令执行阶段，可能即将进行破坏性操作或数据加密。,具备使用有效账户进行初始访问、通过多种方式下载和执行恶意文件、混淆和加密载荷、修改安全设置以及破坏系统引导的能力。,攻击者可能继续执行恶意代码以部署勒索软件，进一步规避检测，并可能尝试横向移动或数据窃取。,"[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","{
  ""stage_assessment"": ""攻击者已建立持久化并执行了多阶段恶意载荷，当前处于防御规避和命令执行阶段，可能即将进行破坏性操作或数据加密。"",
  ""observed_capabilities"": ""具备使用有效账户进行初始访问、通过多种方式下载和执行恶意文件、混淆和加密载荷、修改安全设置以及破坏系统引导的能力。"",
  ""likely_next_intents"": ""攻击者可能继续执行恶意代码以部署勒索软件，进一步规避检测，并可能尝试横向移动或数据窃取。"",
  ""predicted_next_ttps"": [""T1059"", ""T1027"", ""T1105"", ""T1486"", ""T1562""]
}",0,stop,deepseek-v4-flash,a6f469f5-bcce-4b09-a56f-080c587a0def,,1,200,2514,,,835,0,835,151,0.00015918,2026-08-07T07:34:28.124342+00:00
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,13,"[""attack_flow::Conti Ransomware::63b4d51e-84a0-4dee-b22a-0ffaea346e33"",""attack_flow::Conti Ransomware::7a811b31-03be-481a-8344-1310218b0fd3"",""attack_flow::Conti Ransomware::8fbbfd31-5bde-4c5e-bfbd-4cd34a382694"",""attack_flow::Conti Ransomware::0cd8c60f-e89b-4cbf-ac17-2699a2c7f3b3"",""attack_flow::Conti Ransomware::fd17c242-ee9e-46e7-ae64-034a61b80260"",""attack_flow::Conti Ransomware::c1c2e798-adba-4c7b-95ab-3afb8dd69c73"",""attack_flow::Conti Ransomware::eb41545a-feb2-4709-a184-3b76b4f11724"",""attack_flow::Conti Ransomware::f8a23107-18ea-4ae8-a224-392fbd8ae25d"",""attack_flow::Conti Ransomware::97fc06cc-cc3d-43a0-8b57-f7964c10bff3"",""attack_flow::Conti Ransomware::809a956f-52ae-4d56-af4c-0504543dacd7"",""attack_flow::Conti Ransomware::94ac64c0-2ced-4a0a-b756-d0e27aa5c1dd"",""attack_flow::Conti Ransomware::834638ac-9ed6-4b87-bc7f-a9bb36124e2f"",""attack_flow::Conti Ransomware::3dde05e7-c85d-491c-9477-8f8c8f09c3a4""]","[""attack_flow::Conti Ransomware::fc2f373d-3ee7-4d28-b3c7-939273123d88"",""attack_flow::Conti Ransomware::b1ed079a-a69f-42c4-8c6b-75b00164a775"",""attack_flow::Conti Ransomware::99d68cdd-73de-4809-8055-3f0a85076a5e""]",15cc6c05d8cdd3ff85563a8dfedefa8917e1a87a76317b727c4c1f67cae8d3f3,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到横向移动和持久化阶段，目前正在域控制器上建立管理权限并扩大控制范围。,具备通过钓鱼邮件投递恶意附件的能力，能够执行脚本和下载后续载荷，使用系统工具进行发现活动，利用命名管道模拟提升权限，通过SMB、RDP和PsExec进行横向移动，并创建本地管理员账户。,攻击者可能继续在环境中进行横向移动，收集凭据，并可能尝试部署额外的持久化机制或进行数据收集。,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到横向移动和持久化阶段，目前正在域控制器上建立管理权限并扩大控制范围。"",
  ""observed_capabilities"": ""具备通过钓鱼邮件投递恶意附件的能力，能够执行脚本和下载后续载荷，使用系统工具进行发现活动，利用命名管道模拟提升权限，通过SMB、RDP和PsExec进行横向移动，并创建本地管理员账户。"",
  ""likely_next_intents"": ""攻击者可能继续在环境中进行横向移动，收集凭据，并可能尝试部署额外的持久化机制或进行数据收集。"",
  ""predicted_next_ttps"": [""T1003"", ""T1078"", ""T1053"", ""T1098"", ""T1105""]
}",0,stop,deepseek-v4-flash,4f604903-6ae7-46e4-9264-d86b9a1f3223,,1,200,2577,,,940,0,940,169,0.00017892000000000003,2026-08-07T07:34:28.187987+00:00
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,SolarWinds,17,"[""attack_flow::SolarWinds::384373d8-dbe0-425e-aeaf-ad8c70fc11be"",""attack_flow::SolarWinds::0c739735-a984-4897-bc2f-a8737deff66f"",""attack_flow::SolarWinds::b9ac316b-c623-4fe3-8ab2-eb8673081edc"",""attack_flow::SolarWinds::68866dd4-7e92-4e0a-a8dc-aff4df1d46df"",""attack_flow::SolarWinds::b04df257-4f67-487d-a60a-077518519cab"",""attack_flow::SolarWinds::bf2e8e32-d299-4094-a3ae-103a2488c931"",""attack_flow::SolarWinds::4d69ebea-7c78-41b1-87bb-e75d84d5f319"",""attack_flow::SolarWinds::b0bc5a83-a0bb-4bf9-93b9-e63638820963"",""attack_flow::SolarWinds::1850d451-cbfd-4557-869b-386321a39a44"",""attack_flow::SolarWinds::fbccf7e7-4d2b-4f19-9ebb-6acab1322eb2"",""attack_flow::SolarWinds::f55a3f10-2a62-47f2-98b3-78d4983a2b87"",""attack_flow::SolarWinds::4737ef94-c67f-461d-a616-8d04d949a790"",""attack_flow::SolarWinds::f69ad6fa-05c5-48b9-bfea-7201321c6909"",""attack_flow::SolarWinds::fbc07276-1257-44e8-a855-3b1fa3d95290"",""attack_flow::SolarWinds::e08ff657-a12d-4ed7-bbe5-be90b963a153"",""attack_flow::SolarWinds::e4055553-f146-4d1e-99d7-6910b1e2a224"",""attack_flow::SolarWinds::0ce96a7f-cab8-4842-b19d-83db4586deca""]","[""attack_flow::SolarWinds::337844f6-ac0f-4d25-a565-c7af73ea6dcd""]",7d86e26f6e0025c3801edde9533dfa783e746e2d771b73fe6cede240b04c222f,0,3,True,ok,True,True,True,False,True,攻击者已从初始入侵和持久化阶段推进到内网横向移动、防御规避和数据收集阶段，目前处于攻击链的中后期。,攻击者具备供应链投毒能力，能够通过合法软件更新分发恶意载荷；能够植入后门并执行环境检查以规避沙箱；具备系统侦察、进程枚举、文件操作和注册表操作能力；使用动态域名生成算法（DGA）进行C2通信，并支持远程命令执行；能够通过修改防火墙规则、禁用安全监控和日志记录来规避防御；能够获取Kerberos票据进行离线破解；能够通过计划任务和WMI进行横向移动，并部署自定义加载器；具备数据收集能力。,攻击者可能继续在内网横向移动，提升权限，并尝试访问更多关键系统；可能进一步收集敏感数据并准备外传；可能清除攻击痕迹以保持隐蔽。,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]","{
  ""stage_assessment"": ""攻击者已从初始入侵和持久化阶段推进到内网横向移动、防御规避和数据收集阶段，目前处于攻击链的中后期。"",
  ""observed_capabilities"": ""攻击者具备供应链投毒能力，能够通过合法软件更新分发恶意载荷；能够植入后门并执行环境检查以规避沙箱；具备系统侦察、进程枚举、文件操作和注册表操作能力；使用动态域名生成算法（DGA）进行C2通信，并支持远程命令执行；能够通过修改防火墙规则、禁用安全监控和日志记录来规避防御；能够获取Kerberos票据进行离线破解；能够通过计划任务和WMI进行横向移动，并部署自定义加载器；具备数据收集能力。"",
  ""likely_next_intents"": ""攻击者可能继续在内网横向移动，提升权限，并尝试访问更多关键系统；可能进一步收集敏感数据并准备外传；可能清除攻击痕迹以保持隐蔽。"",
  ""predicted_next_ttps"": [""T1021"", ""T1003"", ""T1078"", ""T1105"", ""T1041""]
}",0,stop,deepseek-v4-flash,b7c8fb3b-af25-4bf5-9570-cbf722a5d6a8,,1,200,3818,,,1197,0,1197,242,0.00023534000000000003,2026-08-07T07:34:29.429790+00:00
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,9,"[""attack_flow::Hancitor DLL::0fc122a5-7f3b-4a0d-81b4-f841e1d01e1c"",""attack_flow::Hancitor DLL::1d851bc1-c568-463d-8e5e-270e997a65bd"",""attack_flow::Hancitor DLL::7f226db5-d7a2-4af5-aa98-b2bc3bac699a"",""attack_flow::Hancitor DLL::8ec450fa-b704-40d2-8560-94d5a8fd677a"",""attack_flow::Hancitor DLL::5d55cc3d-c059-4937-a4c6-c1b5a48c3fc1"",""attack_flow::Hancitor DLL::264c553e-266e-4143-983b-35bee0e23a63"",""attack_flow::Hancitor DLL::f6ff7411-18b2-412f-ae4b-c72f8b6def69"",""attack_flow::Hancitor DLL::d53ce876-ead2-4d68-a864-e340bdc1aa31"",""attack_flow::Hancitor DLL::615f4282-5407-44e4-b0e1-b68198baadd3""]","[""attack_flow::Hancitor DLL::6c4ed453-8eec-4b2b-9ff0-5b45edb1a804"",""attack_flow::Hancitor DLL::8c95b74c-07b8-4277-989f-ff499ff32ae4"",""attack_flow::Hancitor DLL::9c595315-eb12-4643-85be-33986d8c031b""]",58e9e8ccd5f3b1cbed9966b3c02fa6b538e6ad9321a419260c9d8bb28d0e1bbc,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到执行、防御规避、发现和命令控制阶段，目前处于中期入侵阶段，可能正在为后续的横向移动或数据窃取做准备。,攻击者能够通过钓鱼邮件诱导用户启用宏，执行恶意代码，下载并执行额外载荷，进行进程注入，枚举系统信息，并利用命令控制通道传输工具。,攻击者可能继续部署更多工具，进行系统侦察，尝试提升权限，或开始横向移动以扩大控制范围。,"[""T1059"",""T1105"",""T1055"",""T1087"",""T1003""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到执行、防御规避、发现和命令控制阶段，目前处于中期入侵阶段，可能正在为后续的横向移动或数据窃取做准备。"",
  ""observed_capabilities"": ""攻击者能够通过钓鱼邮件诱导用户启用宏，执行恶意代码，下载并执行额外载荷，进行进程注入，枚举系统信息，并利用命令控制通道传输工具。"",
  ""likely_next_intents"": ""攻击者可能继续部署更多工具，进行系统侦察，尝试提升权限，或开始横向移动以扩大控制范围。"",
  ""predicted_next_ttps"": [""T1059"", ""T1105"", ""T1055"", ""T1087"", ""T1003""]
}",0,stop,deepseek-v4-flash,fa645c68-bafd-4b39-8703-c677c4748820,,1,200,2551,,,672,0,672,163,0.00013972000000000002,2026-08-07T07:34:28.163181+00:00
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,7,"[""attack_flow::JP Morgan Breach::c4b5213a-588e-4f70-bb81-731b875ae7d8"",""attack_flow::JP Morgan Breach::b47629f7-445c-4605-a0a3-126bfad7d133"",""attack_flow::JP Morgan Breach::f6428576-e9f7-4702-9914-a4fa4c9793d7"",""attack_flow::JP Morgan Breach::ec2cc0ea-2b44-40ef-bc5a-53ccc45ec8b1"",""attack_flow::JP Morgan Breach::22366a07-5595-46c6-a246-8713fca3724e"",""attack_flow::JP Morgan Breach::72910b74-d081-4b61-a66b-b0affd2d783d"",""attack_flow::JP Morgan Breach::15f080d7-77c0-4583-ba2c-a866de1f2d9a""]","[""attack_flow::JP Morgan Breach::4219a30c-6b2c-48a0-98f6-d864448210b9"",""attack_flow::JP Morgan Breach::7a4cae41-8364-43cf-adb1-5a8f2376c833"",""attack_flow::JP Morgan Breach::7d4a94af-cd71-42fd-8aa1-c27322d79997""]",e5b0d30bbca7b6d31746cced5a580428ae760d2f06a36f1d9375e4019a24f780,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问阶段推进到凭据窃取、权限提升、数据收集和缓慢外渗阶段，并利用多国代理进行指挥控制，表明其已建立持久且隐蔽的运营能力。,能够通过钓鱼邮件获取初始访问，窃取凭据，利用零日漏洞提升权限，收集敏感信息，并长期缓慢外传数据，同时使用多国代理隐藏通信。,攻击者可能继续利用已获取的凭据和权限进行横向移动，进一步收集高价值数据，并可能尝试破坏备份或建立更隐蔽的持久化机制，同时继续通过代理进行数据外传。,"[""T1078"",""T1021"",""T1003"",""T1105"",""T1059""]","{
  ""stage_assessment"": ""攻击者已从初始访问阶段推进到凭据窃取、权限提升、数据收集和缓慢外渗阶段，并利用多国代理进行指挥控制，表明其已建立持久且隐蔽的运营能力。"",
  ""observed_capabilities"": ""能够通过钓鱼邮件获取初始访问，窃取凭据，利用零日漏洞提升权限，收集敏感信息，并长期缓慢外传数据，同时使用多国代理隐藏通信。"",
  ""likely_next_intents"": ""攻击者可能继续利用已获取的凭据和权限进行横向移动，进一步收集高价值数据，并可能尝试破坏备份或建立更隐蔽的持久化机制，同时继续通过代理进行数据外传。"",
  ""predicted_next_ttps"": [""T1078"", ""T1021"", ""T1003"", ""T1105"", ""T1059""]
}",0,stop,deepseek-v4-flash,4192244e-1ee5-4799-8ea7-f309c0a13feb,,1,200,2956,,,630,0,630,191,0.00014168,2026-08-07T07:34:28.570001+00:00
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,6,"[""attack_flow::FIN13 Case 2::81e5c5eb-d20d-46e2-8755-d196dce3cf55"",""attack_flow::FIN13 Case 2::6a89f34f-6ad9-492f-801a-d67148b37c18"",""attack_flow::FIN13 Case 2::fcd49b6d-5dde-4cdd-b73a-a3b5031a6942"",""attack_flow::FIN13 Case 2::6c480520-1fa3-436d-832f-fecd8de08f62"",""attack_flow::FIN13 Case 2::482cf545-fe5c-4a0b-b56d-bcf5aa522006"",""attack_flow::FIN13 Case 2::47fdc13f-2f34-4b53-8cf5-82646d3f12c7""]","[""attack_flow::FIN13 Case 2::f5ca2849-e569-49ac-917c-5b33e1c077d7"",""attack_flow::FIN13 Case 2::a6fcee5f-d0e7-4669-8513-e0c4e3ecc058"",""attack_flow::FIN13 Case 2::b36be7d2-2b70-44eb-abbe-9b2dd668bdad""]",979c655690f08fcaf95597b05f31b6a8938281277c1baa2626c8afdf3eae1b1c,0,0,True,ok,True,True,True,False,True,攻击者已从初始入侵推进到内网横向移动与凭据窃取阶段，并进行了进一步侦察，表明其正在积极扩展访问范围并寻求提升权限。,利用已知漏洞（如Log4j）进行初始入侵，部署工具，植入Webshell实现持久化，利用RCE漏洞横向移动，转储凭据并外传，以及进行内网扫描。,攻击者可能利用窃取的凭据进行横向移动，尝试访问更多系统，并可能部署额外的持久化机制或进行数据收集。,"[""T1078"",""T1021"",""T1059"",""T1005"",""T1505""]","{
  ""stage_assessment"": ""攻击者已从初始入侵推进到内网横向移动与凭据窃取阶段，并进行了进一步侦察，表明其正在积极扩展访问范围并寻求提升权限。"",
  ""observed_capabilities"": ""利用已知漏洞（如Log4j）进行初始入侵，部署工具，植入Webshell实现持久化，利用RCE漏洞横向移动，转储凭据并外传，以及进行内网扫描。"",
  ""likely_next_intents"": ""攻击者可能利用窃取的凭据进行横向移动，尝试访问更多系统，并可能部署额外的持久化机制或进行数据收集。"",
  ""predicted_next_ttps"": [""T1078"", ""T1021"", ""T1059"", ""T1005"", ""T1505""]
}",0,stop,deepseek-v4-flash,7442567f-6014-457f-88e8-31f14007561e,,1,200,2611,,,578,0,578,171,0.00012880000000000001,2026-08-07T07:34:28.225679+00:00
attack_flow:medium:4,attack_flow::Muddy Water::0007,attack_flow,Muddy Water,7,"[""attack_flow::Muddy Water::2cdde459-21d7-424b-8cfe-676dee071b83"",""attack_flow::Muddy Water::4e3f6133-4b02-47af-a50b-483944466072"",""attack_flow::Muddy Water::1695cced-1223-43ce-87b5-4c0ed7b1a4ad"",""attack_flow::Muddy Water::f7334146-26ec-456d-98aa-26d3cd1e2721"",""attack_flow::Muddy Water::2bf75e39-3cc3-4ee9-aa3f-35700a2da4ba"",""attack_flow::Muddy Water::f867b082-394a-4951-8fcb-70d8e082d42f"",""attack_flow::Muddy Water::80364c38-1930-40ab-a6aa-7d01bc8a11ae""]","[""attack_flow::Muddy Water::096fea1d-4466-4468-970f-81a7e660ba87"",""attack_flow::Muddy Water::c1c8d659-2a90-415a-a671-5ee7a3e1510e"",""attack_flow::Muddy Water::4e9f73e2-7198-490a-87c9-2b45cb305f48""]",7dc707bbce4eeba486edc5d9a53be3aaee815280db0deecadaa75c5731e7ed8a,0,0,True,ok,True,True,True,False,True,攻击者已通过鱼叉式网络钓鱼投递恶意附件，诱导用户执行宏，建立持久化，并利用脚本引擎下载执行远程载荷，处于初始访问与执行阶段向持久化与命令控制过渡的早期。,具备通过电子邮件投递恶意附件、利用宏和脚本执行、创建注册表运行键实现持久化、下载并执行远程脚本的能力。,攻击者可能继续下载并执行恶意载荷，尝试收集系统信息或凭据，建立命令控制通道，或横向移动。,"[""T1105"",""T1059"",""T1005"",""T1003"",""T1021""]","{
  ""stage_assessment"": ""攻击者已通过鱼叉式网络钓鱼投递恶意附件，诱导用户执行宏，建立持久化，并利用脚本引擎下载执行远程载荷，处于初始访问与执行阶段向持久化与命令控制过渡的早期。"",
  ""observed_capabilities"": ""具备通过电子邮件投递恶意附件、利用宏和脚本执行、创建注册表运行键实现持久化、下载并执行远程脚本的能力。"",
  ""likely_next_intents"": ""攻击者可能继续下载并执行恶意载荷，尝试收集系统信息或凭据，建立命令控制通道，或横向移动。"",
  ""predicted_next_ttps"": [""T1105"", ""T1059"", ""T1005"", ""T1003"", ""T1021""]
}",0,stop,deepseek-v4-flash,45b63331-c3ac-418d-9758-4a6a4ad29abd,,1,200,2652,,,704,0,704,167,0.00014532,2026-08-07T07:34:28.267599+00:00
attack_flow:short:1,attack_flow::Gootloader::0004,attack_flow,Gootloader,4,"[""attack_flow::Gootloader::35f13ec8-9c18-40b4-b76a-0c313a99f525"",""attack_flow::Gootloader::b8cd023a-4f26-43cc-ac71-38f90533cf2d"",""attack_flow::Gootloader::1cfc90fc-4363-48e3-ae47-c2cb9ea6fb60"",""attack_flow::Gootloader::89b4e412-c715-4a2f-b04f-1024d7c3b9c6""]","[""attack_flow::Gootloader::1aa73c1d-cb93-4a7b-9da9-e4eb45d7b8e8"",""attack_flow::Gootloader::dc97c560-1be2-4a23-96e1-86ae94342358"",""attack_flow::Gootloader::29237ebb-4255-4531-8a2a-91c9418a9ac6""]",ccc3847e1a27a5640bfecedb1126576e16f1b0b473fc403b80648e575827a91c,0,0,True,ok,True,True,True,False,True,攻击者已成功通过水坑攻击获取初始访问，并诱导用户执行恶意载荷，目前处于执行阶段。,攻击者能够入侵合法网站以托管恶意内容，利用用户访问触发下载，并诱导用户执行恶意文件。,攻击者可能试图在目标系统上建立持久性、提升权限或进行侦察，为后续横向移动或数据窃取做准备。,"[""T1059"",""T1204"",""T1105"",""T1078"",""T1003""]","{
  ""stage_assessment"": ""攻击者已成功通过水坑攻击获取初始访问，并诱导用户执行恶意载荷，目前处于执行阶段。"",
  ""observed_capabilities"": ""攻击者能够入侵合法网站以托管恶意内容，利用用户访问触发下载，并诱导用户执行恶意文件。"",
  ""likely_next_intents"": ""攻击者可能试图在目标系统上建立持久性、提升权限或进行侦察，为后续横向移动或数据窃取做准备。"",
  ""predicted_next_ttps"": [""T1059"", ""T1204"", ""T1105"", ""T1078"", ""T1003""]
}",0,stop,deepseek-v4-flash,69612e9d-7335-4656-9830-63e6e676a880,,1,200,2086,,,516,0,516,138,0.00011088000000000001,2026-08-07T07:34:27.703270+00:00
attack_flow:short:2,attack_flow::Maastricht University Ransomware::0002,attack_flow,Maastricht University Ransomware,2,"[""attack_flow::Maastricht University Ransomware::e846ce14-d8d4-4d87-aa1c-4581a52e0642"",""attack_flow::Maastricht University Ransomware::47ffc519-7b5c-419d-8b4d-d738abb1ef1f""]","[""attack_flow::Maastricht University Ransomware::8b19cc76-f722-4b26-8100-5f96c5437ee8"",""attack_flow::Maastricht University Ransomware::986b710d-19da-4022-86fb-27df6ee27515"",""attack_flow::Maastricht University Ransomware::f5e02545-48d0-48ed-8452-558605dc32be""]",71ee9b8ae64f4f75039359726761161d9e5a6446f793d6b24c6467a576c07640,0,0,True,ok,True,True,True,False,True,攻击者处于初始访问和执行的早期阶段，已通过钓鱼邮件投递恶意Excel文件并利用宏执行恶意代码。,能够制作并投递包含恶意宏的Excel附件，诱导用户执行以获取初始访问权限。,在获得初始执行后，攻击者可能尝试建立持久性、提升权限、进行命令与控制通信或横向移动。,"[""T1059"",""T1105"",""T1547"",""T1021"",""T1003""]","{
  ""stage_assessment"": ""攻击者处于初始访问和执行的早期阶段，已通过钓鱼邮件投递恶意Excel文件并利用宏执行恶意代码。"",
  ""observed_capabilities"": ""能够制作并投递包含恶意宏的Excel附件，诱导用户执行以获取初始访问权限。"",
  ""likely_next_intents"": ""在获得初始执行后，攻击者可能尝试建立持久性、提升权限、进行命令与控制通信或横向移动。"",
  ""predicted_next_ttps"": [""T1059"", ""T1105"", ""T1547"", ""T1021"", ""T1003""]
}",0,stop,deepseek-v4-flash,78313b9e-ccf0-46f9-8044-00539558844e,,1,200,2208,,,437,0,437,134,9.870000000000001e-05,2026-08-07T07:34:27.825118+00:00
attack_flow:short:3,attack_flow::Mac Malware Steals Crypto::0003,attack_flow,Mac Malware Steals Crypto,3,"[""attack_flow::Mac Malware Steals Crypto::9e267c9d-ab5c-446f-b1e1-b57fe510ce86"",""attack_flow::Mac Malware Steals Crypto::77409eed-e668-4a19-bd85-9c55b48bc59d"",""attack_flow::Mac Malware Steals Crypto::5be1aafd-dc2a-4a68-aab0-745bd70b7427""]","[""attack_flow::Mac Malware Steals Crypto::f07bd6fe-b4cb-4d42-89f2-8235297b880a"",""attack_flow::Mac Malware Steals Crypto::afbd6c13-5d78-4812-aeb5-523ae08c3053""]",5ebf3e2a7e5cbd4be88ecf101353ebf06e511e6ceffdb4e04eb418979198053d,0,0,True,ok,True,True,True,False,True,攻击者已从初始访问和凭据窃取阶段过渡到持久化与资源利用阶段，当前可能正在建立长期控制并利用受感染系统进行资源消耗活动。,具备通过脚本执行窃取浏览器存储的凭据和支付信息的能力，能够利用系统机制进行数据解密和提取，并具备部署加密货币挖矿程序的能力。,攻击者可能继续扩展对系统的控制，尝试横向移动以获取更多凭据，或部署额外的持久化机制，同时可能利用窃取的信息进行进一步攻击或维持资源利用活动。,"[""T1003"",""T1021"",""T1078"",""T1059"",""T1105""]","{
  ""stage_assessment"": ""攻击者已从初始访问和凭据窃取阶段过渡到持久化与资源利用阶段，当前可能正在建立长期控制并利用受感染系统进行资源消耗活动。"",
  ""observed_capabilities"": ""具备通过脚本执行窃取浏览器存储的凭据和支付信息的能力，能够利用系统机制进行数据解密和提取，并具备部署加密货币挖矿程序的能力。"",
  ""likely_next_intents"": ""攻击者可能继续扩展对系统的控制，尝试横向移动以获取更多凭据，或部署额外的持久化机制，同时可能利用窃取的信息进行进一步攻击或维持资源利用活动。"",
  ""predicted_next_ttps"": [""T1003"", ""T1021"", ""T1078"", ""T1059"", ""T1105""]
}",0,stop,deepseek-v4-flash,ce414a2f-c7d8-45cf-b739-34e7afba387b,,1,200,2900,,,486,0,486,174,0.00011676000000000001,2026-08-07T07:34:28.519019+00:00
