pilot_slot,length_stratum,source_q1,source_q2,source,campaign_id,prefix_len,prefix,true_label,recent_prefix_ids,kg_context,kg_snippet_ids,kg_chars_before,kg_chars_after,kg_empty_reason,sample_id,raw_prefix,target_raw_id,org_name,actor,plan_id,scenario_id,mapping_quality,kg_snippet_types,kg_retrieved_snippet_ids,flow_file,profile_file,profile_name
ctid:short:1,short,10,22,ctid,carbanak::unknown,7,"[""T1113"",""T1112"",""T1140"",""T1003"",""T1105"",""T1570"",""T1021""]",T1057,"[""T1105"", ""T1570"", ""T1021""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including [PsExec](https://attack.mitre.org/software/S0029) directly to endpoints.(Citation: CISA ... ; EvilBunny uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [EvilBunny](https://attack.mitre.org/software/S0396) has downloaded additional Lua scripts from the C2.(Citation: ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9""]",1381,692,,carbanak::unknown::7,"[""T1113"",""T1112"",""T1140"",""T1003.001"",""T1105"",""T1570"",""T1021.004""]",T1057,carbanak,carbanak,carbanak,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9"", ""relationship::relationship--0110e04e-5812-4b69-9700-037b52d3ebb4"", ""relationship::relationship--0177d430-a0b9-4f2f-8c66-8dfa4391611a"", ""relationship::relationship--01d9bce9-9ae9-4167-b279-0f0ee4e6b263""]",,,
ctid:short:2,short,10,22,ctid,sandworm::unknown,10,"[""T1105"",""T1505"",""T1033"",""T1082"",""T1083"",""T1003"",""T1105"",""T1548"",""T1053"",""T1543""]",T1003,"[""T1548"", ""T1053"", ""T1543""]",GoldMax uses Scheduled Task | Target ATT&CK ID: T1053.005 | [GoldMax](https://attack.mitre.org/software/S0588) has used scheduled tasks to maintain persistence.(Citation: MSTIC NOBELIUM Mar 2021) ; Cobalt Strike uses Sudo and Sudo Caching | Target ATT&CK ID: T1548.003 | [Cobalt Strike](https://attack.mitre.org/software/S0154) can use <code>sudo</code> to run a command.(Citation: Cobalt Strike Manual 4.3 November 2020) ; NightClub uses Windows Service | Target ATT&CK ID: T1543.003 | [NightClub](https://attack.mitre.org/software/S1090) has created a Windows service named `WmdmPmSp` to establish persistence.(Citation: MoustachedBouncer ESET August 2023) ; Industroyer uses Windows Service | ...,"[""relationship::relationship--005b6fd1-be80-424b-b6df-2ff88d390b1b"", ""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--01b95067-ba65-48c2-8d2c-342e13007cc8"", ""relationship::relationship--02af155a-ed26-4807-99c5-f88477a6e143""]",1381,699,,sandworm::unknown::10,"[""T1105"",""T1505.003"",""T1033"",""T1082"",""T1083"",""T1003.008"",""T1105"",""T1548.001"",""T1053.003"",""T1543.002""]",T1003.008,sandworm,sandworm,sandworm,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--005b6fd1-be80-424b-b6df-2ff88d390b1b"", ""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--01b95067-ba65-48c2-8d2c-342e13007cc8"", ""relationship::relationship--02af155a-ed26-4807-99c5-f88477a6e143"", ""relationship::relationship--02e0a0a6-2b51-4266-ba4e-1af344f20f62"", ""relationship::relationship--0327e5d8-877c-4efe-bedc-9807279d74dc""]",,,
ctid:short:3,short,10,22,ctid,fin7::unknown,5,"[""T1113"",""T1059"",""T1057"",""T1003"",""T1570""]",T1574,"[""T1057"", ""T1003"", ""T1570""]",Indrik Spider uses LSASS Memory | Target ATT&CK ID: T1003.001 | [Indrik Spider](https://attack.mitre.org/groups/G0119) used [Cobalt Strike](https://attack.mitre.org/software/S0154) to carry out credential dumping using ProcDump.(Citation: Symantec ... ; Daggerfly uses Security Account Manager | Target ATT&CK ID: T1003.002 | [Daggerfly](https://attack.mitre.org/groups/G1034) used [Reg](https://attack.mitre.org/software/S0075) to dump the Security Account Manager (SAM) hive from victim machines for ... ; APT28 uses NTDS | Target ATT&CK ID: T1003.003 | [APT28](https://attack.mitre.org/groups/G0007) has used the ntdsutil.exe utility to export the Active Directory database for credential ...,"[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba""]",1244,695,,fin7::unknown::5,"[""T1113"",""T1059.003"",""T1057"",""T1003.002"",""T1570""]",T1574.001,fin7,fin7,fin7,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba"", ""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b"", ""relationship::relationship--02a05d88-504c-4b79-bc55-1174b02e62c2""]",,,
ctid:medium:1,medium,10,22,ctid,menu_pass::unknown,11,"[""T1105"",""T1135"",""T1018"",""T1046"",""T1016"",""T1003"",""T1569"",""T1560"",""T1074"",""T1537"",""T1047""]",T1553,"[""T1074"", ""T1537"", ""T1047""]",Sardonic uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Sardonic](https://attack.mitre.org/software/S1085) can use WMI to execute PowerShell commands on a compromised machine.(Citation: Bitdefender Sardonic Aug 2021) ; Meteor uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point Meteor Aug 2021) ; Cinnamon Tempest uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Cinnamon Tempest](https://attack.mitre.org/groups/G1021) has used [Impacket](https://attack.mitre.org/software/S0357) for lateral ...,"[""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3"", ""relationship::relationship--01eddb48-5116-494c-9d1c-2ace79b28530""]",1221,692,,menu_pass::unknown::11,"[""T1105"",""T1135"",""T1018"",""T1046"",""T1016"",""T1003.001"",""T1569.002"",""T1560.001"",""T1074.001"",""T1537"",""T1047""]",T1553.005,menu_pass,menu_pass,menu_pass,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3"", ""relationship::relationship--01eddb48-5116-494c-9d1c-2ace79b28530"", ""relationship::relationship--0220b491-9c13-4bc4-a3e2-e3ad0e8c9733"", ""relationship::relationship--05669b75-65ea-4b30-8f97-f2c806a0703d""]",,,
ctid:medium:2,medium,10,22,ctid,turla_snake::unknown,12,"[""T1189"",""T1204"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087"",""T1049"",""T1105"",""T1569"",""T1070"",""T1059""]",T1069,"[""T1569"", ""T1070"", ""T1059""]","POWERSTATS uses File Deletion | Target ATT&CK ID: T1070.004 | [POWERSTATS](https://attack.mitre.org/software/S0223) can delete all files on the C:\, D:\, E:\ and, F:\ drives using [PowerShell](https://attack.mitre.org/techniques/T1059/001) Remove-Item ... ; TDTESS uses File Deletion | Target ATT&CK ID: T1070.004 | [TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017) ; WIRTE uses PowerShell | Target ATT&CK ID: T1059.001 | [WIRTE](https://attack.mitre.org/groups/G0090) has used PowerShell for script execution.(Citation: Lab52 WIRTE Apr 2019) ; Lokibot uses Visual Basic | ...","[""relationship::relationship--c18652f6-e25c-4e01-bec2-04204a50cf23"", ""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe""]",1326,694,,turla_snake::unknown::12,"[""T1189"",""T1204.002"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087.002"",""T1049"",""T1105"",""T1569.002"",""T1070.004"",""T1059.001""]",T1069.001,turla_snake,turla,turla_snake,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--c18652f6-e25c-4e01-bec2-04204a50cf23"", ""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8""]",,,
ctid:medium:3,medium,10,22,ctid,fin6::unknown,11,"[""T1087"",""T1018"",""T1482"",""T1016"",""T1069"",""T1134"",""T1003"",""T1560"",""T1567"",""T1569"",""T1047""]",T1547,"[""T1567"", ""T1569"", ""T1047""]",Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Sardonic uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Sardonic](https://attack.mitre.org/software/S1085) can use WMI to execute PowerShell commands on a compromised machine.(Citation: Bitdefender Sardonic Aug 2021) ; Meteor uses Windows Management Instrumentation | Target ATT&CK ID: T1047 | [Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point ...,"[""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3""]",1231,696,,fin6::unknown::11,"[""T1087.002"",""T1018"",""T1482"",""T1016"",""T1069.002"",""T1134"",""T1003.001"",""T1560.001"",""T1567.002"",""T1569.002"",""T1047""]",T1547.001,fin6,fin6,fin6,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3"", ""relationship::relationship--01eddb48-5116-494c-9d1c-2ace79b28530"", ""relationship::relationship--0220b491-9c13-4bc4-a3e2-e3ad0e8c9733""]",,,
ctid:medium:4,medium,10,22,ctid,wizard_spider::unknown,18,"[""T1105"",""T1078"",""T1204"",""T1547"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114"",""T1021"",""T1105"",""T1082"",""T1007"",""T1087"",""T1016"",""T1049"",""T1082"",""T1482""]",T1069,"[""T1049"", ""T1082"", ""T1482""]","Micropsia uses System Information Discovery | Target ATT&CK ID: T1082 | [Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia ... ; njRAT uses System Information Discovery | Target ATT&CK ID: T1082 | [njRAT](https://attack.mitre.org/software/S0385) enumerates the victim operating system and computer name during the initial infection.(Citation: Fidelis njRAT June 2013) ; DarkGate uses System Information Discovery | Target ATT&CK ID: T1082 | [DarkGate](https://attack.mitre.org/software/S1111) will gather various system information such as domain, display adapter ...","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]",1230,697,,wizard_spider::unknown::18,"[""T1105"",""T1078"",""T1204.002"",""T1547.001"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114.001"",""T1021.001"",""T1105"",""T1082"",""T1007"",""T1087.001"",""T1016"",""T1049"",""T1082"",""T1482""]",T1069,wizard_spider,wizard_spider,wizard_spider,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707"", ""relationship::relationship--01933b06-956c-4f09-9dcc-e7c6b672dc94"", ""relationship::relationship--01b542b1-3222-459b-9cdf-b91dcd29c749""]",,,
ctid:long:1,long,10,22,ctid,turla_carbon::unknown,26,"[""T1566"",""T1204"",""T1069"",""T1059"",""T1574"",""T1105"",""T1112"",""T1033"",""T1110"",""T1070"",""T1570"",""T1053"",""T1069"",""T1018"",""T1003"",""T1105"",""T1550"",""T1070"",""T1056"",""T1070"",""T1105"",""T1021"",""T1105"",""T1021"",""T1070"",""T1205""]",T1189,"[""T1021"", ""T1070"", ""T1205""]","TDTESS uses File Deletion | Target ATT&CK ID: T1070.004 | [TDTESS](https://attack.mitre.org/software/S0164) creates then deletes log files during installation of itself as a service.(Citation: ClearSky Wilted Tulip July 2017) ; Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; LightNeuron uses File Deletion | Target ATT&CK ID: T1070.004 | [LightNeuron](https://attack.mitre.org/software/S0395) has a function to delete files.(Citation: ESET LightNeuron May 2019) ; ROADSWEEP uses File ...","[""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--01b13af3-d241-47ed-b351-e83604c0d92f"", ""relationship::relationship--01dc7e85-da23-4a0b-937e-a7a6e83c7f53""]",1377,696,,turla_carbon::unknown::26,"[""T1566.002"",""T1204.002"",""T1069.002"",""T1059.001"",""T1574.011"",""T1105"",""T1112"",""T1033"",""T1110.003"",""T1070.004"",""T1570"",""T1053.005"",""T1069.002"",""T1018"",""T1003"",""T1105"",""T1550.002"",""T1070.004"",""T1056.001"",""T1070.004"",""T1105"",""T1021.004"",""T1105"",""T1021.004"",""T1070.004"",""T1205""]",T1189,turla_carbon,turla,turla_carbon,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--01b13af3-d241-47ed-b351-e83604c0d92f"", ""relationship::relationship--01dc7e85-da23-4a0b-937e-a7a6e83c7f53"", ""relationship::relationship--022d2514-26de-457f-8fb4-c5daf36eaef9"", ""relationship::relationship--028d56d1-c4fa-400c-8b72-87892eec0f42""]",,,
ctid:long:2,long,10,22,ctid,oilrig::unknown,34,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087"",""T1069"",""T1021"",""T1087"",""T1069"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087"",""T1069"",""T1018"",""T1555"",""T1041"",""T1105"",""T1505"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003"",""T1041"",""T1070"",""T1105"",""T1572"",""T1021"",""T1105"",""T1569""]",T1083,"[""T1021"", ""T1105"", ""T1569""]","Conti uses SMB/Windows Admin Shares | Target ATT&CK ID: T1021.002 | [Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan ... ; Pupy uses Service Execution | Target ATT&CK ID: T1569.002 | [Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy) ; Fox Kitten uses Ingress Tool Transfer | Target ATT&CK ID: T1105 | [Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including ...","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]",1358,658,,oilrig::unknown::34,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087.002"",""T1069.002"",""T1021"",""T1087.001"",""T1069.001"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087.002"",""T1069.002"",""T1018"",""T1555.004"",""T1041"",""T1105"",""T1505.003"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003.001"",""T1041"",""T1070.004"",""T1105"",""T1572"",""T1021.001"",""T1105"",""T1569.002""]",T1083,oilrig,oilrig,oilrig,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9"", ""relationship::relationship--0110e04e-5812-4b69-9700-037b52d3ebb4"", ""relationship::relationship--0177d430-a0b9-4f2f-8c66-8dfa4391611a""]",,,
ctid:long:3,long,10,22,ctid,apt29::unknown,61,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059"",""T1083"",""T1134"",""T1105"",""T1113"",""T1083"",""T1059"",""T1041"",""T1070"",""T1529"",""T1070"",""T1037"",""T1204"",""T1070"",""T1518"",""T1082"",""T1033"",""T1057"",""T1134"",""T1003""]",T1546,"[""T1057"", ""T1134"", ""T1003""]",Indrik Spider uses LSASS Memory | Target ATT&CK ID: T1003.001 | [Indrik Spider](https://attack.mitre.org/groups/G0119) used [Cobalt Strike](https://attack.mitre.org/software/S0154) to carry out credential dumping using ProcDump.(Citation: Symantec ... ; Azorult uses Create Process with Token | Target ATT&CK ID: T1134.002 | [Azorult](https://attack.mitre.org/software/S0344) can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.(Citation: Unit42 Azorult Nov 2018) ; Daggerfly uses Security Account Manager | Target ATT&CK ID: T1003.002 | [Daggerfly](https://attack.mitre.org/groups/G1034) used [Reg](https://attack.mitre.org/software/S0075) to ...,"[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f""]",1273,698,,apt29::unknown::61,"[""T1036.002"",""T1059.001"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036.005"",""T1134.001"",""T1548.002"",""T1112"",""T1055"",""T1036.005"",""T1018"",""T1016"",""T1057"",""T1070.004"",""T1082"",""T1049"",""T1003"",""T1547.009"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552.004"",""T1036.005"",""T1113"",""T1115"",""T1056.001"",""T1041"",""T1105"",""T1134.001"",""T1053"",""T1134.001"",""T1018"",""T1059.001"",""T1083"",""T1134.001"",""T1105"",""T1113"",""T1083"",""T1059.001"",""T1041"",""T1070.004"",""T1529"",""T1070.004"",""T1037.005"",""T1204.002"",""T1070.006"",""T1518.001"",""T1082"",""T1033"",""T1057"",""T1134.002"",""T1003""]",T1546.003,apt29,apt29,apt29,unknown,high,"[""relationship::uses"", ""relationship::uses"", ""relationship::uses""]","[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba"", ""relationship::relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b""]",,,
