outer_train_sources,lambda,inner_train_source,inner_validation_source,validation_n,campaign_macro_top1,selected,mean_inner_top1_for_lambda,outer_held_source
attack_flow+stockpile,0.0,stockpile,attack_flow,10,0.0,False,0.05,ctid
attack_flow+stockpile,0.0,attack_flow,stockpile,10,0.1,False,0.05,ctid
attack_flow+stockpile,0.05,stockpile,attack_flow,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.05,attack_flow,stockpile,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.1,stockpile,attack_flow,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.1,attack_flow,stockpile,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.15,stockpile,attack_flow,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.15,attack_flow,stockpile,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.2,stockpile,attack_flow,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.2,attack_flow,stockpile,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.25,stockpile,attack_flow,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.25,attack_flow,stockpile,10,0.0,False,0.0,ctid
attack_flow+stockpile,0.3,stockpile,attack_flow,10,0.1,False,0.05,ctid
attack_flow+stockpile,0.3,attack_flow,stockpile,10,0.0,False,0.05,ctid
attack_flow+stockpile,0.35,stockpile,attack_flow,10,0.1,False,0.05,ctid
attack_flow+stockpile,0.35,attack_flow,stockpile,10,0.0,False,0.05,ctid
attack_flow+stockpile,0.4,stockpile,attack_flow,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.4,attack_flow,stockpile,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.45,stockpile,attack_flow,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.45,attack_flow,stockpile,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.5,stockpile,attack_flow,10,0.1,False,0.1,ctid
attack_flow+stockpile,0.5,attack_flow,stockpile,10,0.1,False,0.1,ctid
