method,category,ctid_ndcg5,attack_flow_ndcg5,stockpile_ndcg5,source_equal_ndcg5,status
B0,existing_llm,0.1943,0.2401,0.1741,0.2028,reference
K,existing_nonsemantic,0.1450,0.1637,0.2244,0.1777,baseline
T,existing_nonsemantic,0.1559,0.1765,0.1434,0.1586,baseline
A,existing_nonsemantic,0.1559,0.1765,0.1241,0.1522,baseline
A0,existing_frequency,0.1755,0.1897,0.0644,0.1432,baseline
Markov-beam,existing_sequence,0.1000,0.1191,0.1939,0.1377,baseline
R,existing_text,0.1597,0.1765,0.0634,0.1332,failed
LSTM,existing_neural,0.1991,0.1255,0.0630,0.1292,baseline
HM,existing_hybrid,0.1202,0.1470,0.1063,0.1245,failed
HM+S,existing_llm_fusion,0.1202,0.1470,0.0645,0.1106,failed
CO,existing_nonsemantic,0.0357,0.0486,0.0080,0.0307,baseline
Transformer,existing_neural,0.1097,0.1165,0.0622,0.0961,baseline
F1_RR5,new_local_fusion,0.2047,0.2279,0.1685,0.2003,failed
F2_C1R,new_local_fusion,0.1823,0.2407,0.1948,0.2059,failed
F3_OSER,new_local_fusion,0.1804,0.2010,0.1741,0.1852,failed
F4_LCB_RS,new_local_fusion,0.1945,0.2329,0.1724,0.1999,failed
F5_LCTR5,new_local_fusion_oracle_only,,,,,abandoned_oracle_below_3pt
