comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
F1-B0,ndcg5,-0.0024855244996628834,-0.014770851985670823,0.008269364140082038,2000,20260807
F1-B0,hit5,0.0,0.0,0.0,2000,20260807
F1-B0,precision5,0.0,0.0,0.0,2000,20260807
F1-B0,recall5,0.0,0.0,0.0,2000,20260807
F1-F1-Perm,ndcg5,0.0005908664379654927,-0.005342808768383369,0.0071047687684049066,2000,20260807
F1-F1-Perm,hit5,0.0,0.0,0.0,2000,20260807
F1-F1-Perm,precision5,0.0,0.0,0.0,2000,20260807
F1-F1-Perm,recall5,0.0,0.0,0.0,2000,20260807
F1-F1-NoPrior,ndcg5,0.0020041905913637525,-0.0015100879500543035,0.006317068318317493,2000,20260807
F1-F1-NoPrior,hit5,0.0,0.0,0.0,2000,20260807
F1-F1-NoPrior,precision5,0.0,0.0,0.0,2000,20260807
F1-F1-NoPrior,recall5,0.0,0.0,0.0,2000,20260807
F1-F1-Equal,ndcg5,-0.0028569082439500737,-0.015277383121691445,0.008355489367147084,2000,20260807
F1-F1-Equal,hit5,0.0,0.0,0.0,2000,20260807
F1-F1-Equal,precision5,0.0,0.0,0.0,2000,20260807
F1-F1-Equal,recall5,0.0,0.0,0.0,2000,20260807
F2-B0,ndcg5,0.0030838905471924916,-0.0043741240113367936,0.011665808877418157,2000,20260807
F2-B0,hit5,0.014134627106977327,-0.008666165574767725,0.040155519794536694,2000,20260807
F2-B0,precision5,-0.000685645353303288,-0.005510608905993408,0.004465289043446395,2000,20260807
F2-B0,recall5,0.010916058476518192,-0.007626362439073569,0.032131919304997515,2000,20260807
F2-F2-Perm,ndcg5,0.002188505515704181,-0.00403875450194461,0.010267622333255741,2000,20260807
F2-F2-Perm,hit5,0.012740511962862133,-0.006346535639930415,0.036705677479487005,2000,20260807
F2-F2-Perm,precision5,-0.0003729379989292625,-0.004622473011905132,0.0050125989530751406,2000,20260807
F2-F2-Perm,recall5,0.007585893271352978,-0.007471757304730784,0.027567099293390827,2000,20260807
F2-F2-NoPrior,ndcg5,0.0010157762555662586,-0.00845576103824375,0.010257698737687742,2000,20260807
F2-F2-NoPrior,hit5,0.002044118776389603,-0.02266009933060624,0.027385760503080014,2000,20260807
F2-F2-NoPrior,precision5,-0.0005852868040500392,-0.005577234062897147,0.004523305320156319,2000,20260807
F2-F2-NoPrior,recall5,0.004133228862150645,-0.01993410224883126,0.028193149834152248,2000,20260807
