method,removed_ctid_campaign,full_delta,leave_one_out_delta,sign_reversed
F1,apt29::unknown,-0.0024855244996628834,-0.002292312930546575,0
F1,carbanak::unknown,-0.0024855244996628834,-0.0024442994269217033,0
F1,fin6::unknown,-0.0024855244996628834,-0.003099372699541858,0
F1,fin7::unknown,-0.0024855244996628834,-0.0021964641915992733,0
F1,menu_pass::unknown,-0.0024855244996628834,-0.0023288182860455586,0
F1,oilrig::unknown,-0.0024855244996628834,-0.0024158115233312294,0
F1,sandworm::unknown,-0.0024855244996628834,-0.002780338836957136,0
F1,turla_carbon::unknown,-0.0024855244996628834,-0.0028943009645925333,0
F1,turla_snake::unknown,-0.0024855244996628834,-0.0019012380733780254,0
F1,wizard_spider::unknown,-0.0024855244996628834,-0.0025022880637150524,0
F2,apt29::unknown,0.0030838905471924916,0.0027462762209226887,0
F2,carbanak::unknown,0.0030838905471924916,0.00299343234801952,0
F2,fin6::unknown,0.0030838905471924916,0.0039002566041149433,0
F2,fin7::unknown,0.0030838905471924916,0.0034800209732414877,0
F2,menu_pass::unknown,0.0030838905471924916,0.0026395497114944377,0
F2,oilrig::unknown,0.0030838905471924916,0.003023765145435925,0
F2,sandworm::unknown,0.0030838905471924916,0.003073341330460666,0
F2,turla_carbon::unknown,0.0030838905471924916,0.0036061862619678753,0
F2,turla_snake::unknown,0.0030838905471924916,0.0031567627956464173,0
F2,wizard_spider::unknown,0.0030838905471924916,0.0022193140806209544,0
F3,apt29::unknown,-0.017667561560956058,-0.017989885207229273,0
F3,carbanak::unknown,-0.017667561560956058,-0.017745483929752476,0
F3,fin6::unknown,-0.017667561560956058,-0.01694760616791735,0
F3,fin7::unknown,-0.017667561560956058,-0.01818307387711568,0
F3,menu_pass::unknown,-0.017667561560956058,-0.017193550249255674,0
F3,oilrig::unknown,-0.017667561560956058,-0.01729316763107014,0
F3,sandworm::unknown,-0.017667561560956058,-0.018428866985320785,0
F3,turla_carbon::unknown,-0.017667561560956058,-0.01754601171675249,0
F3,turla_snake::unknown,-0.017667561560956058,-0.01715104589563804,0
F3,wizard_spider::unknown,-0.017667561560956058,-0.018196923949508753,0
F4,apt29::unknown,-0.002895014490415848,-0.002673785125722389,0
F4,carbanak::unknown,-0.002895014490415848,-0.0031739284660979583,0
F4,fin6::unknown,-0.002895014490415848,-0.0024670025137052687,0
F4,fin7::unknown,-0.002895014490415848,-0.0020467668828317576,0
F4,menu_pass::unknown,-0.002895014490415848,-0.00288723814457878,0
F4,oilrig::unknown,-0.002895014490415848,-0.0027540255812926184,0
F4,sandworm::unknown,-0.002895014490415848,-0.003524370311526387,0
F4,turla_carbon::unknown,-0.002895014490415848,-0.0031665043549251315,0
F4,turla_snake::unknown,-0.002895014490415848,-0.003050400706442774,0
F4,wizard_spider::unknown,-0.002895014490415848,-0.003206122817035556,0
