held_out_source,mechanism,variant,selected,policy_cells
ctid,F1,main,1.0,
ctid,F2,main,"[3,1,0.5,0.0]",
ctid,F3,main,0.1,
ctid,F4,main,1.64,16
ctid,F1,permuted,1.0,
ctid,F2,permuted,"[3,2,1.0,0.0]",
ctid,F3,permuted,1.0,
ctid,F4,permuted,1.64,0
ctid,F1,no_prior,1.0,
ctid,F2,no_prior,"[3,1,0.25,0.0]",
ctid,F3,no_prior,0.1,
ctid,F4,no_prior,1.0,25
ctid,F1,equal_capacity,1.0,
ctid,F2,equal_capacity,"[3,2,1.0,0.0]",
ctid,F3,equal_capacity,0.1,
ctid,F4,equal_capacity,1.64,0
attack_flow,F1,main,1.0,
attack_flow,F2,main,"[3,2,1.0,0.0]",
attack_flow,F3,main,0.01,
attack_flow,F4,main,1.64,16
attack_flow,F1,permuted,1.0,
attack_flow,F2,permuted,"[3,2,1.0,0.0]",
attack_flow,F3,permuted,1.0,
attack_flow,F4,permuted,1.64,7
attack_flow,F1,no_prior,0.01,
attack_flow,F2,no_prior,"[3,2,1.0,0.0]",
attack_flow,F3,no_prior,0.1,
attack_flow,F4,no_prior,1.64,18
attack_flow,F1,equal_capacity,1.0,
attack_flow,F2,equal_capacity,"[3,2,1.0,0.0]",
attack_flow,F3,equal_capacity,1.0,
attack_flow,F4,equal_capacity,1.64,0
stockpile,F1,main,0.1,
stockpile,F2,main,"[3,2,1.0,0.0]",
stockpile,F3,main,1.0,
stockpile,F4,main,1.64,9
stockpile,F1,permuted,0.001,
stockpile,F2,permuted,"[3,2,1.0,0.0]",
stockpile,F3,permuted,1.0,
stockpile,F4,permuted,1.64,9
stockpile,F1,no_prior,0.1,
stockpile,F2,no_prior,"[3,0,1.0,0.5]",
stockpile,F3,no_prior,0.1,
stockpile,F4,no_prior,1.64,6
stockpile,F1,equal_capacity,1.0,
stockpile,F2,equal_capacity,"[3,2,1.0,0.0]",
stockpile,F3,equal_capacity,1.0,
stockpile,F4,equal_capacity,1.64,0
