mechanism,sample_id,source,campaign_id,top5,ndcg5,b0_ndcg5
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]",0.7653606369886217,0.7653606369886217
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]",0.7653606369886217,0.7653606369886217
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]",0.7653606369886217,0.7653606369886217
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]",0.7653606369886217,0.7653606369886217
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]",0.7653606369886217,0.7653606369886217
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]",1.0,1.0
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]",1.0,1.0
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]",1.0,1.0
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]",1.0,1.0
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]",1.0,1.0
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,"[""T1059"",""T1203"",""T1105"",""T1055"",""T1027""]",0.6131471927654584,0.38685280723454163
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,"[""T1203"",""T1059"",""T1105"",""T1055"",""T1574""]",0.6240505200038379,0.38685280723454163
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,"[""T1203"",""T1059"",""T1105"",""T1055"",""T1027""]",0.38685280723454163,0.38685280723454163
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,"[""T1203"",""T1059"",""T1105"",""T1055"",""T1027""]",0.38685280723454163,0.38685280723454163
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,"[""T1059"",""T1203"",""T1105"",""T1055"",""T1027""]",0.6131471927654584,0.38685280723454163
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1071"",""T1547"",""T1003""]",0.46927872602275644,0.2960819109658652
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]",0.2960819109658652,0.2960819109658652
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]",0.2960819109658652,0.2960819109658652
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]",0.2960819109658652,0.2960819109658652
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]",0.2960819109658652,0.2960819109658652
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]",0.0,0.0
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]",0.0,0.0
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]",0.0,0.0
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]",0.0,0.0
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]",0.0,0.0
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]",0.0,0.0
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]",0.0,0.0
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]",0.0,0.0
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]",0.0,0.0
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]",0.0,0.0
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]",0.0,0.0
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]",0.0,0.0
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]",0.0,0.0
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]",0.0,0.0
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]",0.0,0.0
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]",0.0,0.0
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]",0.0,0.0
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]",0.0,0.0
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]",0.0,0.0
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]",0.0,0.0
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,"[""T1105"",""T1059"",""T1078"",""T1021"",""T1003""]",0.46927872602275644,0.18154179253735267
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]",0.18154179253735267,0.18154179253735267
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]",0.46927872602275644,0.18154179253735267
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1003"",""T1059"",""T1078""]",0.46927872602275644,0.18154179253735267
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]",0.18154179253735267,0.18154179253735267
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1003"",""T1078"",""T1055""]",0.46927872602275644,0.20210734650054757
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1055""]",0.20210734650054757,0.20210734650054757
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]",0.46927872602275644,0.20210734650054757
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1003"",""T1078"",""T1055""]",0.46927872602275644,0.20210734650054757
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1055""]",0.20210734650054757,0.20210734650054757
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,"[""T1021"",""T1105"",""T1003"",""T1078"",""T1482""]",0.7653606369886217,0.6713860725233041
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1482""]",0.6713860725233041,0.6713860725233041
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]",0.7653606369886217,0.6713860725233041
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,"[""T1105"",""T1021"",""T1003"",""T1078"",""T1482""]",0.7653606369886217,0.6713860725233041
F5_LCTR5_oracle,attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1482""]",0.6713860725233041,0.6713860725233041
F1_RR5_oracle,attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1078"",""T1055"",""T1041""]",0.46927872602275644,0.2960819109658652
F2_C1R_oracle,attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,"[""T1003"",""T1021"",""T1078"",""T1055"",""T1041""]",0.2960819109658652,0.2960819109658652
F3_OSER_oracle,attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,"[""T1003"",""T1021"",""T1078"",""T1055"",""T1041""]",0.2960819109658652,0.2960819109658652
F4_LCB_RS_oracle,attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,"[""T1021"",""T1003"",""T1041"",""T1078"",""T1055""]",0.46927872602275644,0.2960819109658652
