score_row,held_out_source,inner_training_source,inner_validation_source,seed,learning_rate,epoch,beta,sample_id,campaign_id
0,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0001,Black Basta Ransomware
1,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0002,Black Basta Ransomware
2,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0003,Black Basta Ransomware
3,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0004,Black Basta Ransomware
4,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0005,Black Basta Ransomware
5,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0006,Black Basta Ransomware
6,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0007,Black Basta Ransomware
7,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0008,Black Basta Ransomware
8,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0009,Black Basta Ransomware
9,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0010,Black Basta Ransomware
10,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0011,Black Basta Ransomware
11,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0012,Black Basta Ransomware
12,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0013,Black Basta Ransomware
13,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0014,Black Basta Ransomware
14,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0015,Black Basta Ransomware
15,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0016,Black Basta Ransomware
16,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0017,Black Basta Ransomware
17,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0018,Black Basta Ransomware
18,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0019,Black Basta Ransomware
19,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0020,Black Basta Ransomware
20,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0021,Black Basta Ransomware
21,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0022,Black Basta Ransomware
22,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0023,Black Basta Ransomware
23,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Black Basta Ransomware::0024,Black Basta Ransomware
24,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0001,CISA AA22-138B VMWare Workspace (Alt)
25,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0002,CISA AA22-138B VMWare Workspace (Alt)
26,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0003,CISA AA22-138B VMWare Workspace (Alt)
27,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0004,CISA AA22-138B VMWare Workspace (Alt)
28,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0005,CISA AA22-138B VMWare Workspace (Alt)
29,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0006,CISA AA22-138B VMWare Workspace (Alt)
30,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0007,CISA AA22-138B VMWare Workspace (Alt)
31,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0008,CISA AA22-138B VMWare Workspace (Alt)
32,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0001,CISA AA22-138B VMWare Workspace (TA1)
33,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0002,CISA AA22-138B VMWare Workspace (TA1)
34,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0003,CISA AA22-138B VMWare Workspace (TA1)
35,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0004,CISA AA22-138B VMWare Workspace (TA1)
36,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0005,CISA AA22-138B VMWare Workspace (TA1)
37,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0006,CISA AA22-138B VMWare Workspace (TA1)
38,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0007,CISA AA22-138B VMWare Workspace (TA1)
39,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0008,CISA AA22-138B VMWare Workspace (TA1)
40,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0001,CISA AA22-138B VMWare Workspace (TA2)
41,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0002,CISA AA22-138B VMWare Workspace (TA2)
42,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0003,CISA AA22-138B VMWare Workspace (TA2)
43,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0004,CISA AA22-138B VMWare Workspace (TA2)
44,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0005,CISA AA22-138B VMWare Workspace (TA2)
45,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0006,CISA AA22-138B VMWare Workspace (TA2)
46,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0007,CISA AA22-138B VMWare Workspace (TA2)
47,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0008,CISA AA22-138B VMWare Workspace (TA2)
48,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0009,CISA AA22-138B VMWare Workspace (TA2)
49,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0010,CISA AA22-138B VMWare Workspace (TA2)
50,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0001,CISA Iranian APT
51,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0002,CISA Iranian APT
52,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0003,CISA Iranian APT
53,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0004,CISA Iranian APT
54,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0005,CISA Iranian APT
55,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0006,CISA Iranian APT
56,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0007,CISA Iranian APT
57,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0008,CISA Iranian APT
58,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0009,CISA Iranian APT
59,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0010,CISA Iranian APT
60,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0011,CISA Iranian APT
61,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0012,CISA Iranian APT
62,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0013,CISA Iranian APT
63,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0014,CISA Iranian APT
64,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0015,CISA Iranian APT
65,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0016,CISA Iranian APT
66,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0017,CISA Iranian APT
67,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0018,CISA Iranian APT
68,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0019,CISA Iranian APT
69,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0020,CISA Iranian APT
70,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::CISA Iranian APT::0021,CISA Iranian APT
71,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0001,Cobalt Kitty Campaign
72,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0002,Cobalt Kitty Campaign
73,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0003,Cobalt Kitty Campaign
74,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0004,Cobalt Kitty Campaign
75,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0005,Cobalt Kitty Campaign
76,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0006,Cobalt Kitty Campaign
77,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0007,Cobalt Kitty Campaign
78,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0008,Cobalt Kitty Campaign
79,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0009,Cobalt Kitty Campaign
80,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0010,Cobalt Kitty Campaign
81,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Cobalt Kitty Campaign::0011,Cobalt Kitty Campaign
82,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti CISA Alert::0001,Conti CISA Alert
83,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti CISA Alert::0002,Conti CISA Alert
84,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti CISA Alert::0003,Conti CISA Alert
85,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti CISA Alert::0004,Conti CISA Alert
86,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti CISA Alert::0005,Conti CISA Alert
87,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti PWC::0001,Conti PWC
88,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti PWC::0002,Conti PWC
89,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti PWC::0003,Conti PWC
90,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0001,Conti Ransomware
91,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0002,Conti Ransomware
92,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0003,Conti Ransomware
93,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0004,Conti Ransomware
94,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0005,Conti Ransomware
95,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0006,Conti Ransomware
96,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0007,Conti Ransomware
97,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0008,Conti Ransomware
98,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0009,Conti Ransomware
99,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0010,Conti Ransomware
100,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0011,Conti Ransomware
101,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0012,Conti Ransomware
102,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0014,Conti Ransomware
103,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::Conti Ransomware::0015,Conti Ransomware
104,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0001,DFIR - BumbleBee Round 2
105,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0002,DFIR - BumbleBee Round 2
106,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0003,DFIR - BumbleBee Round 2
107,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0004,DFIR - BumbleBee Round 2
108,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0005,DFIR - BumbleBee Round 2
109,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0006,DFIR - BumbleBee Round 2
110,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0007,DFIR - BumbleBee Round 2
111,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0008,DFIR - BumbleBee Round 2
112,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0009,DFIR - BumbleBee Round 2
113,ctid,stockpile,attack_flow,42,0.001,40,0.1,attack_flow::DFIR - BumbleBee Round 2::0010,DFIR - BumbleBee Round 2
