score_row,held_out_source,seed,learning_rate,epoch,beta,sample_id,campaign_id
0,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0001,apt29::unknown
1,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0002,apt29::unknown
2,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0003,apt29::unknown
3,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0004,apt29::unknown
4,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0005,apt29::unknown
5,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0006,apt29::unknown
6,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0007,apt29::unknown
7,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0008,apt29::unknown
8,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0009,apt29::unknown
9,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0010,apt29::unknown
10,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0011,apt29::unknown
11,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0012,apt29::unknown
12,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0013,apt29::unknown
13,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0014,apt29::unknown
14,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0015,apt29::unknown
15,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0016,apt29::unknown
16,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0017,apt29::unknown
17,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0018,apt29::unknown
18,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0019,apt29::unknown
19,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0020,apt29::unknown
20,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0021,apt29::unknown
21,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0022,apt29::unknown
22,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0023,apt29::unknown
23,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0024,apt29::unknown
24,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0025,apt29::unknown
25,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0026,apt29::unknown
26,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0028,apt29::unknown
27,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0029,apt29::unknown
28,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0030,apt29::unknown
29,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0031,apt29::unknown
30,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0032,apt29::unknown
31,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0033,apt29::unknown
32,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0034,apt29::unknown
33,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0035,apt29::unknown
34,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0036,apt29::unknown
35,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0037,apt29::unknown
36,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0038,apt29::unknown
37,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0039,apt29::unknown
38,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0040,apt29::unknown
39,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0041,apt29::unknown
40,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0042,apt29::unknown
41,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0043,apt29::unknown
42,ctid,42,0.001,40,0.1,ctid::apt29::unknown::0044,apt29::unknown
