construction_mode,campaign_id,method,n_train,n_test,correct,accuracy
released,C0001,FREQ,122572,5200,200,0.038461538461538464
released,C0001,PREFIX,122572,5200,200,0.038461538461538464
released,C0001,M1,122572,5200,864,0.16615384615384615
released,C0001,M2,122572,5200,1010,0.19423076923076923
released,C0002,FREQ,122172,5600,200,0.03571428571428571
released,C0002,PREFIX,122172,5600,200,0.03571428571428571
released,C0002,M1,122172,5600,808,0.1442857142857143
released,C0002,M2,122172,5600,616,0.11
released,C0004,FREQ,127448,324,36,0.1111111111111111
released,C0004,PREFIX,127448,324,36,0.1111111111111111
released,C0004,M1,127448,324,36,0.1111111111111111
released,C0004,M2,127448,324,18,0.05555555555555555
released,C0005,FREQ,124572,3200,0,0.0
released,C0005,PREFIX,124572,3200,200,0.0625
released,C0005,M1,124572,3200,400,0.125
released,C0005,M2,124572,3200,616,0.1925
released,C0006,FREQ,122372,5400,200,0.037037037037037035
released,C0006,PREFIX,122372,5400,200,0.037037037037037035
released,C0006,M1,122372,5400,632,0.11703703703703704
released,C0006,M2,122372,5400,510,0.09444444444444444
released,C0007,FREQ,125172,2600,200,0.07692307692307693
released,C0007,PREFIX,125172,2600,400,0.15384615384615385
released,C0007,M1,125172,2600,346,0.13307692307692306
released,C0007,M2,125172,2600,354,0.13615384615384615
released,C0010,FREQ,127572,200,25,0.125
released,C0010,PREFIX,127572,200,27,0.135
released,C0010,M1,127572,200,9,0.045
released,C0010,M2,127572,200,15,0.075
released,C0011,FREQ,127268,504,0,0.0
released,C0011,PREFIX,127268,504,0,0.0
released,C0011,M1,127268,504,60,0.11904761904761904
released,C0011,M2,127268,504,84,0.16666666666666666
released,C0012,FREQ,121372,6400,0,0.0
released,C0012,PREFIX,121372,6400,0,0.0
released,C0012,M1,121372,6400,1128,0.17625
released,C0012,M2,121372,6400,1132,0.176875
released,C0013,FREQ,125372,2400,200,0.08333333333333333
released,C0013,PREFIX,125372,2400,200,0.08333333333333333
released,C0013,M1,125372,2400,340,0.14166666666666666
released,C0013,M2,125372,2400,340,0.14166666666666666
released,C0014,FREQ,114172,13600,200,0.014705882352941176
released,C0014,PREFIX,114172,13600,200,0.014705882352941176
released,C0014,M1,114172,13600,1346,0.09897058823529412
released,C0014,M2,114172,13600,1298,0.09544117647058824
released,C0015,FREQ,121172,6600,200,0.030303030303030304
released,C0015,PREFIX,121172,6600,200,0.030303030303030304
released,C0015,M1,121172,6600,720,0.10909090909090909
released,C0015,M2,121172,6600,736,0.11151515151515151
released,C0016,FREQ,124572,3200,0,0.0
released,C0016,PREFIX,124572,3200,0,0.0
released,C0016,M1,124572,3200,56,0.0175
released,C0016,M2,124572,3200,122,0.038125
released,C0017,FREQ,122172,5600,200,0.03571428571428571
released,C0017,PREFIX,122172,5600,200,0.03571428571428571
released,C0017,M1,122172,5600,598,0.10678571428571429
released,C0017,M2,122172,5600,544,0.09714285714285714
released,C0018,FREQ,124172,3600,200,0.05555555555555555
released,C0018,PREFIX,124172,3600,200,0.05555555555555555
released,C0018,M1,124172,3600,351,0.0975
released,C0018,M2,124172,3600,373,0.10361111111111111
released,C0021,FREQ,124972,2800,200,0.07142857142857142
released,C0021,PREFIX,124972,2800,200,0.07142857142857142
released,C0021,M1,124972,2800,415,0.14821428571428572
released,C0021,M2,124972,2800,204,0.07285714285714286
released,C0022,FREQ,116972,10800,200,0.018518518518518517
released,C0022,PREFIX,116972,10800,200,0.018518518518518517
released,C0022,M1,116972,10800,744,0.06888888888888889
released,C0022,M2,116972,10800,1040,0.0962962962962963
released,C0023,FREQ,127604,168,0,0.0
released,C0023,PREFIX,127604,168,4,0.023809523809523808
released,C0023,M1,127604,168,0,0.0
released,C0023,M2,127604,168,0,0.0
released,C0024,FREQ,113772,14000,200,0.014285714285714285
released,C0024,PREFIX,113772,14000,200,0.014285714285714285
released,C0024,M1,113772,14000,1310,0.09357142857142857
released,C0024,M2,113772,14000,1540,0.11
released,C0025,FREQ,123772,4000,0,0.0
released,C0025,PREFIX,123772,4000,0,0.0
released,C0025,M1,123772,4000,824,0.206
released,C0025,M2,123772,4000,724,0.181
released,C0026,FREQ,127752,20,4,0.2
released,C0026,PREFIX,127752,20,4,0.2
released,C0026,M1,127752,20,4,0.2
