construction_mode,protocol,aggregation,method,accuracy,n_train,n_test,n_folds
released,pair90_diagnostic,row_micro,FREQ,0.028721239630615118,114994,12778,1
released,pair90_diagnostic,row_micro,PREFIX,0.7487869776177806,114994,12778,1
released,pair90_diagnostic,row_micro,M1,0.3822976991704492,114994,12778,1
released,pair90_diagnostic,row_micro,M2,0.684692440131476,114994,12778,1
released,pair80_primary,row_micro,FREQ,0.028174525533163765,102217,25555,1
released,pair80_primary,row_micro,PREFIX,0.7501076110350225,102217,25555,1
released,pair80_primary,row_micro,M1,0.3773429857170808,102217,25555,1
released,pair80_primary,row_micro,M2,0.6914889454118568,102217,25555,1
released,campaign_loco,campaign_macro,FREQ,0.04038708803976571,varies,127772,33
released,campaign_loco,row_micro,FREQ,0.02907522774942867,varies,127772,33
released,campaign_loco,campaign_macro,PREFIX,0.045636560789238466,varies,127772,33
released,campaign_loco,row_micro,PREFIX,0.03225276273361926,varies,127772,33
released,campaign_loco,campaign_macro,M1,0.10061016816002091,varies,127772,33
released,campaign_loco,row_micro,M1,0.11232507904705256,varies,127772,33
released,campaign_loco,campaign_macro,M2,0.1014823499371279,varies,127772,33
released,campaign_loco,row_micro,M2,0.11276335973452713,varies,127772,33
canonical,pair90_diagnostic,row_micro,FREQ,0.026216935357645955,114994,12778,1
canonical,pair90_diagnostic,row_micro,PREFIX,0.7489434966348412,114994,12778,1
canonical,pair90_diagnostic,row_micro,M1,0.3718891845359211,114994,12778,1
canonical,pair90_diagnostic,row_micro,M2,0.6723274377836908,114994,12778,1
canonical,pair80_primary,row_micro,FREQ,0.028409313245940128,102217,25555,1
canonical,pair80_primary,row_micro,PREFIX,0.7494032478966934,102217,25555,1
canonical,pair80_primary,row_micro,M1,0.3760907845822735,102217,25555,1
canonical,pair80_primary,row_micro,M2,0.6857757777342985,102217,25555,1
canonical,campaign_loco,campaign_macro,FREQ,0.04038708803976571,varies,127772,33
canonical,campaign_loco,row_micro,FREQ,0.02907522774942867,varies,127772,33
canonical,campaign_loco,campaign_macro,PREFIX,0.045845842248519925,varies,127772,33
canonical,campaign_loco,row_micro,PREFIX,0.0339119681933444,varies,127772,33
canonical,campaign_loco,campaign_macro,M1,0.08316049813279139,varies,127772,33
canonical,campaign_loco,row_micro,M1,0.1026750774817644,varies,127772,33
canonical,campaign_loco,campaign_macro,M2,0.08133843463636924,varies,127772,33
canonical,campaign_loco,row_micro,M2,0.09039539179162884,varies,127772,33
