status,sample_id,source,campaign_id,development_slot,method,targets,ranking,ndcg5,hit5,precision5,recall5
development_descriptive_only,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,attack_flow:long:2,B0,"[""T1484"",""T1562"",""T1486""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,attack_flow:long:2,EA_TOP5,"[""T1484"",""T1562"",""T1486""]","[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,attack_flow:long:2,UNION_LLM,"[""T1484"",""T1562"",""T1486""]","[""T1003"",""T1078"",""T1098"",""T1053"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,attack_flow:long:2,EDLR,"[""T1484"",""T1562"",""T1486""]","[""T1003"",""T1078"",""T1057"",""T1049"",""T1016""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Conti Ransomware::0013,attack_flow,Conti Ransomware,attack_flow:long:2,EDLR_SHUFFLE,"[""T1484"",""T1562"",""T1486""]","[""T1098"",""T1105"",""T1069"",""T1053"",""T1057""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,attack_flow:medium:3,B0,"[""T1003"",""T1078"",""T1005""]","[""T1078"",""T1021"",""T1059"",""T1005"",""T1505""]",0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,attack_flow:medium:3,EA_TOP5,"[""T1003"",""T1078"",""T1005""]","[""T1059"",""T1078"",""T1021"",""T1005"",""T1505""]",0.49818925746641285,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,attack_flow:medium:3,UNION_LLM,"[""T1003"",""T1078"",""T1005""]","[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]",0.49818925746641285,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,attack_flow:medium:3,EDLR,"[""T1003"",""T1078"",""T1005""]","[""T1078"",""T1021"",""T1059"",""T1003"",""T1105""]",0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow::FIN13 Case 2::0006,attack_flow,FIN13 Case 2,attack_flow:medium:3,EDLR_SHUFFLE,"[""T1003"",""T1078"",""T1005""]","[""T1078"",""T1021"",""T1059"",""T1003"",""T1070""]",0.6713860725233041,1.0,0.4,0.6666666666666666
development_descriptive_only,attack_flow::Gootloader::0004,attack_flow,Gootloader,attack_flow:short:1,B0,"[""T1112"",""T1059"",""T1053""]","[""T1059"",""T1204"",""T1105"",""T1078"",""T1003""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Gootloader::0004,attack_flow,Gootloader,attack_flow:short:1,EA_TOP5,"[""T1112"",""T1059"",""T1053""]","[""T1059"",""T1105"",""T1078"",""T1003"",""T1204""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Gootloader::0004,attack_flow,Gootloader,attack_flow:short:1,UNION_LLM,"[""T1112"",""T1059"",""T1053""]","[""T1059"",""T1078"",""T1105"",""T1003"",""T1041""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Gootloader::0004,attack_flow,Gootloader,attack_flow:short:1,EDLR,"[""T1112"",""T1059"",""T1053""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Gootloader::0004,attack_flow,Gootloader,attack_flow:short:1,EDLR_SHUFFLE,"[""T1112"",""T1059"",""T1053""]","[""T1059"",""T1078"",""T1204"",""T1070"",""T1016""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,attack_flow:medium:1,B0,"[""T1218"",""T1027"",""T1059""]","[""T1059"",""T1105"",""T1055"",""T1087"",""T1003""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,attack_flow:medium:1,EA_TOP5,"[""T1218"",""T1027"",""T1059""]","[""T1059"",""T1105"",""T1055"",""T1087"",""T1003""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,attack_flow:medium:1,UNION_LLM,"[""T1218"",""T1027"",""T1059""]","[""T1059"",""T1021"",""T1003"",""T1105"",""T1055""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,attack_flow:medium:1,EDLR,"[""T1218"",""T1027"",""T1059""]","[""T1003"",""T1021"",""T1070"",""T1105"",""T1055""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Hancitor DLL::0009,attack_flow,Hancitor DLL,attack_flow:medium:1,EDLR_SHUFFLE,"[""T1218"",""T1027"",""T1059""]","[""T1003"",""T1021"",""T1070"",""T1055"",""T1059""]",0.18154179253735267,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,attack_flow:medium:2,B0,"[""T1090"",""T1070"",""T1190""]","[""T1078"",""T1021"",""T1003"",""T1105"",""T1059""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,attack_flow:medium:2,EA_TOP5,"[""T1090"",""T1070"",""T1190""]","[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,attack_flow:medium:2,UNION_LLM,"[""T1090"",""T1070"",""T1190""]","[""T1078"",""T1021"",""T1003"",""T1059"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,attack_flow:medium:2,EDLR,"[""T1090"",""T1070"",""T1190""]","[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::JP Morgan Breach::0007,attack_flow,JP Morgan Breach,attack_flow:medium:2,EDLR_SHUFFLE,"[""T1090"",""T1070"",""T1190""]","[""T1078"",""T1021"",""T1105"",""T1059"",""T1003""]",0.0,0.0,0.0,0.0
development_descriptive_only,attack_flow::Maastricht University Ransomware::0002,attack_flow,Maastricht University Ransomware,attack_flow:short:2,B0,"[""T1059"",""T1210"",""T1068""]","[""T1059"",""T1105"",""T1547"",""T1021"",""T1003""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Maastricht University Ransomware::0002,attack_flow,Maastricht University Ransomware,attack_flow:short:2,EA_TOP5,"[""T1059"",""T1210"",""T1068""]","[""T1059"",""T1105"",""T1003"",""T1021"",""T1547""]",0.46927872602275644,1.0,0.2,0.3333333333333333
development_descriptive_only,attack_flow::Maastricht University Ransomware::0002,attack_flow,Maastricht University Ransomware,attack_flow:short:2,UNION_LLM,"[""T1059"",""T1210"",""T1068""]","[""T1059"",""T1003"",""T1021"",""T1105"",""T1547""]",0.46927872602275644,1.0,0.2,0.3333333333333333
