scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,HM+B0-B0,ndcg5,5.364927120833779e-05,0.0,0.00016094781362500782,2000,20260807
ctid,HM+B0-B0,hit5,0.0,0.0,0.0,2000,20260807
ctid,HM+B0-B0,precision5,0.0,0.0,0.0,2000,20260807
ctid,HM+B0-B0,recall5,0.0,0.0,0.0,2000,20260807
ctid,HM+B0-HM,ndcg5,0.07412732704557841,0.04194740035657632,0.10405213097155545,2000,20260807
ctid,HM+B0-HM,hit5,0.08512256081414382,0.0032013164632010093,0.16776766937065646,2000,20260807
ctid,HM+B0-HM,precision5,0.04118253944594648,0.01839033544878082,0.06613536910664342,2000,20260807
ctid,HM+B0-HM,recall5,0.06773689901531858,0.0282889067679185,0.108466072147458,2000,20260807
ctid,B0-A0,ndcg5,0.01881472187728279,-0.03946102701323883,0.07850623643227164,2000,20260807
ctid,B0-A0,hit5,-0.009208379401411077,-0.15189997699300037,0.13157931513566518,2000,20260807
ctid,B0-A0,precision5,0.006628963758697276,-0.03255350083141108,0.046590846857677115,2000,20260807
ctid,B0-A0,recall5,0.0006711999502838802,-0.0660128866772381,0.06803062002833163,2000,20260807
ctid,B0-A,ndcg5,0.0383467812269547,0.017466955973529347,0.06497260742244163,2000,20260807
ctid,B0-A,hit5,0.031783453355941724,-0.01095059613827608,0.0778238547221255,2000,20260807
ctid,B0-A,precision5,0.028043134997922037,0.009379947189353794,0.04947631923359483,2000,20260807
ctid,B0-A,recall5,0.04378475525138532,0.012673881270981872,0.07680007658282771,2000,20260807
ctid,B0-K,ndcg5,0.04924465648001321,0.016098658845404398,0.08734009456233247,2000,20260807
ctid,B0-K,hit5,0.08434815512051247,0.011794734925700254,0.1617606866575422,2000,20260807
ctid,B0-K,precision5,0.03902945585454628,0.017007173245850635,0.06527532124625945,2000,20260807
ctid,B0-K,recall5,0.06896593507314515,0.03242663067137582,0.11304456860067419,2000,20260807
ctid,B0-LSTM,ndcg5,-0.004858744343488146,-0.05752201045850296,0.052204028661647736,2000,20260807
ctid,B0-LSTM,hit5,-0.028281414553393593,-0.15532999119287413,0.0954279987017567,2000,20260807
ctid,B0-LSTM,precision5,0.0029454980886423356,-0.03484840522257427,0.04121005795739349,2000,20260807
ctid,B0-LSTM,recall5,-0.005187359638262071,-0.06982527024267841,0.05780689425175841,2000,20260807
ctid,B0-MB,ndcg5,0.0942808585864762,0.05839849420715808,0.12796668568799752,2000,20260807
ctid,B0-MB,hit5,0.15226241371896312,0.07057347670250895,0.24232551584445564,2000,20260807
ctid,B0-MB,precision5,0.060451304611007874,0.035636239844856143,0.08673117904625988,2000,20260807
ctid,B0-MB,recall5,0.10231965862889683,0.058023400694968905,0.1507702526491003,2000,20260807
attack_flow,HM+B0-B0,ndcg5,-0.0008167805151419142,-0.013026235401742069,0.009135765675567004,2000,20260807
attack_flow,HM+B0-B0,hit5,0.004829931972789114,-0.025783163265306126,0.032348214285714286,2000,20260807
attack_flow,HM+B0-B0,precision5,-0.00012574568288853928,-0.0067628741496598655,0.006184696493982209,2000,20260807
attack_flow,HM+B0-B0,recall5,-0.0033898482469910973,-0.027959523809523806,0.016020440868655148,2000,20260807
attack_flow,HM+B0-HM,ndcg5,0.09229866984663145,0.05270057485343371,0.135200038547763,2000,20260807
attack_flow,HM+B0-HM,hit5,0.12233585462156892,0.045488546572475155,0.19788524749060463,2000,20260807
attack_flow,HM+B0-HM,precision5,0.04987197881483596,0.02977299537763824,0.06943997728462016,2000,20260807
attack_flow,HM+B0-HM,recall5,0.09708567887139316,0.055226045118902264,0.13960419332651475,2000,20260807
attack_flow,B0-A0,ndcg5,0.05037265509837676,-0.012260013007797128,0.1202284382802574,2000,20260807
attack_flow,B0-A0,hit5,0.06253663003663004,-0.04170301325658469,0.17131626111983253,2000,20260807
attack_flow,B0-A0,precision5,0.025695970695970703,-0.0009829081632653036,0.05401922204779346,2000,20260807
attack_flow,B0-A0,recall5,0.04956715242429528,-0.017880085522942662,0.12269584235209233,2000,20260807
attack_flow,B0-A,ndcg5,0.06358942974627246,0.006320493002910158,0.12579478282784354,2000,20260807
attack_flow,B0-A,hit5,0.06415271236699809,-0.03563795133437991,0.16909975143903716,2000,20260807
attack_flow,B0-A,precision5,0.029309436595150888,0.005266845456131173,0.05451759986045701,2000,20260807
attack_flow,B0-A,recall5,0.05150796293653437,-0.0121273120067763,0.1188356033847105,2000,20260807
attack_flow,B0-K,ndcg5,0.07641701394912019,0.025945997608619823,0.13367677933375594,2000,20260807
attack_flow,B0-K,hit5,0.09830165865880151,0.014516825436468294,0.19220086758479613,2000,20260807
attack_flow,B0-K,precision5,0.04061617747332034,0.0214924876710591,0.0620880647130647,2000,20260807
