held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,HM+B0,transition_visibility,all_seen,17,8,0,0.27319457279649983,0.3854166666666667,0.14583333333333334,0.3142361111111111
ctid,HM+B0,transition_visibility,all_unseen,117,10,1,0.14958038748937474,0.34902882205513786,0.10045112781954887,0.17928571428571427
ctid,HM+B0,transition_visibility,mixed,129,10,1,0.20291293893847756,0.5291558505993491,0.13436043729232586,0.2281269893247447
ctid,HM+B0,target_label_visibility,all_seen,207,10,1,0.20606945995278134,0.4768490205446727,0.13106211180124222,0.23270790200138025
ctid,HM+B0,target_label_visibility,mixed,56,9,1,0.1648723809036838,0.3953885257806826,0.11495279593318809,0.19158799322198014
ctid,HM+B0,text_length,ge40,218,10,1,0.18409637290441763,0.4389290368256732,0.1231281821454864,0.21698625978229522
ctid,HM+B0,text_length,lt40,45,9,1,0.2977120960129607,0.5012345679012346,0.16000000000000003,0.3037037037037037
ctid,HM+B0,target_size,1,8,8,0,0.125,0.125,0.025,0.125
ctid,HM+B0,target_size,2,24,10,1,0.1787542323601142,0.2816666666666666,0.083,0.20750000000000002
ctid,HM+B0,target_size,3,231,10,1,0.1909877396055395,0.4767356463685064,0.13057638027962573,0.21762730046604287
ctid,B0,transition_visibility,all_seen,17,8,0,0.27319457279649983,0.3854166666666667,0.14583333333333334,0.3142361111111111
ctid,B0,transition_visibility,all_unseen,117,10,1,0.14958038748937474,0.34902882205513786,0.10045112781954887,0.17928571428571427
ctid,B0,transition_visibility,mixed,129,10,1,0.20282480085006385,0.5291558505993491,0.13436043729232586,0.2281269893247447
ctid,B0,target_label_visibility,all_seen,207,10,1,0.20600776329089174,0.4768490205446727,0.13106211180124222,0.23270790200138025
ctid,B0,target_label_visibility,mixed,56,9,1,0.16487238090368384,0.3953885257806826,0.11495279593318809,0.19158799322198014
ctid,B0,text_length,ge40,218,10,1,0.18403467624252803,0.4389290368256732,0.1231281821454864,0.21698625978229522
ctid,B0,text_length,lt40,45,9,1,0.2977120960129607,0.5012345679012346,0.16000000000000003,0.3037037037037037
ctid,B0,target_size,1,8,8,0,0.125,0.125,0.025,0.125
ctid,B0,target_size,2,24,10,1,0.1787542323601142,0.2816666666666666,0.083,0.20750000000000002
ctid,B0,target_size,3,231,10,1,0.19092604294364993,0.4767356463685064,0.13057638027962573,0.21762730046604287
