method,held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+P,attack_flow,ctid,42,20,0.0,0.10632013574118082,0.12909526090771803,1,109,263
HM+P,attack_flow,ctid,42,20,0.1,0.10388166029972712,0.11477009566858005,0,109,263
HM+P,attack_flow,ctid,42,20,0.2,0.10067173761990818,0.11217668910597807,0,109,263
HM+P,attack_flow,ctid,42,20,0.3,0.10030568482144034,0.10725866191130178,0,109,263
HM+P,attack_flow,ctid,42,20,0.4,0.10066145785770719,0.10098382971523823,0,109,263
HM+P,attack_flow,ctid,42,20,0.5,0.10805340146694778,0.08942598133122305,0,109,263
HM+P,attack_flow,ctid,42,20,0.6,0.11364045062569957,0.09250733668308656,0,109,263
HM+P,attack_flow,ctid,42,20,0.7,0.11624691827721911,0.09502037451407179,0,109,263
HM+P,attack_flow,ctid,42,20,0.8,0.11478871481427315,0.09469445477690416,0,109,263
HM+P,attack_flow,ctid,42,20,0.9,0.11323206597438222,0.09350694453086697,0,109,263
HM+P,attack_flow,ctid,42,20,1.0,0.11087016178992246,0.0947681944091113,0,109,263
HM+P,attack_flow,ctid,42,40,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,42,40,0.1,0.10390188084864545,0.11619249076744476,0,109,263
HM+P,attack_flow,ctid,42,40,0.2,0.10240458260917946,0.115472849972629,0,109,263
HM+P,attack_flow,ctid,42,40,0.3,0.10439623640181003,0.11397470061997594,0,109,263
HM+P,attack_flow,ctid,42,40,0.4,0.10419497137747517,0.10435911209793731,0,109,263
HM+P,attack_flow,ctid,42,40,0.5,0.10870396342327193,0.09907965641685987,0,109,263
HM+P,attack_flow,ctid,42,40,0.6,0.11515918844425506,0.09653660114184795,0,109,263
HM+P,attack_flow,ctid,42,40,0.7,0.11495087409088758,0.09563632794812585,0,109,263
HM+P,attack_flow,ctid,42,40,0.8,0.1173698455696239,0.09563792670497569,0,109,263
HM+P,attack_flow,ctid,42,40,0.9,0.12139061517346321,0.09596477820154072,0,109,263
HM+P,attack_flow,ctid,42,40,1.0,0.12598104133951477,0.09770431965375566,0,109,263
HM+P,attack_flow,ctid,42,60,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,42,60,0.1,0.10382531419847632,0.11540829688216661,0,109,263
HM+P,attack_flow,ctid,42,60,0.2,0.10267832903493297,0.11472569698740938,0,109,263
HM+P,attack_flow,ctid,42,60,0.3,0.1002963578801167,0.11262191339304808,0,109,263
HM+P,attack_flow,ctid,42,60,0.4,0.10427901267041469,0.10634138048680505,0,109,263
HM+P,attack_flow,ctid,42,60,0.5,0.10086733846844806,0.10118453657914903,0,109,263
HM+P,attack_flow,ctid,42,60,0.6,0.09607815347276737,0.09277659685383194,0,109,263
HM+P,attack_flow,ctid,42,60,0.7,0.10309243053086359,0.09214466941657719,0,109,263
HM+P,attack_flow,ctid,42,60,0.8,0.10431657057635857,0.0920412052049993,0,109,263
HM+P,attack_flow,ctid,42,60,0.9,0.10790132113876269,0.09064970463728131,0,109,263
HM+P,attack_flow,ctid,42,60,1.0,0.1047615225347535,0.0914503383348435,0,109,263
HM+P,attack_flow,ctid,42,80,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,42,80,0.1,0.10354585330124459,0.11552790343123809,0,109,263
HM+P,attack_flow,ctid,42,80,0.2,0.10345198309539243,0.11403353974475358,0,109,263
HM+P,attack_flow,ctid,42,80,0.3,0.104008352877263,0.11226162186915496,0,109,263
HM+P,attack_flow,ctid,42,80,0.4,0.1008400233735236,0.10752085147335119,0,109,263
HM+P,attack_flow,ctid,42,80,0.5,0.09915262239850894,0.10170354010075278,0,109,263
HM+P,attack_flow,ctid,42,80,0.6,0.10171453353441981,0.09226177839234292,0,109,263
HM+P,attack_flow,ctid,42,80,0.7,0.10847608435790697,0.0873343583672137,0,109,263
HM+P,attack_flow,ctid,42,80,0.8,0.11269369534703813,0.08761810120667297,0,109,263
HM+P,attack_flow,ctid,42,80,0.9,0.11004923017761241,0.08839473325475976,0,109,263
HM+P,attack_flow,ctid,42,80,1.0,0.10936598062361806,0.08886070868361154,0,109,263
HM+P,attack_flow,ctid,42,100,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,42,100,0.1,0.10399482946724783,0.11637248892859857,0,109,263
HM+P,attack_flow,ctid,42,100,0.2,0.10333505750104763,0.11493940206444635,0,109,263
HM+P,attack_flow,ctid,42,100,0.3,0.10042908878009194,0.11323336152389833,0,109,263
HM+P,attack_flow,ctid,42,100,0.4,0.10349790861598647,0.10781646636953066,0,109,263
HM+P,attack_flow,ctid,42,100,0.5,0.1020321067217939,0.10183834940515804,0,109,263
HM+P,attack_flow,ctid,42,100,0.6,0.10877814716839704,0.09132822717983281,0,109,263
HM+P,attack_flow,ctid,42,100,0.7,0.10860517246146602,0.08964461512793773,0,109,263
HM+P,attack_flow,ctid,42,100,0.8,0.10820308811566595,0.08815867154178511,0,109,263
HM+P,attack_flow,ctid,42,100,0.9,0.1175963893430619,0.08786487902391679,0,109,263
HM+P,attack_flow,ctid,42,100,1.0,0.12619912866432664,0.08983011852175946,0,109,263
HM+P,attack_flow,ctid,43,20,0.0,0.10124688596287826,0.12909526090771803,1,109,263
HM+P,attack_flow,ctid,43,20,0.1,0.10091764906088521,0.11477009566858005,0,109,263
HM+P,attack_flow,ctid,43,20,0.2,0.09636170310749298,0.11217668910597807,0,109,263
HM+P,attack_flow,ctid,43,20,0.3,0.0999506335996779,0.10725866191130178,0,109,263
HM+P,attack_flow,ctid,43,20,0.4,0.09826088488389685,0.10098382971523823,0,109,263
HM+P,attack_flow,ctid,43,20,0.5,0.10857022014961452,0.08942598133122305,0,109,263
HM+P,attack_flow,ctid,43,20,0.6,0.11464996919366584,0.09250733668308656,0,109,263
HM+P,attack_flow,ctid,43,20,0.7,0.11741840978997323,0.09502037451407179,0,109,263
HM+P,attack_flow,ctid,43,20,0.8,0.11938269642756423,0.09469445477690416,0,109,263
HM+P,attack_flow,ctid,43,20,0.9,0.12542084486664207,0.09350694453086697,0,109,263
HM+P,attack_flow,ctid,43,20,1.0,0.12722191021867063,0.0947681944091113,0,109,263
HM+P,attack_flow,ctid,43,40,0.0,0.10124688596287826,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,43,40,0.1,0.10141603258294137,0.11619249076744476,0,109,263
HM+P,attack_flow,ctid,43,40,0.2,0.09849732245359766,0.115472849972629,0,109,263
HM+P,attack_flow,ctid,43,40,0.3,0.09930320151753369,0.11397470061997594,0,109,263
HM+P,attack_flow,ctid,43,40,0.4,0.09696739910120439,0.10435911209793731,0,109,263
HM+P,attack_flow,ctid,43,40,0.5,0.10756300860028323,0.09907965641685987,0,109,263
HM+P,attack_flow,ctid,43,40,0.6,0.11400270756469007,0.09653660114184795,0,109,263
HM+P,attack_flow,ctid,43,40,0.7,0.11686053909860354,0.09563632794812585,0,109,263
HM+P,attack_flow,ctid,43,40,0.8,0.11450681940374544,0.09563792670497569,0,109,263
HM+P,attack_flow,ctid,43,40,0.9,0.11510191079511209,0.09596477820154072,0,109,263
HM+P,attack_flow,ctid,43,40,1.0,0.11272531614748642,0.09770431965375566,0,109,263
HM+P,attack_flow,ctid,43,60,0.0,0.10124688596287826,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,43,60,0.1,0.10141603258294137,0.11540829688216661,0,109,263
HM+P,attack_flow,ctid,43,60,0.2,0.0988628025318474,0.11472569698740938,0,109,263
HM+P,attack_flow,ctid,43,60,0.3,0.09633828890762705,0.11262191339304808,0,109,263
HM+P,attack_flow,ctid,43,60,0.4,0.09599493154205799,0.10634138048680505,0,109,263
HM+P,attack_flow,ctid,43,60,0.5,0.10363384858498181,0.10118453657914903,0,109,263
HM+P,attack_flow,ctid,43,60,0.6,0.10654656081276168,0.09277659685383194,0,109,263
HM+P,attack_flow,ctid,43,60,0.7,0.10840515243051019,0.09214466941657719,0,109,263
HM+P,attack_flow,ctid,43,60,0.8,0.11148348967998478,0.0920412052049993,0,109,263
HM+P,attack_flow,ctid,43,60,0.9,0.11477530955972177,0.09064970463728131,0,109,263
HM+P,attack_flow,ctid,43,60,1.0,0.12619912866432664,0.0914503383348435,0,109,263
HM+P,attack_flow,ctid,43,80,0.0,0.10124688596287826,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,43,80,0.1,0.09992075153462879,0.11552790343123809,0,109,263
