stage,held_out_source,inner_validation_source,seed,permutation_seed,source,prefix_tercile,recipient_sample_id,donor_sample_id,recipient_prefix_len,donor_prefix_len
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0001,stockpile::5d3e170e-f1b8-49f9-9ee1-c51605552a08::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0002,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0001,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0002,stockpile::01c96671-afd3-47d4-8d31-8c116cc0221a::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0003,stockpile::d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e::0004,3,4
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0004,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0003,4,3
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0005,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0004,5,4
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0006,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0007,6,7
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0001,stockpile::725226e0-45b8-4432-84ee-144d3f37ff8d::0002,1,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::09ad625e-6cba-490f-afe3-5417e7edb9c6::0002,stockpile::1bac97ca-77fc-4c9a-835e-4de1b1b7f639::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0001,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0002,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0003,stockpile::e89a10d3-004f-4c15-b0eb-d1ba76a4b67f::0002,3,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0004,stockpile::50855e29-3b4e-4562-aa55-b3d7f93c26b8::0003,4,3
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0001,stockpile::bcdbf6b9-14c5-495c-be84-37bce32c312b::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0b73bf34-fc5b-48f7-9194-dce993b915b1::0002,stockpile::0b5636cf-f019-4ec9-aa7c-6e4f55505374::0002,2,2
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0001,stockpile::fbc41624-1052-490c-b5ec-4fd718e2501d::0001,1,1
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0002,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0001,2,1
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0003,stockpile::ddbd1850-5fd7-41d5-a7a1-1b15dac49090::0002,3,2
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0004,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0003,4,3
inner,attack_flow,ctid,42,9042,stockpile,1,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0005,stockpile::01d77744-2515-401a-a497-d9f7241aac3c::0005,5,5
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0006,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0011,6,11
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0007,stockpile::de07f52d-9928-4071-9142-cb1d3bd851e8::0011,7,11
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0008,stockpile::564ae20d-778d-4965-93dc-b523be2e2ab4::0010,8,10
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0009,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0007,9,7
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0010,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0006,10,6
inner,attack_flow,ctid,42,9042,stockpile,2,stockpile::0f4c3c67-845e-49a0-927e-90ed33c044e0::0011,stockpile::78e7504d-968f-477d-8806-4d6c04b94431::0008,11,8
inner,attack_flow,ctid,42,9042,stockpile,0,stockpile::1a98b8e6-18ce-4617-8cc5-e65a1a9d490e::0001,stockpile::f98193a0-8b5b-4b5e-a5aa-e8c3adfcd4e6::0001,1,1
