held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,HM+S,transition_visibility,all_seen,17,8,0,0.3107332889138226,0.7625,0.18083333333333335,0.4947916666666667
ctid,HM+S,transition_visibility,all_unseen,117,10,1,0.037847335633760706,0.1500751879699248,0.03258646616541354,0.05883458646616542
ctid,HM+S,transition_visibility,mixed,129,10,1,0.1551289500844857,0.4755282606969914,0.10644650426972409,0.1784963667653296
ctid,HM+S,target_label_visibility,all_seen,207,10,1,0.12819555675704616,0.40431454053193183,0.09085338429686256,0.16781394330307373
ctid,HM+S,target_label_visibility,mixed,56,9,1,0.09921340878684985,0.2722403776325345,0.06643427741466958,0.11072379569111596
ctid,HM+S,text_length,ge40,218,10,1,0.11489577953743564,0.3619018915273546,0.08182779766030963,0.15037205680313964
ctid,HM+S,text_length,lt40,45,9,1,0.16969854865790662,0.5450617283950617,0.13246913580246913,0.23559670781893002
ctid,HM+S,target_size,1,8,8,0,0.1272228201007499,0.25,0.05,0.25
ctid,HM+S,target_size,2,24,10,1,0.13649945581274367,0.4293333333333333,0.09440000000000001,0.236
ctid,HM+S,target_size,3,231,10,1,0.11763485226185497,0.3746145880713832,0.08529399228673062,0.1421566538112177
ctid,HM+S,prefix_len,1,10,10,0,0.18021073465005474,0.4,0.1,0.16666666666666666
ctid,HM+S,prefix_len,10,8,8,0,0.03701023887073315,0.125,0.025,0.041666666666666664
ctid,HM+S,prefix_len,11,7,7,0,0.13407963600650186,0.2857142857142857,0.05714285714285715,0.09523809523809523
ctid,HM+S,prefix_len,12,7,7,0,0.08167104783963129,0.42857142857142855,0.08571428571428573,0.14285714285714285
ctid,HM+S,prefix_len,13,8,8,0,0.10306361991780813,0.5,0.1,0.16666666666666666
ctid,HM+S,prefix_len,14,8,8,0,0.12018840321693466,0.375,0.07500000000000001,0.14583333333333331
ctid,HM+S,prefix_len,15,8,8,0,0.0400127199853048,0.15,0.030000000000000002,0.049999999999999996
ctid,HM+S,prefix_len,16,8,8,0,0.1932395953526368,0.75,0.17500000000000002,0.3125
ctid,HM+S,prefix_len,17,8,8,0,0.13641794625858436,0.275,0.105,0.175
ctid,HM+S,prefix_len,18,6,6,0,0.033684557750091264,0.16666666666666666,0.03333333333333333,0.05555555555555555
ctid,HM+S,prefix_len,19,7,7,0,0.06969009597659122,0.14285714285714285,0.05142857142857143,0.1285714285714286
