held_out_source,method,sample_id,campaign_id,target_size,transition_visibility,target_label_visibility,text_length_group,ndcg5,hit5,precision5,recall5
attack_flow,HM,attack_flow::Black Basta Ransomware::0001,Black Basta Ransomware,3,mixed,all_seen,ge40,0.4692787260227565,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0002,Black Basta Ransomware,2,all_unseen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0003,Black Basta Ransomware,2,all_seen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0004,Black Basta Ransomware,3,mixed,all_seen,ge40,0.040421469300109515,0.2,0.04,0.06666666666666667
attack_flow,HM,attack_flow::Black Basta Ransomware::0005,Black Basta Ransomware,3,mixed,all_seen,ge40,0.040421469300109515,0.2,0.04,0.06666666666666667
attack_flow,HM,attack_flow::Black Basta Ransomware::0006,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0007,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0008,Black Basta Ransomware,3,all_unseen,all_unseen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0009,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.4692787260227565,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0010,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.4692787260227565,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0011,Black Basta Ransomware,3,all_unseen,all_seen,ge40,0.7653606369886217,1.0,0.4,0.6666666666666666
attack_flow,HM,attack_flow::Black Basta Ransomware::0012,Black Basta Ransomware,3,all_seen,all_seen,ge40,0.6309646032231946,1.0,0.36,0.6
attack_flow,HM,attack_flow::Black Basta Ransomware::0013,Black Basta Ransomware,3,all_unseen,all_seen,lt40,0.2281329597092121,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0014,Black Basta Ransomware,3,mixed,all_seen,lt40,0.23463936301137825,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0015,Black Basta Ransomware,3,mixed,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0016,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0017,Black Basta Ransomware,3,mixed,mixed,ge40,0.19799423570790858,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0018,Black Basta Ransomware,3,all_unseen,all_seen,ge40,0.08734934190238516,0.4,0.08,0.13333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0019,Black Basta Ransomware,3,mixed,all_seen,ge40,0.20210734650054757,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0020,Black Basta Ransomware,3,all_unseen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0021,Black Basta Ransomware,3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::Black Basta Ransomware::0022,Black Basta Ransomware,3,mixed,mixed,ge40,0.2068939315196019,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::Black Basta Ransomware::0023,Black Basta Ransomware,2,all_unseen,mixed,ge40,0.253319958651273,1.0,0.2,0.5
attack_flow,HM,attack_flow::Black Basta Ransomware::0024,Black Basta Ransomware,1,all_unseen,all_seen,ge40,0.2,0.4,0.08,0.4
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0001,CISA AA22-138B VMWare Workspace (Alt),3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0002,CISA AA22-138B VMWare Workspace (Alt),3,all_unseen,all_seen,lt40,0.08084293860021903,0.4,0.08,0.13333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0003,CISA AA22-138B VMWare Workspace (Alt),3,mixed,all_seen,ge40,0.30486278751679213,1.0,0.24000000000000005,0.4
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0004,CISA AA22-138B VMWare Workspace (Alt),3,mixed,all_seen,ge40,0.29963785149328254,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0005,CISA AA22-138B VMWare Workspace (Alt),2,all_unseen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0006,CISA AA22-138B VMWare Workspace (Alt),3,all_seen,all_seen,ge40,0.2772869980728017,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0007,CISA AA22-138B VMWare Workspace (Alt),2,all_seen,all_seen,ge40,0.4153278582131342,0.6,0.16,0.4
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0008,CISA AA22-138B VMWare Workspace (Alt),1,all_seen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0001,CISA AA22-138B VMWare Workspace (TA1),3,all_unseen,mixed,ge40,0.3119263610841799,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0002,CISA AA22-138B VMWare Workspace (TA1),3,all_unseen,mixed,ge40,0.27150489178407045,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0003,CISA AA22-138B VMWare Workspace (TA1),3,all_unseen,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0004,CISA AA22-138B VMWare Workspace (TA1),3,all_unseen,all_seen,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0005,CISA AA22-138B VMWare Workspace (TA1),3,mixed,mixed,ge40,0.5055870845302269,1.0,0.24000000000000005,0.4
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0006,CISA AA22-138B VMWare Workspace (TA1),3,mixed,mixed,ge40,0.7465657240955581,1.0,0.4,0.6666666666666666
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0007,CISA AA22-138B VMWare Workspace (TA1),2,mixed,mixed,ge40,0.0,0.0,0.0,0.0
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0008,CISA AA22-138B VMWare Workspace (TA1),1,all_unseen,all_seen,ge40,0.07737056144690832,0.2,0.04,0.2
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0001,CISA AA22-138B VMWare Workspace (TA2),2,all_unseen,all_seen,ge40,0.4075547474083348,1.0,0.2,0.5
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0002,CISA AA22-138B VMWare Workspace (TA2),3,all_seen,all_seen,ge40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0003,CISA AA22-138B VMWare Workspace (TA2),3,all_seen,all_seen,lt40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0004,CISA AA22-138B VMWare Workspace (TA2),3,mixed,mixed,lt40,0.38120508710693646,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0005,CISA AA22-138B VMWare Workspace (TA2),2,mixed,mixed,ge40,0.6131471927654584,1.0,0.2,0.5
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0006,CISA AA22-138B VMWare Workspace (TA2),3,mixed,mixed,ge40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0007,CISA AA22-138B VMWare Workspace (TA2),3,all_unseen,mixed,ge40,0.4692787260227565,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0008,CISA AA22-138B VMWare Workspace (TA2),3,mixed,mixed,ge40,0.2960819109658652,1.0,0.2,0.3333333333333333
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0009,CISA AA22-138B VMWare Workspace (TA2),2,all_unseen,mixed,lt40,0.6131471927654584,1.0,0.2,0.5
attack_flow,HM,attack_flow::CISA AA22-138B VMWare Workspace (TA2)::0010,CISA AA22-138B VMWare Workspace (TA2),1,all_unseen,all_seen,ge40,1.0,1.0,0.2,1.0
attack_flow,HM,attack_flow::CISA Iranian APT::0001,CISA Iranian APT,3,all_unseen,all_seen,lt40,0.26499848848190427,1.0,0.2,0.3333333333333333
