scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,HM-MB,ndcg5,0.02020718081210612,0.0112150908901788,0.030077255003610245,2000,20260807
ctid,HM-MB,hit5,0.06713985290481932,0.03977099368043764,0.09612849418426851,2000,20260807
ctid,HM-MB,precision5,0.019268765165061392,0.01125351751095066,0.028979928709734197,2000,20260807
ctid,HM-MB,recall5,0.03458275961357825,0.019993888035989147,0.051792046104903636,2000,20260807
ctid,HM-LSTM,ndcg5,-0.07893242211785821,-0.1437566209819974,-0.013387465276466094,2000,20260807
ctid,HM-LSTM,hit5,-0.11340397536753741,-0.2472691711815411,0.035947481058854536,2000,20260807
ctid,HM-LSTM,precision5,-0.038237041357304144,-0.07359437494237264,-0.0009583357222487624,2000,20260807
ctid,HM-LSTM,recall5,-0.07292425865358065,-0.13687436973296574,-0.0034769972243899054,2000,20260807
ctid,HM-A,ndcg5,-0.035726896547415364,-0.07067845725980118,0.0013170917620543329,2000,20260807
ctid,HM-A,hit5,-0.0533391074582021,-0.13231727895637246,0.029554682515065545,2000,20260807
ctid,HM-A,precision5,-0.013139404448024439,-0.030450293075049713,0.005248816839327874,2000,20260807
ctid,HM-A,recall5,-0.02395214376393327,-0.05496730136724173,0.0077214626864324214,2000,20260807
ctid,HM-K,ndcg5,-0.024829021294356858,-0.07304353686772896,0.021232958762898185,2000,20260807
ctid,HM-K,hit5,-0.0007744056936313471,-0.10220188301662288,0.1114524529516377,2000,20260807
ctid,HM-K,precision5,-0.0021530835914001963,-0.02625337103862978,0.022704165150780137,2000,20260807
ctid,HM-K,recall5,0.001229036057826568,-0.045435461273030234,0.047042396438420425,2000,20260807
attack_flow,HM-MB,ndcg5,0.027842749857311107,0.010674369038382895,0.04540356441732022,2000,20260807
attack_flow,HM-MB,hit5,0.057041870827585106,0.0170123075337361,0.09641876159554728,2000,20260807
attack_flow,HM-MB,precision5,0.011247355818784392,0.002044187994545136,0.019645330978545265,2000,20260807
attack_flow,HM-MB,recall5,0.025598610384324674,0.0005537095179952408,0.04697153831618117,2000,20260807
attack_flow,HM-LSTM,ndcg5,0.02147635686212503,-1.3039180343234089e-05,0.04422693875490599,2000,20260807
attack_flow,HM-LSTM,hit5,0.08076219019076161,0.031507446521732235,0.13386816635745205,2000,20260807
attack_flow,HM-LSTM,precision5,0.013093909265337838,0.00190513038548753,0.02508432103610675,2000,20260807
attack_flow,HM-LSTM,recall5,0.02129103171960315,0.001615343915343917,0.0436595092077235,2000,20260807
attack_flow,HM-A,ndcg5,-0.029526020615500897,-0.05804405638214763,-0.004518529826905678,2000,20260807
attack_flow,HM-A,hit5,-0.053353210281781714,-0.10774830962688106,-0.0025815309690310124,2000,20260807
attack_flow,HM-A,precision5,-0.020688287902573616,-0.03564551690373119,-0.007745744176458463,2000,20260807
attack_flow,HM-A,recall5,-0.048967564181849894,-0.08306902548509691,-0.02031345129737988,2000,20260807
attack_flow,HM-K,ndcg5,-0.016698436412653173,-0.043110265114306406,0.007457164740575953,2000,20260807
attack_flow,HM-K,hit5,-0.01920426398997828,-0.07149392373499518,0.03135432999540141,2000,20260807
attack_flow,HM-K,precision5,-0.00938154702440417,-0.02240489839525554,0.0026049764124764026,2000,20260807
attack_flow,HM-K,recall5,-0.023169103383389088,-0.05334676903784046,0.00570717728039157,2000,20260807
stockpile,HM-MB,ndcg5,-0.08761245684080546,-0.18500669161316946,-0.0007426039256750027,2000,20260807
stockpile,HM-MB,hit5,-0.11763051763051761,-0.2500681417348084,0.019906914073580743,2000,20260807
stockpile,HM-MB,precision5,-0.03414338747672081,-0.07033795217128552,0.0009436736103402635,2000,20260807
stockpile,HM-MB,recall5,-0.12699419921642144,-0.2630637572304239,0.0034358131580353364,2000,20260807
stockpile,HM-LSTM,ndcg5,0.04331742692636336,0.02339629408327686,0.06669975008942224,2000,20260807
stockpile,HM-LSTM,hit5,0.10352147852147853,0.05403374403374404,0.15665720082386747,2000,20260807
stockpile,HM-LSTM,precision5,0.01984009817343151,0.010035794452461118,0.03087577237577237,2000,20260807
stockpile,HM-LSTM,recall5,0.04531898143009254,0.021604655632433405,0.07207738763294319,2000,20260807
stockpile,HM-A,ndcg5,-0.01785330547472309,-0.0684476424617742,0.023567049363422583,2000,20260807
stockpile,HM-A,hit5,-0.015444123777457106,-0.10933391454224786,0.07685525893859219,2000,20260807
stockpile,HM-A,precision5,-0.004326599326599323,-0.023699494949494946,0.014501402918069591,2000,20260807
stockpile,HM-A,recall5,-0.024431638320527214,-0.0923156241906242,0.03871037655759875,2000,20260807
stockpile,HM-K,ndcg5,-0.1181351192632844,-0.19603803580263832,-0.05351345686567369,2000,20260807
stockpile,HM-K,hit5,-0.18066778900112232,-0.31250561167227836,-0.0606895342312009,2000,20260807
stockpile,HM-K,precision5,-0.04057800224466891,-0.06991877104377105,-0.013313973063973106,2000,20260807
stockpile,HM-K,recall5,-0.16001827390716278,-0.2839597362514029,-0.05397290209790213,2000,20260807
source_equal_overall,HM-MB,ndcg5,-0.013187508723796077,-0.0447658887620941,0.017319010335363077,2000,20260807
source_equal_overall,HM-MB,hit5,0.002183735367295603,-0.044292792597079,0.05013104897993076,2000,20260807
source_equal_overall,HM-MB,precision5,-0.0012090888309583432,-0.013568597851639514,0.011071409703502042,2000,20260807
source_equal_overall,HM-MB,recall5,-0.022270943072839503,-0.06859927905246055,0.021065786574644325,2000,20260807
source_equal_overall,HM-LSTM,ndcg5,-0.004712879443123274,-0.02825419577896587,0.018269292420528604,2000,20260807
