scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,HM+R-HM,ndcg5,0.0,0.0,0.0,2000,20260807
ctid,HM+R-HM,hit5,0.0,0.0,0.0,2000,20260807
ctid,HM+R-HM,precision5,0.0,0.0,0.0,2000,20260807
ctid,HM+R-HM,recall5,0.0,0.0,0.0,2000,20260807
ctid,HM+R-R,ndcg5,-0.03948995558045136,-0.07518063199426163,-0.0018014988961627708,2000,20260807
ctid,HM+R-R,hit5,-0.059395107673794835,-0.14190143213559261,0.02619269134763083,2000,20260807
ctid,HM+R-R,precision5,-0.016724384988345647,-0.03533548675881319,0.0031700241842761634,2000,20260807
ctid,HM+R-R,recall5,-0.02992711133113528,-0.06265318870779144,0.004614732444090983,2000,20260807
ctid,HM+R-A,ndcg5,-0.035726896547415364,-0.07067845725980118,0.0013170917620543329,2000,20260807
ctid,HM+R-A,hit5,-0.0533391074582021,-0.13231727895637246,0.029554682515065545,2000,20260807
ctid,HM+R-A,precision5,-0.013139404448024439,-0.030450293075049713,0.005248816839327874,2000,20260807
ctid,HM+R-A,recall5,-0.02395214376393327,-0.05496730136724173,0.0077214626864324214,2000,20260807
attack_flow,HM+R-HM,ndcg5,0.0,0.0,0.0,2000,20260807
attack_flow,HM+R-HM,hit5,0.0,0.0,0.0,2000,20260807
attack_flow,HM+R-HM,precision5,0.0,0.0,0.0,2000,20260807
attack_flow,HM+R-HM,recall5,0.0,0.0,0.0,2000,20260807
attack_flow,HM+R-R,ndcg5,-0.029526020615500904,-0.058044056382147644,-0.004518529826905682,2000,20260807
attack_flow,HM+R-R,hit5,-0.053353210281781714,-0.10774830962688106,-0.0025815309690310124,2000,20260807
attack_flow,HM+R-R,precision5,-0.020688287902573616,-0.03564551690373119,-0.007745744176458463,2000,20260807
attack_flow,HM+R-R,recall5,-0.048967564181849894,-0.08306902548509691,-0.02031345129737988,2000,20260807
attack_flow,HM+R-A,ndcg5,-0.029526020615500897,-0.05804405638214763,-0.004518529826905678,2000,20260807
attack_flow,HM+R-A,hit5,-0.053353210281781714,-0.10774830962688106,-0.0025815309690310124,2000,20260807
attack_flow,HM+R-A,precision5,-0.020688287902573616,-0.03564551690373119,-0.007745744176458463,2000,20260807
attack_flow,HM+R-A,recall5,-0.048967564181849894,-0.08306902548509691,-0.02031345129737988,2000,20260807
stockpile,HM+R-HM,ndcg5,-0.04290810108226172,-0.06622926427055342,-0.022972284707890575,2000,20260807
stockpile,HM+R-HM,hit5,-0.09305771389104722,-0.14846040533540536,-0.04231376262626264,2000,20260807
stockpile,HM+R-HM,precision5,-0.019105369938703272,-0.03020538720538721,-0.009111952861952866,2000,20260807
stockpile,HM+R-HM,recall5,-0.04394712797490575,-0.07070662105384327,-0.019682198588448614,2000,20260807
stockpile,HM+R-R,ndcg5,0.0,0.0,0.0,2000,20260807
stockpile,HM+R-R,hit5,0.0,0.0,0.0,2000,20260807
stockpile,HM+R-R,precision5,0.0,0.0,0.0,2000,20260807
stockpile,HM+R-R,recall5,0.0,0.0,0.0,2000,20260807
stockpile,HM+R-A,ndcg5,-0.060761406556984816,-0.12156453737765738,-0.017230642435924058,2000,20260807
stockpile,HM+R-A,hit5,-0.10850183766850433,-0.22716224747474748,-0.00565075356742023,2000,20260807
stockpile,HM+R-A,precision5,-0.023431969265302596,-0.046444034360701034,-0.003211711128377796,2000,20260807
stockpile,HM+R-A,recall5,-0.06837876629543296,-0.14877055814555817,-0.0011056748035914912,2000,20260807
source_equal_overall,HM+R-HM,ndcg5,-0.014302700360753907,-0.02207642142351781,-0.007657428235963524,2000,20260807
source_equal_overall,HM+R-HM,hit5,-0.031019237963682406,-0.049486801778468446,-0.014104587542087543,2000,20260807
source_equal_overall,HM+R-HM,precision5,-0.006368456646234424,-0.010068462401795736,-0.003037317620650955,2000,20260807
source_equal_overall,HM+R-HM,recall5,-0.014649042658301916,-0.023568873684614425,-0.0065607328628162044,2000,20260807
source_equal_overall,HM+R-R,ndcg5,-0.023005325398650755,-0.03778059698337027,-0.007839689959681954,2000,20260807
source_equal_overall,HM+R-R,hit5,-0.03758277265185885,-0.0694317676383197,-0.003401267631122284,2000,20260807
source_equal_overall,HM+R-R,precision5,-0.012470890963639755,-0.02023256764819939,-0.004394399552487113,2000,20260807
source_equal_overall,HM+R-R,recall5,-0.02629822517099506,-0.04166779128303318,-0.01084345571829363,2000,20260807
source_equal_overall,HM+R-A,ndcg5,-0.04200477457330035,-0.06693327825603046,-0.020047008573331367,2000,20260807
source_equal_overall,HM+R-A,hit5,-0.07173138513616271,-0.1211109045775112,-0.023835514494089695,2000,20260807
source_equal_overall,HM+R-A,precision5,-0.019086553871966883,-0.029799584165391392,-0.008937290683112623,2000,20260807
source_equal_overall,HM+R-A,recall5,-0.04709949141373871,-0.0777069367266514,-0.019275101159565527,2000,20260807
