method,held_out_source,inner_validation_source,seed,epoch,w_h,w_s,w_t,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+ST,attack_flow,ctid,42,100,1.0,0.0,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+ST,attack_flow,ctid,42,100,0.9,0.0,0.1,0.102007128914993,0.11509643374842748,0,109,263
HM+ST,attack_flow,ctid,42,100,0.8,0.0,0.2,0.10298769512046024,0.10960567846070787,0,109,263
HM+ST,attack_flow,ctid,42,100,0.7,0.0,0.3,0.09508915174733851,0.10115319875389986,0,109,263
HM+ST,attack_flow,ctid,42,100,0.6,0.0,0.4,0.09315864493247496,0.09390493175167733,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.0,0.5,0.09145762316230197,0.09120188099446488,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.0,0.6,0.09092416058595049,0.08901661566646062,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.0,0.7,0.09224732282890744,0.08630116514142908,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.0,0.8,0.08940005883677438,0.08512694015056109,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.0,0.9,0.08420133481911152,0.07801023615236924,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.0,1.0,0.05587796612221768,0.05119451025884521,0,109,263
HM+ST,attack_flow,ctid,42,100,0.9,0.1,0.0,0.10579836449651825,0.11917655819814574,0,109,263
HM+ST,attack_flow,ctid,42,100,0.8,0.1,0.1,0.1050994016775677,0.11799598809894052,0,109,263
HM+ST,attack_flow,ctid,42,100,0.7,0.1,0.2,0.10403664251806918,0.11416518315414648,0,109,263
HM+ST,attack_flow,ctid,42,100,0.6,0.1,0.3,0.10022029812050244,0.10034232915282588,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.1,0.4,0.09417067957144601,0.09557004669012578,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.1,0.5,0.09266864332963674,0.09066433917444915,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.1,0.6,0.08887206745226311,0.0897992472370703,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.1,0.7,0.0921400354594373,0.08894704376819179,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.1,0.8,0.08794717058932905,0.08577391139326328,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.1,0.9,0.09239923988806181,0.08494787415361102,0,109,263
HM+ST,attack_flow,ctid,42,100,0.8,0.2,0.0,0.10643608191687007,0.11950173139179857,0,109,263
HM+ST,attack_flow,ctid,42,100,0.7,0.2,0.1,0.10395562263506124,0.11876505647555605,0,109,263
HM+ST,attack_flow,ctid,42,100,0.6,0.2,0.2,0.10638764408772901,0.1129766141247828,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.2,0.3,0.10287943395767644,0.10280075481295407,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.2,0.4,0.09338296038024738,0.09596169077491844,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.2,0.5,0.09647734850909537,0.09357668713250936,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.2,0.6,0.09565039684072457,0.09046005909054969,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.2,0.7,0.09397651104394551,0.0898092303600631,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.2,0.8,0.09553356501385797,0.08610319945651032,0,109,263
HM+ST,attack_flow,ctid,42,100,0.7,0.3,0.0,0.10645293012308688,0.11932237865335268,0,109,263
HM+ST,attack_flow,ctid,42,100,0.6,0.3,0.1,0.10047312241491488,0.11750825083133756,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.3,0.2,0.10590794395420877,0.11181694844834558,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.3,0.3,0.11059071004296997,0.10789717963559724,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.3,0.4,0.10164210331532009,0.09717084033719214,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.3,0.5,0.09824553653164954,0.09236411384481721,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.3,0.6,0.09439572215200151,0.09112365215072056,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.3,0.7,0.098806072594805,0.08788698170583452,0,109,263
HM+ST,attack_flow,ctid,42,100,0.6,0.4,0.0,0.10745898963837283,0.11784895583676405,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.4,0.1,0.1029504978653731,0.11820418213491002,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.4,0.2,0.10800405709294778,0.11076487597319931,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.4,0.3,0.11574888171221867,0.10705898352036047,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.4,0.4,0.10524691693752046,0.09872761390578906,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.4,0.5,0.09754299313560383,0.0960371399718695,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.4,0.6,0.10424517761415639,0.09179263389206554,0,109,263
HM+ST,attack_flow,ctid,42,100,0.5,0.5,0.0,0.10618626212476645,0.11783874043858875,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.5,0.1,0.11346978521318614,0.11777123845695721,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.5,0.2,0.11713325911392272,0.11030296876639671,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.5,0.3,0.1182705608929425,0.10842153333964547,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.5,0.4,0.10976652403076362,0.10408789321651819,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.5,0.5,0.10619749982229632,0.09761907134247298,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.6,0.0,0.11315893694299387,0.1124335243407846,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.6,0.1,0.11489806069580832,0.11182999381849945,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.6,0.2,0.11988133643150864,0.11002373547525605,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.6,0.3,0.12429353586779106,0.10714982088701068,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.6,0.4,0.11252488890409007,0.10361408469179681,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.7,0.0,0.12647513396684612,0.10675515152230106,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.7,0.1,0.1225733329035114,0.10221827708169433,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.7,0.2,0.11921518519128656,0.1017178947057106,0,109,263
