held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,HM,transition_visibility,all_seen,17,8,0,0.3107332889138226,0.7625,0.18083333333333335,0.4947916666666667
ctid,HM,transition_visibility,all_unseen,117,10,1,0.037847335633760706,0.1500751879699248,0.03258646616541354,0.05883458646616542
ctid,HM,transition_visibility,mixed,129,10,1,0.1551289500844857,0.4755282606969914,0.10644650426972409,0.1784963667653296
ctid,HM,target_label_visibility,all_seen,207,10,1,0.12819555675704616,0.40431454053193183,0.09085338429686256,0.16781394330307373
ctid,HM,target_label_visibility,mixed,56,9,1,0.09921340878684985,0.2722403776325345,0.06643427741466958,0.11072379569111596
ctid,HM,text_length,ge40,218,10,1,0.11489577953743564,0.3619018915273546,0.08182779766030963,0.15037205680313964
ctid,HM,text_length,lt40,45,9,1,0.16969854865790662,0.5450617283950617,0.13246913580246913,0.23559670781893002
ctid,HM,target_size,1,8,8,0,0.1272228201007499,0.25,0.05,0.25
ctid,HM,target_size,2,24,10,1,0.13649945581274367,0.4293333333333333,0.09440000000000001,0.236
ctid,HM,target_size,3,231,10,1,0.11763485226185497,0.3746145880713832,0.08529399228673062,0.1421566538112177
ctid,HM+S,transition_visibility,all_seen,17,8,0,0.3107332889138226,0.7625,0.18083333333333335,0.4947916666666667
ctid,HM+S,transition_visibility,all_unseen,117,10,1,0.037847335633760706,0.1500751879699248,0.03258646616541354,0.05883458646616542
ctid,HM+S,transition_visibility,mixed,129,10,1,0.1551289500844857,0.4755282606969914,0.10644650426972409,0.1784963667653296
ctid,HM+S,target_label_visibility,all_seen,207,10,1,0.12819555675704616,0.40431454053193183,0.09085338429686256,0.16781394330307373
ctid,HM+S,target_label_visibility,mixed,56,9,1,0.09921340878684985,0.2722403776325345,0.06643427741466958,0.11072379569111596
ctid,HM+S,text_length,ge40,218,10,1,0.11489577953743564,0.3619018915273546,0.08182779766030963,0.15037205680313964
ctid,HM+S,text_length,lt40,45,9,1,0.16969854865790662,0.5450617283950617,0.13246913580246913,0.23559670781893002
ctid,HM+S,target_size,1,8,8,0,0.1272228201007499,0.25,0.05,0.25
ctid,HM+S,target_size,2,24,10,1,0.13649945581274367,0.4293333333333333,0.09440000000000001,0.236
ctid,HM+S,target_size,3,231,10,1,0.11763485226185497,0.3746145880713832,0.08529399228673062,0.1421566538112177
ctid,HM+T,transition_visibility,all_seen,17,8,0,0.3107332889138226,0.7625,0.18083333333333335,0.4947916666666667
ctid,HM+T,transition_visibility,all_unseen,117,10,1,0.037847335633760706,0.1500751879699248,0.03258646616541354,0.05883458646616542
ctid,HM+T,transition_visibility,mixed,129,10,1,0.1551289500844857,0.4755282606969914,0.10644650426972409,0.1784963667653296
ctid,HM+T,target_label_visibility,all_seen,207,10,1,0.12819555675704616,0.40431454053193183,0.09085338429686256,0.16781394330307373
ctid,HM+T,target_label_visibility,mixed,56,9,1,0.09921340878684985,0.2722403776325345,0.06643427741466958,0.11072379569111596
ctid,HM+T,text_length,ge40,218,10,1,0.11489577953743564,0.3619018915273546,0.08182779766030963,0.15037205680313964
ctid,HM+T,text_length,lt40,45,9,1,0.16969854865790662,0.5450617283950617,0.13246913580246913,0.23559670781893002
ctid,HM+T,target_size,1,8,8,0,0.1272228201007499,0.25,0.05,0.25
ctid,HM+T,target_size,2,24,10,1,0.13649945581274367,0.4293333333333333,0.09440000000000001,0.236
ctid,HM+T,target_size,3,231,10,1,0.11763485226185497,0.3746145880713832,0.08529399228673062,0.1421566538112177
ctid,HM+ST,transition_visibility,all_seen,17,8,0,0.3316380286877927,0.7270833333333333,0.17375000000000002,0.47604166666666664
ctid,HM+ST,transition_visibility,all_unseen,117,10,1,0.04530095057344454,0.16056265664160402,0.036969674185463666,0.06890183792815371
ctid,HM+ST,transition_visibility,mixed,129,10,1,0.1882470600325305,0.561790936617562,0.12511122432778782,0.2117751018761081
ctid,HM+ST,target_label_visibility,all_seen,207,10,1,0.14868608366672167,0.42489154323936934,0.0965940595636248,0.17914364017624887
ctid,HM+ST,target_label_visibility,mixed,56,9,1,0.12772104771695106,0.40501089324618733,0.09496368917937545,0.1582728152989591
ctid,HM+ST,text_length,ge40,218,10,1,0.1358565418485292,0.4020319512286867,0.09098053091733704,0.16724041644052526
ctid,HM+ST,text_length,lt40,45,9,1,0.18899463746033401,0.5438271604938272,0.13681481481481483,0.24283950617283953
ctid,HM+ST,target_size,1,8,8,0,0.14463946303571862,0.25,0.05,0.25
ctid,HM+ST,target_size,2,24,10,1,0.18576840233979958,0.48266666666666663,0.10186666666666669,0.2546666666666667
ctid,HM+ST,target_size,3,231,10,1,0.1369246531275116,0.4073457412319481,0.09401263207831159,0.1566877201305193
attack_flow,HM,transition_visibility,all_seen,24,13,1,0.24409216579115928,0.5525641025641026,0.12666666666666668,0.3155982905982906
attack_flow,HM,transition_visibility,all_unseen,261,35,1,0.09842669294982666,0.29069659378903073,0.05927129154692181,0.12108910028657928
