architecture,held_out_source,inner_training_source,inner_validation_source,learning_rate,seed,epoch,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
LSTM,attack_flow,stockpile,ctid,0.0003,42,20,0.09401217937603917,0.08698534890607476,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,42,40,0.09621524557684394,0.08804076909897796,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,42,60,0.09794721372741286,0.08701686121737937,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,42,80,0.11277695426893217,0.08597104898345892,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,42,100,0.11272531614748642,0.0848260255989785,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,43,20,0.13085725676850507,0.08698534890607476,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,43,40,0.1130763427683346,0.08804076909897796,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,43,60,0.1130763427683346,0.08701686121737937,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,43,80,0.1257608431437081,0.08597104898345892,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,43,100,0.11228703062686785,0.0848260255989785,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,44,20,0.10878791043023076,0.08698534890607476,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,44,40,0.11926245927674739,0.08804076909897796,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,44,60,0.1128744821228282,0.08701686121737937,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,44,80,0.12207690752142189,0.08597104898345892,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,44,100,0.1128744821228282,0.0848260255989785,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,45,20,0.09800195761801486,0.08698534890607476,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,45,40,0.11272531614748642,0.08804076909897796,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,45,60,0.1330898193902704,0.08701686121737937,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,45,80,0.09967918187798178,0.08597104898345892,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,45,100,0.11307322799072725,0.0848260255989785,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,46,20,0.09692153874317011,0.08698534890607476,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,46,40,0.12128613092226884,0.08804076909897796,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,46,60,0.12128613092226884,0.08701686121737937,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,46,80,0.11208370552367515,0.08597104898345892,0,109,263
LSTM,attack_flow,stockpile,ctid,0.0003,46,100,0.12158240464406392,0.0848260255989785,0,109,263
LSTM,attack_flow,stockpile,ctid,0.001,42,20,0.09248889264772311,0.08566888876251752,0,109,263
LSTM,attack_flow,stockpile,ctid,0.001,42,40,0.11471643757151109,0.08807302043905821,0,109,263
LSTM,attack_flow,stockpile,ctid,0.001,42,60,0.10150110170013522,0.09021705010520757,0,109,263
LSTM,attack_flow,stockpile,ctid,0.001,42,80,0.1021910903345552,0.08654430610885264,0,109,263
