scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,LSTM-A,ndcg5,0.04320552557044285,0.0024910261989380933,0.0860780438908364,2000,20260807
ctid,LSTM-A,hit5,0.060064867909335316,-0.044806111966451886,0.1567566759843832,2000,20260807
ctid,LSTM-A,precision5,0.025097636909279703,-0.0023722236377819316,0.0516198619016704,2000,20260807
ctid,LSTM-A,recall5,0.04897211488964738,0.00016163231243139452,0.09600756431691568,2000,20260807
ctid,TR-A,ndcg5,-0.04626893690641397,-0.08038747093401827,-0.01382305205143143,2000,20260807
ctid,TR-A,hit5,-0.10119331962399614,-0.17894149452229263,-0.028916547468754678,2000,20260807
ctid,TR-A,precision5,-0.02548634071242767,-0.045816463210702346,-0.005571909340659346,2000,20260807
ctid,TR-A,recall5,-0.046927725356233504,-0.08541482338474661,-0.012084338741809027,2000,20260807
ctid,LSTM-A0,ndcg5,0.02367346622077094,0.005986933355950486,0.04118529830068678,2000,20260807
ctid,LSTM-A0,hit5,0.019073035151982515,-0.0020044622774886035,0.040316685945633306,2000,20260807
ctid,LSTM-A0,precision5,0.00368346567005494,-0.0020980828825218844,0.00866919472594529,2000,20260807
ctid,LSTM-A0,recall5,0.005858559588545949,-0.004978403417818731,0.014641027303092942,2000,20260807
ctid,TR-A0,ndcg5,-0.06580099625608588,-0.12408944025563967,-9.743211476910336e-05,2000,20260807
ctid,TR-A0,hit5,-0.14218515238134893,-0.2935921915529261,0.027222353412311703,2000,20260807
ctid,TR-A0,precision5,-0.04690051195165243,-0.09005204695825407,-0.0014417343464074395,2000,20260807
ctid,TR-A0,recall5,-0.09004128065733494,-0.16789821381219924,-0.009546565488200612,2000,20260807
ctid,TR-LSTM,ndcg5,-0.08947446247685682,-0.15179973464366978,-0.027805876293630905,2000,20260807
ctid,TR-LSTM,hit5,-0.16125818753333146,-0.29672065087011545,-0.00800244080398475,2000,20260807
ctid,TR-LSTM,precision5,-0.05058397762170737,-0.09057904792881571,-0.009141585431993992,2000,20260807
ctid,TR-LSTM,recall5,-0.09589984024588089,-0.1672144360185716,-0.021100397807915946,2000,20260807
attack_flow,LSTM-A,ndcg5,-0.051002377477625926,-0.08734524325637655,-0.019755496409485398,2000,20260807
attack_flow,LSTM-A,hit5,-0.13411540047254333,-0.20580930854859428,-0.06936378284413999,2000,20260807
attack_flow,LSTM-A,precision5,-0.033782197167911455,-0.05221555171019457,-0.01763779894708466,2000,20260807
attack_flow,LSTM-A,recall5,-0.07025859590145304,-0.10679246216746216,-0.03706269425019428,2000,20260807
attack_flow,TR-A,ndcg5,-0.059993608072807306,-0.09347242146023833,-0.02964442056731888,2000,20260807
