held_out_source,method,campaign_id,rows,ndcg5,hit5,precision5,recall5
attack_flow,MB,Black Basta Ransomware,24,0.20630826751546127,0.5833333333333334,0.1416666666666667,0.24305555555555555
attack_flow,MB,CISA AA22-138B VMWare Workspace (Alt),8,0.1859621965061936,0.5,0.125,0.25
attack_flow,MB,CISA AA22-138B VMWare Workspace (TA1),8,0.23522979956303913,0.625,0.17500000000000002,0.29166666666666663
attack_flow,MB,CISA AA22-138B VMWare Workspace (TA2),10,0.32718977301044083,0.9,0.18,0.4166666666666667
attack_flow,MB,CISA Iranian APT,21,0.1690265684225985,0.47619047619047616,0.09523809523809523,0.16666666666666666
attack_flow,MB,Cobalt Kitty Campaign,11,0.14321333196266378,0.5454545454545454,0.10909090909090911,0.2424242424242424
attack_flow,MB,Conti CISA Alert,5,0.09385574520455128,0.2,0.04,0.06666666666666667
attack_flow,MB,Conti PWC,3,0.15642624200758548,0.3333333333333333,0.06666666666666667,0.1111111111111111
attack_flow,MB,Conti Ransomware,14,0.14994402035686866,0.42857142857142855,0.08571428571428573,0.17857142857142858
attack_flow,MB,DFIR - BumbleBee Round 2,12,0.15127121160550047,0.4166666666666667,0.08333333333333333,0.15277777777777776
attack_flow,MB,Equifax Breach,8,0.12414685584202304,0.5,0.1,0.1875
attack_flow,MB,FIN13 Case 1,28,0.1029413080222096,0.32142857142857145,0.0642857142857143,0.1130952380952381
attack_flow,MB,FIN13 Case 2,13,0.022775531612758863,0.07692307692307693,0.015384615384615385,0.02564102564102564
attack_flow,MB,Gootloader,28,0.1583204114913099,0.35714285714285715,0.07142857142857142,0.17857142857142858
attack_flow,MB,Hancitor DLL,18,0.11840167074385752,0.3888888888888889,0.07777777777777778,0.12962962962962962
attack_flow,MB,Ivanti Vulnerabilities,5,0.18771149040910257,0.4,0.08,0.13333333333333333
attack_flow,MB,JP Morgan Breach,8,0.0,0.0,0.0,0.0
attack_flow,MB,MITRE NERVE,7,0.12230450475104258,0.2857142857142857,0.05714285714285715,0.11904761904761904
attack_flow,MB,Maastricht University Ransomware,10,0.10719342333713508,0.3,0.06000000000000001,0.11666666666666665
attack_flow,MB,Mac Malware Steals Crypto,3,0.09869397032195508,0.3333333333333333,0.06666666666666667,0.1111111111111111
attack_flow,MB,Marriott Breach,4,0.058659840752844555,0.25,0.05,0.08333333333333333
attack_flow,MB,Muddy Water,8,0.2502683384920503,0.5,0.1,0.22916666666666666
attack_flow,MB,NotPetya,13,0.08635827648775257,0.3076923076923077,0.06153846153846154,0.11538461538461539
attack_flow,MB,OceanLotus,20,0.15759929713274862,0.4,0.09,0.16666666666666666
attack_flow,MB,REvil,18,0.0,0.0,0.0,0.0
attack_flow,MB,Ragnar Locker,12,0.0737535053917462,0.25,0.05000000000000001,0.09722222222222221
attack_flow,MB,SWIFT Heist,4,0.24850333466154073,0.75,0.15000000000000002,0.41666666666666663
attack_flow,MB,SearchAwesome Adware,10,0.10697875254349483,0.4,0.08,0.13333333333333333
attack_flow,MB,Shamoon,18,0.0755256722226406,0.3333333333333333,0.06666666666666668,0.1111111111111111
attack_flow,MB,SolarWinds,16,0.11580799156629104,0.375,0.08750000000000001,0.14583333333333331
attack_flow,MB,Sony Malware,12,0.055948839376942006,0.25,0.05000000000000001,0.08333333333333333
attack_flow,MB,Target Breach,8,0.0,0.0,0.0,0.0
attack_flow,MB,Tesla Kubernetes Breach,3,0.0,0.0,0.0,0.0
attack_flow,MB,Uber Breach,6,0.0,0.0,0.0,0.0
attack_flow,MB,WhisperGate,16,0.07969365875825858,0.25,0.05,0.125
ctid,MB,apt29::unknown,63,0.09830022474255803,0.2857142857142857,0.06031746031746032,0.10052910052910052
ctid,MB,carbanak::unknown,19,0.05740899454045664,0.15789473684210525,0.03157894736842106,0.08771929824561403
ctid,MB,fin6::unknown,16,0.16118666852723634,0.5,0.1,0.1875
ctid,MB,fin7::unknown,8,0.025263418312568446,0.125,0.025,0.041666666666666664
ctid,MB,menu_pass::unknown,10,0.07653606369886216,0.2,0.04,0.06666666666666667
ctid,MB,oilrig::unknown,35,0.12126512918026305,0.4,0.09142857142857143,0.17619047619047618
ctid,MB,sandworm::unknown,31,0.11556621991425182,0.3870967741935484,0.0774193548387097,0.13440860215053763
ctid,MB,turla_carbon::unknown,23,0.15373315579395927,0.34782608695652173,0.08695652173913043,0.15217391304347827
ctid,MB,turla_snake::unknown,26,0.09718739566699533,0.38461538461538464,0.07692307692307693,0.1346153846153846
ctid,MB,wizard_spider::unknown,32,0.09353671396050575,0.25,0.0625,0.109375
stockpile,MB,01c96671-afd3-47d4-8d31-8c116cc0221a,2,0.7853208594776601,1.0,0.30000000000000004,1.0
stockpile,MB,01d77744-2515-401a-a497-d9f7241aac3c,6,0.0,0.0,0.0,0.0
stockpile,MB,09ad625e-6cba-490f-afe3-5417e7edb9c6,2,0.7853208594776601,1.0,0.30000000000000004,1.0
stockpile,MB,0b5636cf-f019-4ec9-aa7c-6e4f55505374,4,0.1670707038934215,0.75,0.15000000000000002,0.29166666666666663
stockpile,MB,0b73bf34-fc5b-48f7-9194-dce993b915b1,2,0.0,0.0,0.0,0.0
stockpile,MB,0f4c3c67-845e-49a0-927e-90ed33c044e0,11,0.05916550168728265,0.18181818181818182,0.03636363636363637,0.0606060606060606
stockpile,MB,1a98b8e6-18ce-4617-8cc5-e65a1a9d490e,4,0.09671320180863541,0.25,0.05,0.125
stockpile,MB,1bac97ca-77fc-4c9a-835e-4de1b1b7f639,2,0.0,0.0,0.0,0.0
stockpile,MB,4c28c132-d7d7-4a04-8908-d643b7cb1d58,1,0.0,0.0,0.0,0.0
stockpile,MB,50855e29-3b4e-4562-aa55-b3d7f93c26b8,7,0.2182908334140226,0.5714285714285714,0.1142857142857143,0.23809523809523808
stockpile,MB,564ae20d-778d-4965-93dc-b523be2e2ab4,13,0.045551063225517725,0.15384615384615385,0.03076923076923077,0.05128205128205128
stockpile,MB,5d3e170e-f1b8-49f9-9ee1-c51605552a08,2,0.3065735963827292,0.5,0.1,0.25
stockpile,MB,725226e0-45b8-4432-84ee-144d3f37ff8d,3,0.15539182302437948,0.6666666666666666,0.13333333333333333,0.27777777777777773
stockpile,MB,78e7504d-968f-477d-8806-4d6c04b94431,11,0.20945350614096975,0.45454545454545453,0.09090909090909091,0.25757575757575757
stockpile,MB,bcdbf6b9-14c5-495c-be84-37bce32c312b,2,0.0,0.0,0.0,0.0
stockpile,MB,c220a8e6-609c-4d5b-9e1c-068ca01c2eec,1,0.0,0.0,0.0,0.0
stockpile,MB,c724545d-a4cc-492e-8075-2ab9a699c847,2,0.0,0.0,0.0,0.0
stockpile,MB,d6ea4c1e-7959-4eb1-a292-b6fd2b06c73e,3,0.20438239758848611,0.3333333333333333,0.06666666666666667,0.16666666666666666
stockpile,MB,dbd49a4a-ba2d-40d0-9348-2db24fc4b0b6,1,0.38685280723454163,1.0,0.2,1.0
stockpile,MB,ddbd1850-5fd7-41d5-a7a1-1b15dac49090,3,0.2989506757155105,1.0,0.20000000000000004,0.611111111111111
stockpile,MB,de07f52d-9928-4071-9142-cb1d3bd851e8,16,0.06485458286216567,0.1875,0.037500000000000006,0.07291666666666666
stockpile,MB,e4324b88-8836-4803-b6b7-09b3c6cd4e94,1,0.0,0.0,0.0,0.0
stockpile,MB,e89a10d3-004f-4c15-b0eb-d1ba76a4b67f,2,0.7853208594776601,1.0,0.30000000000000004,1.0
stockpile,MB,eddc8f03-f930-41e7-95ba-33fb87bfed74,2,0.13203406128629544,0.5,0.1,0.25
stockpile,MB,ef4d997c-a0d1-4067-9efa-87c58682db71,3,0.18671667784615206,0.6666666666666666,0.13333333333333333,0.27777777777777773
stockpile,MB,f98193a0-8b5b-4b5e-a5aa-e8c3adfcd4e6,1,0.0,0.0,0.0,0.0
stockpile,MB,fbc41624-1052-490c-b5ec-4fd718e2501d,2,0.34737234032299197,1.0,0.2,0.75
