scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,A-A0,ndcg5,-0.019532059349671893,-0.06627401510939791,0.025927594472625402,2000,20260807
ctid,A-A0,hit5,-0.0409918327573528,-0.15654944788496028,0.08161038348559563,2000,20260807
ctid,A-A0,precision5,-0.02141417123922476,-0.05075193356814197,0.009720256666678338,2000,20260807
ctid,A-A0,recall5,-0.04311355530110142,-0.09591395557019695,0.012612176652989972,2000,20260807
ctid,CO-A0,ndcg5,-0.13981078385782097,-0.22826248419852954,-0.051532272662488283,2000,20260807
ctid,CO-A0,hit5,-0.3291692328580108,-0.5633819445219005,-0.08589067887987847,2000,20260807
ctid,CO-A0,precision5,-0.09035115923462052,-0.15271504941857558,-0.0285306182538827,2000,20260807
ctid,CO-A0,recall5,-0.1700582944261434,-0.28279680113222017,-0.056303675856307515,2000,20260807
ctid,K-A,ndcg5,-0.010897875253058492,-0.027898221098734067,0.010448856369141247,2000,20260807
ctid,K-A,hit5,-0.05256470176457073,-0.10252961513106634,0.0016359482634419405,2000,20260807
ctid,K-A,precision5,-0.010986320856624238,-0.02266619066478906,0.003223581020398137,2000,20260807
ctid,K-A,recall5,-0.025181179821759853,-0.05057994170208129,0.003895815812761171,2000,20260807
ctid,T-A,ndcg5,0.0,0.0,0.0,2000,20260807
ctid,T-A,hit5,0.0,0.0,0.0,2000,20260807
ctid,T-A,precision5,0.0,0.0,0.0,2000,20260807
ctid,T-A,recall5,0.0,0.0,0.0,2000,20260807
ctid,T-K,ndcg5,0.010897875253058492,-0.01044885636914128,0.027898221098734032,2000,20260807
ctid,T-K,hit5,0.05256470176457073,-0.001635948263441951,0.10252961513106629,2000,20260807
ctid,T-K,precision5,0.010986320856624238,-0.003223581020398137,0.02266619066478906,2000,20260807
ctid,T-K,recall5,0.025181179821759853,-0.0038958158127612138,0.050579941702081264,2000,20260807
ctid,T-A0,ndcg5,-0.019532059349671893,-0.06627401510939791,0.025927594472625402,2000,20260807
ctid,T-A0,hit5,-0.0409918327573528,-0.15654944788496028,0.08161038348559563,2000,20260807
ctid,T-A0,precision5,-0.02141417123922476,-0.05075193356814197,0.009720256666678338,2000,20260807
ctid,T-A0,recall5,-0.04311355530110142,-0.09591395557019695,0.012612176652989972,2000,20260807
attack_flow,A-A0,ndcg5,-0.013216774647895724,-0.033599817824594175,0.005510797375682304,2000,20260807
attack_flow,A-A0,hit5,-0.0016160823303679739,-0.03841204430490147,0.0364350907029478,2000,20260807
attack_flow,A-A0,precision5,-0.003613465899180171,-0.015059933717076568,0.007595918367346946,2000,20260807
attack_flow,A-A0,recall5,-0.0019408105122390718,-0.02402090964590966,0.021418912436769515,2000,20260807
