scope,method,metric,point_estimate,ci95_low,ci95_high,replicates,seed
attack_flow,A,hit5,0.4543381221952651,0.36532770800627945,0.5463470933828076,2000,20260807
attack_flow,A,ndcg5,0.17651202276060077,0.13480993716960332,0.22414180502464645,2000,20260807
attack_flow,A,precision5,0.10422425193853767,0.08140293971901116,0.12763058053058052,2000,20260807
attack_flow,A,recall5,0.21574486360200645,0.16793826147397575,0.2654878553985696,2000,20260807
attack_flow,A0,hit5,0.45595420452563307,0.36560790499183354,0.5526239811775526,2000,20260807
attack_flow,A0,ndcg5,0.1897287974084965,0.1415342181411005,0.2414108597224838,2000,20260807
attack_flow,A0,precision5,0.10783771783771784,0.08281460523603383,0.13453491508491508,2000,20260807
attack_flow,A0,recall5,0.21768567411424553,0.1651974196438482,0.27189969422112276,2000,20260807
attack_flow,CO,hit5,0.15031266352694925,0.09413959750566891,0.21926685417756847,2000,20260807
attack_flow,CO,ndcg5,0.04859668319318598,0.030175123906808585,0.07079877896563769,2000,20260807
attack_flow,CO,precision5,0.032741671027385316,0.020355620966335256,0.04766655328798186,2000,20260807
attack_flow,CO,recall5,0.06923215012500727,0.04111803193499622,0.10423006606488745,2000,20260807
attack_flow,K,hit5,0.4201891759034616,0.3341766309087738,0.5107284461570176,2000,20260807
attack_flow,K,ndcg5,0.16368443855775305,0.12241780186025772,0.2104874436395275,2000,20260807
attack_flow,K,precision5,0.09291751106036822,0.07297061331525617,0.11377198515769942,2000,20260807
attack_flow,K,recall5,0.18994640280354563,0.14593492089920662,0.23559184102934097,2000,20260807
attack_flow,T,hit5,0.4543381221952651,0.36532770800627945,0.5463470933828076,2000,20260807
attack_flow,T,ndcg5,0.17651202276060077,0.13480993716960332,0.22414180502464645,2000,20260807
attack_flow,T,precision5,0.10422425193853767,0.08140293971901116,0.12763058053058052,2000,20260807
attack_flow,T,recall5,0.21574486360200645,0.16793826147397575,0.2654878553985696,2000,20260807
ctid,A,hit5,0.424293687195206,0.3283536589418646,0.5136254568699367,2000,20260807
ctid,A,ndcg5,0.15593247579328717,0.10840613090937383,0.20454253269197223,2000,20260807
ctid,A,precision5,0.09762056287462281,0.0716819234552469,0.12466787827739054,2000,20260807
ctid,A,recall5,0.177619414188304,0.12827567248784352,0.22769653622133879,2000,20260807
ctid,A0,hit5,0.4652855199525588,0.29693154375610015,0.6391001409444892,2000,20260807
ctid,A0,ndcg5,0.17546453514295907,0.10687545706259537,0.24976410533669446,2000,20260807
ctid,A0,precision5,0.11903473411384757,0.07135160843499407,0.17131203501829612,2000,20260807
ctid,A0,recall5,0.2207329694894054,0.1315036121286121,0.3145584505074815,2000,20260807
ctid,CO,hit5,0.13611628709454798,0.04183057280883368,0.2529768159075224,2000,20260807
ctid,CO,ndcg5,0.03565375128513809,0.009351909582485201,0.06841093917709487,2000,20260807
ctid,CO,precision5,0.028683574879227052,0.008683574879227053,0.0523810688405797,2000,20260807
ctid,CO,recall5,0.05067467506326201,0.015761069056245684,0.09437499999999999,2000,20260807
ctid,K,hit5,0.37172898543063526,0.25645150931764893,0.49120218255489195,2000,20260807
ctid,K,ndcg5,0.14503460054022868,0.09181040710678531,0.20425178506323588,2000,20260807
ctid,K,precision5,0.08663424201799858,0.056963159954787713,0.11900346893413992,2000,20260807
ctid,K,recall5,0.15243823436654413,0.09845517165190339,0.21255932918907652,2000,20260807
ctid,T,hit5,0.424293687195206,0.3283536589418646,0.5136254568699367,2000,20260807
ctid,T,ndcg5,0.15593247579328717,0.10840613090937383,0.20454253269197223,2000,20260807
ctid,T,precision5,0.09762056287462281,0.0716819234552469,0.12466787827739054,2000,20260807
ctid,T,recall5,0.177619414188304,0.12827567248784352,0.22769653622133879,2000,20260807
source_equal_overall,A,hit5,0.3972818672569767,0.33773016637560954,0.4605429665504989,2000,20260807
source_equal_overall,A,ndcg5,0.15219556450539298,0.12380869355348371,0.18301678506462188,2000,20260807
source_equal_overall,A,precision5,0.08873972500695133,0.0745996405585678,0.10407273696976946,2000,20260807
source_equal_overall,A,recall5,0.19175459420216065,0.15641033962289128,0.22921672259497702,2000,20260807
source_equal_overall,A0,hit5,0.3753172263967155,0.29885248875729803,0.4584839773701809,2000,20260807
source_equal_overall,A0,ndcg5,0.14320693475758442,0.11188611794251731,0.17790141002779672,2000,20260807
source_equal_overall,A0,precision5,0.08927161429798545,0.06936082189362607,0.11108625623838708,2000,20260807
source_equal_overall,A0,recall5,0.18397979404146314,0.14190190406146966,0.23101434008093563,2000,20260807
source_equal_overall,CO,hit5,0.10164915638000525,0.06258477250215087,0.14729091441636727,2000,20260807
source_equal_overall,CO,ndcg5,0.03074197543149934,0.0187499378553423,0.044976060639520955,2000,20260807
source_equal_overall,CO,precision5,0.021709649870105357,0.013503096426233072,0.031224221717052966,2000,20260807
source_equal_overall,CO,recall5,0.04614178123559593,0.02803050865149726,0.06908817347428566,2000,20260807
source_equal_overall,K,hit5,0.42345187297940706,0.3570153152896799,0.49285788518168533,2000,20260807
source_equal_overall,K,ndcg5,0.1777143492829447,0.14321558269174345,0.2161400030016883,2000,20260807
source_equal_overall,K,precision5,0.09339250540137665,0.07797196844523643,0.10992901024395267,2000,20260807
source_equal_overall,K,recall5,0.2199569258576323,0.17673381999861318,0.26529322033739344,2000,20260807
source_equal_overall,T,hit5,0.419901223209666,0.36286889462493643,0.48061894508124875,2000,20260807
source_equal_overall,T,ndcg5,0.15860362137601788,0.1297404134633962,0.1908984035045242,2000,20260807
source_equal_overall,T,precision5,0.09449816409872376,0.08032986280895231,0.11032163919446603,2000,20260807
source_equal_overall,T,recall5,0.20511469089559067,0.1698575755836866,0.24472752999229722,2000,20260807
stockpile,A,hit5,0.313213792380459,0.19166616562449892,0.4497465304756971,2000,20260807
stockpile,A,ndcg5,0.12414219496229105,0.06655305210176905,0.19201148281924263,2000,20260807
stockpile,A,precision5,0.06437436020769355,0.039322201718035056,0.09271220292053625,2000,20260807
stockpile,A,recall5,0.18189950481617145,0.1048911479467035,0.2710739877406544,2000,20260807
stockpile,A0,hit5,0.2047119547119547,0.07407407407407407,0.3530825655825654,2000,20260807
stockpile,A0,ndcg5,0.06442747172129776,0.023925777410515336,0.11166611405261104,2000,20260807
stockpile,A0,precision5,0.040942390942390945,0.014814814814814817,0.0706165131165131,2000,20260807
stockpile,A0,recall5,0.11352073852073852,0.0393437966354633,0.20086908975797862,2000,20260807
stockpile,CO,hit5,0.018518518518518517,0.0,0.05555555555555555,2000,20260807
stockpile,CO,ndcg5,0.007975491816173946,0.0,0.023926475448521837,2000,20260807
stockpile,CO,precision5,0.003703703703703704,0.0,0.011111111111111113,2000,20260807
stockpile,CO,recall5,0.018518518518518517,0.0,0.05555555555555555,2000,20260807
stockpile,K,hit5,0.4784374576041243,0.34367996972163645,0.6218253968253967,2000,20260807
stockpile,K,ndcg5,0.22442400875085233,0.14926484085794678,0.31519033481948766,2000,20260807
stockpile,K,precision5,0.10062576312576314,0.07150728515311848,0.1329000436292103,2000,20260807
stockpile,K,recall5,0.3174861404028071,0.21008445001500559,0.4361157457511624,2000,20260807
stockpile,T,hit5,0.3810718602385269,0.26728289072039074,0.5051790030956695,2000,20260807
stockpile,T,ndcg5,0.14336636557416574,0.08699414068720547,0.2131318531061281,2000,20260807
stockpile,T,precision5,0.08164967748301083,0.0555523450315117,0.11087993025493025,2000,20260807
stockpile,T,recall5,0.22197979489646155,0.1422916621701344,0.3170362205952483,2000,20260807
