held_out_source,method,rows,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5,row_micro_ndcg5,row_micro_hit5,row_micro_precision5,row_micro_recall5
ctid,A0,263,10,0.17546453514295907,0.4652855199525588,0.11903473411384757,0.2207329694894054,0.1924716134905295,0.5133079847908745,0.13079847908745246,0.24207858048162229
ctid,CO,263,10,0.03565375128513809,0.13611628709454798,0.028683574879227052,0.05067467506326201,0.0398639336368593,0.1482889733840304,0.03193916349809886,0.055766793409378956
ctid,A,263,10,0.15593247579328717,0.424293687195206,0.09762056287462281,0.177619414188304,0.16065623692366868,0.42585551330798477,0.09809885931558936,0.17807351077313052
ctid,K,263,10,0.14503460054022868,0.37172898543063526,0.08663424201799858,0.15243823436654413,0.15585462173790918,0.40304182509505704,0.09429657794676806,0.16666666666666666
ctid,T,263,10,0.15593247579328717,0.424293687195206,0.09762056287462281,0.177619414188304,0.16065623692366868,0.42585551330798477,0.09809885931558936,0.17807351077313052
attack_flow,A0,412,35,0.1897287974084965,0.45595420452563307,0.10783771783771784,0.21768567411424553,0.19314207182558207,0.46601941747572817,0.10825242718446602,0.21682847896440127
attack_flow,CO,412,35,0.04859668319318598,0.15031266352694925,0.032741671027385316,0.06923215012500727,0.045523435527002824,0.14320388349514562,0.03155339805825243,0.06593851132686084
attack_flow,A,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645,0.1760776479925237,0.44902912621359226,0.10388349514563108,0.21278317152103557
attack_flow,K,412,35,0.16368443855775305,0.4201891759034616,0.09291751106036822,0.18994640280354563,0.16411621700213558,0.4174757281553398,0.09271844660194176,0.1897249190938511
attack_flow,T,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645,0.1760776479925237,0.44902912621359226,0.10388349514563108,0.21278317152103557
stockpile,A0,109,27,0.06442747172129776,0.2047119547119547,0.040942390942390945,0.11352073852073852,0.08463931871982927,0.26605504587155965,0.053211009174311936,0.14678899082568808
stockpile,CO,109,27,0.007975491816173946,0.018518518518518517,0.003703703703703704,0.018518518518518517,0.003951161083242138,0.009174311926605505,0.001834862385321101,0.009174311926605505
stockpile,A,109,27,0.12414219496229105,0.313213792380459,0.06437436020769355,0.18189950481617145,0.1531026060375349,0.4036697247706422,0.08440366972477065,0.22477064220183487
stockpile,K,109,27,0.22442400875085233,0.4784374576041243,0.10062576312576314,0.3174861404028071,0.2131041190237886,0.46788990825688076,0.09724770642201837,0.2706422018348624
stockpile,T,109,27,0.14336636557416574,0.3810718602385269,0.08164967748301083,0.22197979489646155,0.1567766795670411,0.42201834862385323,0.08990825688073395,0.22935779816513763
