held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,A0,transition_visibility,all_seen,17,8,0,0.3076676319749387,0.6145833333333334,0.18958333333333333,0.501736111111111
ctid,A0,transition_visibility,all_unseen,117,10,1,0.13158315825120953,0.34368421052631576,0.08521303258145364,0.1628393901420217
ctid,A0,transition_visibility,mixed,129,10,1,0.18619113475670193,0.5364610905090781,0.13223308270676692,0.22769073418841218
ctid,A0,target_label_visibility,all_seen,207,10,1,0.1878353332455483,0.48933229813664597,0.12570305781175348,0.23750232255667036
ctid,A0,target_label_visibility,mixed,56,9,1,0.13150421885755126,0.4066630355846042,0.09892519970951344,0.16487533284918907
ctid,A0,text_length,ge40,218,10,1,0.17798709960424602,0.47383267909056226,0.1202988567544185,0.22470026881720426
ctid,A0,text_length,lt40,45,9,1,0.18875709154457854,0.47530864197530864,0.1254320987654321,0.22757201646090536
ctid,A0,target_size,1,8,8,0,0.23266913951834828,0.5,0.1,0.5
ctid,A0,target_size,2,24,10,1,0.22724933870368727,0.5466666666666666,0.13866666666666666,0.3466666666666667
ctid,A0,target_size,3,231,10,1,0.16383283066946958,0.4533190399863828,0.11557305730104919,0.1926217621684153
ctid,CO,transition_visibility,all_seen,17,8,0,0.06318145795239871,0.1875,0.037500000000000006,0.09375
ctid,CO,transition_visibility,all_unseen,117,10,1,0.02738422901127705,0.09699248120300752,0.022255639097744365,0.039912280701754385
ctid,CO,transition_visibility,mixed,129,10,1,0.03977461711269613,0.1581766917293233,0.032468671679197994,0.054114452798663316
ctid,CO,target_label_visibility,all_seen,207,10,1,0.037452617085204164,0.14002468545946806,0.029978181239050807,0.053401351064394545
ctid,CO,target_label_visibility,mixed,56,9,1,0.031669977279571,0.12381989832970225,0.02476397966594045,0.04127329944323408
ctid,CO,text_length,ge40,218,10,1,0.03663574819760969,0.1353646953405018,0.029117383512544802,0.0509826762246117
ctid,CO,text_length,lt40,45,9,1,0.04718176450159436,0.2111111111111111,0.042222222222222223,0.08888888888888889
ctid,CO,target_size,1,8,8,0,0.0,0.0,0.0,0.0
ctid,CO,target_size,2,24,10,1,0.04534521725548187,0.145,0.029000000000000005,0.0725
ctid,CO,target_size,3,231,10,1,0.0343724748428222,0.13585671033946894,0.0287282908662219,0.0478804847770365
ctid,A,transition_visibility,all_seen,17,8,0,0.3933777519855295,0.6979166666666666,0.18958333333333333,0.5225694444444444
ctid,A,transition_visibility,all_unseen,117,10,1,0.03164918701476112,0.10490601503759397,0.025838345864661653,0.04711152882205514
ctid,A,transition_visibility,mixed,129,10,1,0.21325915332598133,0.6139449443745109,0.13398237675637056,0.2273936892570793
ctid,A,target_label_visibility,all_seen,207,10,1,0.1615785190158018,0.4381366459627329,0.10146798853320593,0.18771526782396347
ctid,A,target_label_visibility,mixed,56,9,1,0.15027135549578932,0.40737109658678283,0.09135076252723312,0.15225127087872187
ctid,A,text_length,ge40,218,10,1,0.15274269368833415,0.4158986353597395,0.09427519761624564,0.17323216617497703
ctid,A,text_length,lt40,45,9,1,0.20938406877015608,0.5493827160493827,0.1380246913580247,0.248559670781893
ctid,A,target_size,1,8,8,0,0.1875,0.25,0.05,0.25
ctid,A,target_size,2,24,10,1,0.19914966866913675,0.4066666666666666,0.096,0.24
ctid,A,target_size,3,231,10,1,0.14819456361210198,0.42587164829761176,0.09736804966500708,0.16228008277501177
ctid,K,transition_visibility,all_seen,17,8,0,0.21647830774823518,0.34375,0.10208333333333333,0.22395833333333331
ctid,K,transition_visibility,all_unseen,117,10,1,0.04467362271955197,0.10588345864661655,0.027462406015037594,0.05025689223057643
ctid,K,transition_visibility,mixed,129,10,1,0.20418444618268095,0.5659916051440819,0.12622294140328197,0.21462577068614222
ctid,K,target_label_visibility,all_seen,207,10,1,0.15287589386945474,0.3799422678770505,0.0910642618251314,0.16164005680310028
ctid,K,target_label_visibility,mixed,56,9,1,0.1303098628308655,0.39311909949164847,0.07862381989832971,0.1310396998305495
