scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
ctid,R-A,ndcg5,0.0037630590330359924,0.0005542172598886458,0.00695641708129406,2000,20260807
ctid,R-A,hit5,0.006056000215592749,0.0,0.013797935699463738,2000,20260807
ctid,R-A,precision5,0.0035849805403212072,0.0013846153846153813,0.006123822881186139,2000,20260807
ctid,R-A,recall5,0.005974967567202008,0.002307692307692308,0.010206371468643546,2000,20260807
attack_flow,R-A,ndcg5,5.9476233462061954e-18,1.3877787807814458e-18,1.1696992580872185e-17,2000,20260807
attack_flow,R-A,hit5,0.0,0.0,0.0,2000,20260807
attack_flow,R-A,precision5,0.0,0.0,0.0,2000,20260807
attack_flow,R-A,recall5,0.0,0.0,0.0,2000,20260807
stockpile,R-A,ndcg5,-0.060761406556984816,-0.12156453737765738,-0.017230642435924058,2000,20260807
stockpile,R-A,hit5,-0.10850183766850433,-0.22716224747474748,-0.00565075356742023,2000,20260807
stockpile,R-A,precision5,-0.023431969265302596,-0.046444034360701034,-0.003211711128377796,2000,20260807
stockpile,R-A,recall5,-0.06837876629543296,-0.14877055814555817,-0.0011056748035914912,2000,20260807
source_equal_overall,R-A,ndcg5,-0.018999449174649605,-0.039340634865420575,-0.004389648519395093,2000,20260807
source_equal_overall,R-A,hit5,-0.03414861248430386,-0.07280129773494234,0.00029330217378462764,2000,20260807
source_equal_overall,R-A,precision5,-0.00661566290832713,-0.014225128172150065,0.00026584029366656615,2000,20260807
source_equal_overall,R-A,recall5,-0.020801266242743654,-0.047876618202280195,0.0018272102695844595,2000,20260807
