held_out_source,method,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,A,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
attack_flow,B0,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,RGAF,35,0.23749407887871843,0.5098644609358896,0.13123698523698524,0.2631868924726068
attack_flow,RGAF-Shuffle,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,UniformResidual,35,0.1939241839468102,0.43033906569620856,0.10052308009450867,0.20306847913990772
ctid,A,10,0.15593247579328717,0.424293687195206,0.09762056287462281,0.177619414188304
ctid,B0,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,RGAF,10,0.18931686215430918,0.4391285080125783,0.12075924485711709,0.21323008108064298
ctid,RGAF-Shuffle,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,UniformResidual,10,0.1410168348099602,0.3273137010992256,0.07843999543307509,0.14099260492435642
stockpile,A,27,0.12414219496229105,0.313213792380459,0.06437436020769355,0.18189950481617145
stockpile,B0,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,RGAF,27,0.17365115649971447,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,RGAF-Shuffle,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,UniformResidual,27,0.16524595953512722,0.32415963665963665,0.07083703333703334,0.23324013949013947
